Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+34 Quarters
Revenue,7.38,7.17,8.13,7.44,6.88,6.99,6.95,6.93,6.85,6.63,5.65,5.51,4.99,5.32,5.57,5.45,5.58,5.26,5.42,5.25,4.93,5.23,5.02,4.65,4.57,4.62,4.42,4.47,4.25,4.55,4.32,4.22,4.3,4.13,4.13,4,3.94,4.06,3.87,4.02,Upgrade
Revenue Growth (YoY),7.33%,2.62%,16.88%,7.24%,0.44%,5.40%,23.06%,25.92%,37.34%,24.53%,1.44%,0.99%,-10.65%,1.26%,2.86%,3.91%,13.12%,0.54%,7.85%,12.81%,8.01%,13.18%,13.59%,4.00%,7.41%,1.49%,2.43%,6.07%,-1.12%,10.16%,4.50%,5.43%,9.28%,1.82%,6.61%,-0.52%,24.17%,1.48%,-2.64%,3.29%,Upgrade
Gross Profit,7.38,7.17,8.13,7.44,6.88,6.99,6.95,6.93,6.85,6.63,5.65,5.51,4.99,5.32,5.57,5.45,5.58,5.26,5.42,5.25,4.93,5.23,5.02,4.65,4.57,4.62,4.42,4.47,4.25,4.55,4.32,4.22,4.3,4.13,4.13,4,3.94,4.06,3.87,4.02,Upgrade
"Selling, General & Admin",4.04,3.86,3.94,3.73,3.68,3.7,3.78,3.58,3.57,3.45,3.47,3.44,3.47,3.49,3.52,3.5,3.42,3.34,3.3,3.36,3.34,3.21,3.16,3.1,3.1,3.04,2.99,2.94,2.95,2.82,2.86,2.84,2.94,2.85,2.78,2.76,2.82,2.79,2.7,2.75,Upgrade
Other Operating Expenses,0.76,0.73,0.76,0.7,0.83,0.92,0.86,1.01,1.12,1.28,1.01,1.34,1.09,1.05,0.88,0.93,1.07,0.96,0.98,1,1.01,1.12,1.05,1.06,0.95,0.99,0.87,1.13,1.02,1.23,0.96,1.01,1.16,1.03,1.08,0.97,1.07,1.09,0.96,1,Upgrade
Operating Expenses,4.8,4.58,4.7,4.43,4.51,4.62,4.64,4.59,4.69,4.72,4.48,4.78,4.56,4.53,4.39,4.43,4.49,4.29,4.27,4.36,4.36,4.34,4.21,4.15,4.05,4.03,3.85,4.07,3.97,4.05,3.82,3.85,4.1,3.88,3.86,3.73,3.88,3.89,3.66,3.75,Upgrade
Operating Income,2.59,2.59,3.43,3,2.37,2.37,2.32,2.34,2.16,1.91,1.17,0.72,0.43,0.79,1.18,1.03,1.09,0.96,1.14,0.89,0.58,0.89,0.81,0.5,0.52,0.59,0.57,0.4,0.28,0.5,0.49,0.36,0.2,0.26,0.27,0.27,0.05,0.17,0.22,0.27,Upgrade
Pretax Income,2.59,2.59,3.43,3,2.37,2.37,2.32,2.34,2.16,1.91,1.17,0.72,0.43,0.79,1.18,1.03,1.09,0.96,1.14,0.89,0.58,0.89,0.81,0.5,0.52,0.59,0.57,0.4,0.28,0.5,0.49,0.36,0.2,0.26,0.27,0.27,0.05,0.17,0.22,0.27,Upgrade
Income Tax,0.79,0.78,1,0.89,0.69,0.67,0.71,0.68,0.65,0.57,0.35,0.21,0.12,0.24,0.36,0.3,0.32,0.28,0.44,0.29,0.18,0.56,0.32,0.21,0.22,0.24,0.22,0.15,0.1,0.19,0.17,0.12,0.05,0.07,0.08,0.08,-0.01,0.04,0.09,0.08,Upgrade
Net Income,1.8,1.81,2.43,2.12,1.68,1.69,1.61,1.67,1.51,1.34,0.82,0.51,0.31,0.55,0.82,0.73,0.77,0.69,0.71,0.6,0.4,0.33,0.49,0.29,0.3,0.35,0.35,0.25,0.18,0.31,0.32,0.25,0.15,0.18,0.19,0.19,0.06,0.13,0.13,0.19,Upgrade
Net Income Growth,6.97%,6.91%,50.93%,26.92%,11.49%,26.63%,95.63%,227.70%,393.77%,141.77%,0.61%,-29.89%,-60.23%,-19.27%,15.86%,21.20%,93.69%,108.21%,44.67%,107.99%,32.00%,-5.19%,39.03%,14.29%,68.54%,12.30%,8.67%,2.86%,21.09%,69.78%,68.23%,30.32%,133.33%,36.84%,48.84%,-2.59%,-,-52.84%,-56.27%,11.56%,Upgrade
Shares Outstanding (Basic),6,6,7,7,7,7,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Upgrade
Shares Outstanding (Diluted),6,6,7,7,7,7,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
