Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.51,0.16,0.29,0.33,0.25,0.05,0.03
Operating Expenses,0.51,0.16,0.29,0.33,0.25,0.05,0.03
Operating Income,-0.51,-0.16,-0.29,-0.33,-0.25,-0.05,-0.03
Other Expense / Income,-2.76,-0.93,-2.34,-3.28,-8.56,-,-
Pretax Income,2.25,0.77,2.04,2.95,8.31,-0.05,-0.03
Net Income,2.25,0.77,2.04,2.95,8.31,-0.05,-0.03
Net Income Growth,-72.92%,-,-,-,-,-,-
Shares Outstanding (Basic),33,29,29,29,13,7,5
Shares Outstanding (Diluted),33,29,29,29,13,7,5
Shares Change,156.47%,331.60%,443.52%,-,-,-,-
EPS (Basic),0.08,-,0.07,0.10,0.66,-0.01,-0.01
EPS (Diluted),0.08,-,0.07,0.10,0.66,-0.01,-0.01
EPS Growth,-87.88%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.06,-0.00,-0.00
EBITDA,2.25,0.77,2.04,2.95,8.31,-0.05,-0.03
EBIT,2.25,0.77,2.04,2.95,8.31,-0.05,-0.03
