Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.44,0.24,0.44,0.44,0.52,0.3,0.07,0.01
Operating Expenses,0.44,0.24,0.44,0.44,0.52,0.3,0.07,0.01
Operating Income,-0.44,-0.24,-0.44,-0.44,-0.52,-0.3,-0.07,-0.01
Other Expense / Income,-3.04,-2.4,-1.26,-0.38,-0.02,-0,-,-
Pretax Income,2.6,2.17,0.81,-0.06,-0.49,-0.3,-0.07,-0.01
Net Income,2.6,2.17,0.81,-0.06,-0.49,-0.3,-0.07,-0.01
Shares Outstanding (Basic),35,35,35,35,35,10,6,6
Shares Outstanding (Diluted),35,35,35,35,35,10,6,6
Shares Change,-,253.45%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.08,0.06,0.02,-,-0.01,-0.04,-,-
EPS (Diluted),0.08,0.06,0.02,-,-0.01,-0.04,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,0.00,-0.14,-0.01,-0.00
EBITDA,2.6,2.17,0.81,-0.06,-0.49,-0.3,-0.07,-0.01
EBIT,2.6,2.17,0.81,-0.06,-0.49,-0.3,-0.07,-0.01
