Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.33,0.27,0.31,0.34,0.45,0.02,0,0
Operating Expenses,0.33,0.27,0.31,0.34,0.45,0.02,0,0
Operating Income,-0.33,-0.27,-0.31,-0.34,-0.45,-0.02,-0,-0
Other Expense / Income,-2.12,-1.23,-0.21,-0.02,0.01,-,-,-
Pretax Income,1.79,0.96,-0.1,-0.32,-0.45,-0.02,-0,-0
Income Tax,0.43,0.22,0.03,0,0,0,0,0
Net Income,1.35,0.75,-0.14,-0.32,-0.45,-0.02,-0,-0
Shares Outstanding (Basic),31,31,31,31,9,6,6,6
Shares Outstanding (Diluted),31,31,31,31,9,6,6,6
Shares Change,229.78%,455.56%,455.56%,455.56%,-,-,-,-
EPS (Basic),0.04,0.02,-,-0.01,-0.05,-,-,-
EPS (Diluted),0.04,0.02,-,-0.01,-0.05,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.00,-0.01,-0.07,-0.00,-,-
Effective Tax Rate,24.32%,22.53%,-,-,-,-,-,-
EBITDA,1.79,0.96,-0.1,-0.32,-0.45,-0.02,-0,-0
EBIT,1.79,0.96,-0.1,-0.32,-0.45,-0.02,-0,-0
