Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.52,0.22,0.28,0.34,0.42,0.04,0.02
Operating Expenses,0.52,0.22,0.28,0.34,0.42,0.04,0.02
Operating Income,-0.52,-0.22,-0.28,-0.34,-0.42,-0.04,-0.02
Other Expense / Income,-1.45,-0.76,-0.23,-0,-0,-,-
Pretax Income,0.93,0.54,-0.05,-0.33,-0.42,-0.04,-0.02
Net Income,0.93,0.54,-0.05,-0.33,-0.42,-0.04,-0.02
Shares Outstanding (Basic),21,21,21,21,11,4,4
Shares Outstanding (Diluted),21,21,21,21,11,4,4
Shares Change,100.89%,466.67%,466.67%,-,-,-,-
EPS (Basic),0.04,0.03,-,-0.02,-0.03,-0.01,-
EPS (Diluted),0.04,0.03,-,-0.02,-0.03,-0.01,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.09,-,-
EBITDA,0.93,0.54,-0.05,-0.33,-0.42,-0.04,-0.02
EBIT,0.93,0.54,-0.05,-0.33,-0.42,-0.04,-0.02
