Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.32,0.31,0.26,0.3,0.11,0,0.02,0
Operating Expenses,0.32,0.31,0.26,0.3,0.11,0,0.02,0
Operating Income,-0.32,-0.31,-0.26,-0.3,-0.11,-0,-0.02,-0
Other Expense / Income,-3.2,-2.54,-1.33,-0.42,-0.02,-,-,-
Pretax Income,2.87,2.23,1.08,0.12,-0.09,-0,-0.02,-0
Net Income,2.87,2.23,1.08,0.12,-0.09,-0,-0.02,-0
Shares Outstanding (Basic),36,36,36,36,19,6,6,8
Shares Outstanding (Diluted),36,36,36,36,19,6,6,8
Shares Change,92.31%,475.75%,475.00%,379.17%,-,-,-,-
EPS (Basic),0.08,0.07,0.03,-,-0.01,-,-,-
EPS (Diluted),0.08,0.07,0.03,-,-0.01,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.07,-0.00,-0.03,0.02
EBITDA,2.87,2.23,1.08,0.12,-0.09,-0,-0.02,-0
EBIT,2.87,2.23,1.08,0.12,-0.09,-0,-0.02,-0
