Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+3 Quarters
Revenue,24.08,23.37,20.14,16.11,15.49,17.56,17.03,15.1,13.99,13.54,14.02,13.84,15.26,15.39,15.52,14.17,13.83,15.25,14.49,12.62,10.91,9.41,9.98,10.39,9.86,10.2,10.2,9.62,9.47,9.15,8.6,8.69,8.71,8.64,7.82,8.01,7.85,7.7,7.92,7.34,Upgrade
Revenue Growth (YoY),55.38%,33.09%,18.28%,6.65%,10.77%,29.68%,21.49%,9.13%,-8.34%,-12.03%,-9.66%,-2.32%,10.31%,0.95%,7.09%,12.29%,26.79%,62.01%,45.19%,21.41%,10.62%,-7.70%,-2.20%,8.01%,4.18%,11.42%,18.60%,10.73%,8.65%,5.91%,9.98%,8.46%,11.02%,12.28%,-1.20%,9.15%,21.76%,108.19%,-,-,Upgrade
Cost of Revenue,5.86,4.82,4.82,2.72,3.49,6.02,6.67,3.35,3.05,3.02,3.26,2.91,3.18,2.35,4.6,3.8,4.76,3.95,3.74,3.36,2.72,1.81,2.01,2.76,2.59,2.76,2.68,2.54,2.57,1.93,2.42,2.45,2.37,2.31,0.29,2.23,2.1,1.74,1.89,1.91,Upgrade
Gross Profit,18.22,18.54,15.33,13.39,12,11.54,10.36,11.76,10.94,10.52,10.76,10.93,12.08,13.04,10.92,10.37,9.08,11.3,10.75,9.26,8.19,7.6,7.97,7.64,7.28,7.43,7.52,7.09,6.89,7.22,6.19,6.25,6.34,6.33,7.53,5.78,5.75,5.96,6.03,5.43,Upgrade
"Selling, General & Admin",1.46,1.14,1.33,1.26,1.36,1.19,1.25,1.24,1.32,1.03,1.2,1.11,1.35,0.98,0.99,1.25,1.06,0.95,1.05,1,1.25,1.11,1.15,0.92,1.07,0.72,0.87,0.86,0.92,0.67,0.81,0.74,1.05,1.06,0.87,0.73,0.91,0.87,0.93,0.74,Upgrade
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Operating Expenses,1.46,1.14,1.33,1.26,1.36,1.19,1.25,1.24,1.32,1.03,1.2,1.11,1.35,0.98,0.99,1.25,1.06,0.95,1.05,1,1.25,1.11,1.15,0.92,1.07,0.72,0.87,1.13,0.92,0.67,0.81,0.74,1.05,1.06,0.87,0.73,0.91,0.87,0.93,0.74,Upgrade
Operating Income,16.76,17.41,14,12.13,10.64,10.35,9.11,10.51,9.62,9.49,9.56,9.82,10.73,12.06,9.92,9.12,8.02,10.35,9.7,8.26,6.94,6.49,6.82,6.72,6.21,6.72,6.65,5.96,5.98,6.54,5.38,5.51,5.29,5.27,6.66,5.06,4.84,5.09,5.1,4.69,Upgrade
Interest Expense / Income,7.89,7.61,6.45,5.52,4.89,4.85,4.85,4.69,4.32,3.7,3.86,4.09,4.29,4.17,3.77,3.36,3.67,3.42,3.44,3.01,2.46,1.96,2.04,1.78,2.07,2.06,2.04,2.02,1.88,1.65,1.56,1.51,1.45,1.47,1.41,1.35,1.08,0.87,0.97,0.72,Upgrade
Other Expense / Income,3.68,5.67,3.26,4.68,0.23,-4.04,-9.32,0.12,-0.04,-11.04,-2.27,-34.44,50.21,5.83,-2.67,-0.61,-5.82,3.99,-2.65,-2.36,-2.87,-0.38,-0.86,-1.11,-1.87,-1.05,-5.28,-0.93,1.74,5.89,4.44,-0.05,-1.62,2.68,2.95,0.99,-0.58,0.51,0.31,-0.5,Upgrade
