Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+32 Quarters
Revenue,13.09,12.05,12.66,11.84,10.66,10.94,10.57,9.88,9.46,8.93,7.87,8.45,6.99,6.77,5.84,6.04,6.11,5.97,5.78,6.08,5.76,4.94,4.8,4.78,5.03,4.87,5.64,5.16,4.98,4.89,4.71,5.7,4.77,4.87,4.54,4.73,4.77,4.53,4.47,4.48,Upgrade
Revenue Growth (YoY),22.81%,10.08%,19.70%,19.76%,12.67%,22.58%,34.40%,16.92%,35.42%,31.80%,34.73%,39.97%,14.36%,13.56%,0.99%,-0.61%,6.02%,20.65%,20.41%,27.13%,14.62%,1.50%,-14.86%,-7.31%,0.84%,-0.35%,19.72%,-9.49%,4.55%,0.37%,3.70%,20.41%,0.02%,7.55%,1.75%,5.67%,50.73%,-20.92%,1.43%,-12.08%,Upgrade
Gross Profit,13.09,12.05,12.66,11.84,10.66,10.94,10.57,9.88,9.46,8.93,7.87,8.45,6.99,6.77,5.84,6.04,6.11,5.97,5.78,6.08,5.76,4.94,4.8,4.78,5.03,4.87,5.64,5.16,4.98,4.89,4.71,5.7,4.77,4.87,4.54,4.73,4.77,4.53,4.47,4.48,Upgrade
Selling & Marketing,0.51,0.3,0.36,0.31,0.23,0.28,0.23,0.21,0.24,0.16,0.2,0.17,0.17,0.14,0.14,0.2,0.18,0.22,0.18,0.22,0.25,0.18,0.19,0.22,0.88,0,0,0,0.66,0,0,0,0.68,0,0,0,0.62,0,0,0,Upgrade
General & Administrative,5.06,3.57,4.01,4.99,3.81,4.3,3.9,3.81,3.82,3.26,3.07,3.45,3.27,2.79,2.88,3.21,3.2,3.07,2.71,2.59,3.13,2.37,2.25,1.74,3.77,1.4,1.98,1.59,3.24,1.5,1.3,1.41,3.16,1.41,1.37,1.37,3.42,1.25,1.26,1.43,Upgrade
Operating Income,9.27,7.29,7.4,6.44,6.27,6.41,6.64,5.93,5.48,5.62,4.79,5.2,4.44,4.72,3.36,3.38,2.88,3.03,2.95,3.13,1.94,2.16,2.08,1.88,2.32,2.33,2.44,2.59,2.44,2.42,3.19,3.15,3.31,2.27,2.44,2.32,2.25,2.21,2.09,2.08,Upgrade
Interest Income,14.09,12.47,11.28,10.81,10.81,10.53,10.02,10.37,10.11,9.13,8.73,8.23,7.93,7.56,7.14,7.14,6.74,6.5,6.07,6,5.66,5.13,4.93,4.76,4.8,4.78,5,4.98,4.81,4.68,4.42,4.33,4.35,4.54,4.37,4.49,4.53,4.35,4.39,4.48,Upgrade
Interest Expense,2.94,1.55,1.04,1,1.03,1.02,1.11,1.22,1.32,1.43,1.64,1.77,1.84,1.85,1.69,1.65,1.29,1.04,0.88,0.74,0.63,0.63,0.49,0.38,0.3,0.3,0.3,0.33,0.25,0.24,0.22,0.22,0.24,0.26,0.26,0.26,0.27,0.3,0.34,0.38,Upgrade
Other Expense / Income,14.09,12.47,11.28,10.81,10.81,10.53,10.02,10.37,10.11,9.13,8.73,8.23,7.93,7.56,7.14,7.14,6.74,6.5,6.07,6,5.66,5.13,4.93,4.76,4.8,4.78,5,4.98,4.81,4.68,4.42,4.33,4.35,4.54,4.37,4.49,4.53,4.35,4.39,4.48,Upgrade
Pretax Income,6.33,5.74,6.36,5.44,5.24,5.39,5.54,4.71,4.16,4.19,3.15,3.43,2.61,2.88,1.66,1.73,1.59,1.99,2.08,2.39,1.31,1.53,1.58,1.5,2.02,2.04,2.14,2.26,2.19,2.18,2.97,2.93,3.08,2.02,2.18,2.06,1.99,1.91,1.76,1.71,Upgrade
Income Tax,1.77,1.77,1.86,1.51,1.55,1.6,1.64,1.39,1.23,1.24,0.93,1.02,0.77,0.83,0.49,0.3,0.47,0.49,0.61,0.65,0.83,0.53,0.65,0.62,0.83,0.84,0.88,0.93,0.9,0.9,1.22,1.21,1.27,0.83,0.9,0.85,0.82,0.79,0.72,0.7,Upgrade
Net Income,4.55,3.98,4.5,3.94,3.69,3.8,3.9,3.32,2.93,2.95,2.22,2.42,1.84,2.05,1.17,1.43,1.12,1.51,1.46,1.74,0.48,1,0.93,0.88,1.19,1.2,1.25,1.33,1.28,1.28,1.75,1.72,1.81,1.18,1.28,1.21,1.17,1.12,1.03,1,Upgrade
