Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,102.78,110.54,105.95,99.38,74.69,85.31,84.76,83.3,88.61,78.15,70.94,54.07,66.94,78.68,79.13,77.2,77.27,75.79,70.17,58.68,57.51,55.33,56.25,57.14,55.25,57.05,57.31,53.18,50.98,53.49,52.5,51.23,46.33,46.15,39.62,33.51,35.72,33.52,35.89,34.11,Upgrade
Revenue Growth (YoY),37.60%,29.58%,25.00%,19.30%,-15.71%,9.15%,19.48%,54.05%,32.37%,-0.67%,-10.34%,-29.96%,-13.37%,3.81%,12.76%,31.56%,34.36%,36.99%,24.76%,2.70%,4.09%,-3.02%,-1.85%,7.45%,8.38%,6.65%,9.16%,3.79%,10.05%,15.92%,32.53%,52.88%,29.68%,37.67%,10.39%,-1.74%,-0.48%,0.79%,4.85%,2.91%,Upgrade
Gross Profit,102.78,110.54,105.95,99.38,74.69,85.31,84.76,83.3,88.61,78.15,70.94,54.07,66.94,78.68,79.13,77.2,77.27,75.79,70.17,58.68,57.51,55.33,56.25,57.14,55.25,57.05,57.31,53.18,50.98,53.49,52.5,51.23,46.33,46.15,39.62,33.51,35.72,33.52,35.89,34.11,Upgrade
"Selling, General & Admin",32.56,33.36,33.53,34.37,28.6,27.67,26.27,27.08,25.33,28.47,29.32,27.06,27.27,27.32,26.9,26.72,25.13,25.01,25.82,21.45,21.65,20.61,20.93,20.49,20.89,20.55,20.86,20.05,19.27,18.53,17.53,17.24,18.1,17.56,13.37,13.32,13.3,13.22,12.86,12.89,Upgrade
Other Operating Expenses,21.23,26.11,20.94,21.89,17.85,19.01,19.53,17.09,16.29,17.27,17.39,18.5,17.48,19.65,19.45,19.98,20.32,20.23,21.71,16.42,16.51,16.9,16.29,15.41,14.93,16.01,16.56,18.22,14.49,16.15,13.91,15.19,14.18,19.01,12.01,11.8,10.01,11.65,10.76,10.62,Upgrade
Operating Expenses,53.79,59.47,54.47,56.26,46.45,46.68,45.81,44.17,41.62,45.75,46.71,45.55,44.75,46.96,46.34,46.7,45.45,45.25,47.53,37.87,38.16,37.51,37.22,35.9,35.82,36.56,37.42,38.27,33.75,34.68,31.44,32.44,32.28,36.57,25.38,25.12,23.32,24.88,23.62,23.51,Upgrade
Operating Income,48.98,51.07,51.49,43.11,28.24,38.63,38.96,39.13,46.99,32.41,24.23,8.52,22.19,31.72,32.78,30.5,31.82,30.55,22.65,20.81,19.35,17.82,19.03,21.24,19.43,20.49,19.89,14.91,17.23,18.81,21.06,18.8,14.04,9.58,14.24,8.4,12.41,8.64,12.27,10.6,Upgrade
Pretax Income,48.98,51.07,51.49,43.11,28.24,38.63,38.96,39.13,46.99,32.41,24.23,8.52,22.19,31.72,32.78,30.5,31.82,30.55,22.65,20.81,19.35,17.82,19.03,21.24,19.43,20.49,19.89,14.91,17.23,18.81,21.06,18.8,14.04,9.58,14.24,8.4,12.41,8.64,12.27,10.6,Upgrade
Income Tax,13.15,14.72,14.15,11.75,7.87,10.4,11.53,10.77,13.34,8.75,6.62,1.09,6.07,8.83,9.39,7.44,9.1,7.33,6.48,5.78,5.44,14.83,7.13,7.65,7.35,7.95,7.69,5.51,6.56,7.39,8.37,7.43,5.71,3.93,6,3.54,5.04,3.41,4.91,4.27,Upgrade
Net Income,35.83,36.34,37.34,31.36,20.37,28.22,27.42,28.36,33.65,23.66,17.61,7.43,16.12,22.89,23.4,23.06,22.73,23.21,16.17,15.03,13.91,2.99,11.9,13.59,12.08,12.53,12.2,9.41,10.67,11.42,12.69,11.37,8.34,5.65,8.23,4.86,7.37,5.24,7.36,6.33,Upgrade
