Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,"9,704","9,636","9,303","9,136","8,809","9,011","8,805","8,687","8,313","8,397","8,275","7,401","7,908","8,063","8,013","7,834","7,671","7,796","7,723","7,477","7,286","7,451","7,325","7,184","6,942","7,193","6,961","6,785","6,686","6,678","6,798","6,710","6,629","6,795","6,886","6,785","6,708","6,737","6,452","6,674",Upgrade
Revenue Growth (YoY),10.16%,6.94%,5.66%,5.17%,5.97%,7.31%,6.40%,17.38%,5.12%,4.14%,3.27%,-5.53%,3.09%,3.42%,3.76%,4.77%,5.28%,4.63%,5.43%,4.08%,4.96%,3.59%,5.23%,5.88%,3.83%,7.71%,2.40%,1.12%,0.86%,-1.72%,-1.28%,-1.11%,-1.18%,0.86%,6.73%,1.66%,6.01%,4.01%,-0.92%,4.95%,Upgrade
Cost of Revenue,"5,959","5,924","6,088","5,803","5,039","4,819","5,464","5,045","4,970","4,341","4,886","5,107","4,789","4,640","5,230","4,821","4,442","4,778","4,655","4,562","4,296","4,342","4,806","4,225","4,094","3,740","3,856","3,762","3,712","3,363","3,382","3,547","3,431","3,209","3,520","3,826","3,315","3,327","3,297","3,530",Upgrade
Gross Profit,"3,745","3,712","3,215","3,333","3,770","4,192","3,341","3,642","3,343","4,056","3,389","2,294","3,119","3,423","2,783","3,013","3,229","3,018","3,068","2,915","2,990","3,109","2,519","2,959","2,848","3,453","3,105","3,023","2,974","3,315","3,416","3,163","3,198","3,586","3,366","2,959","3,393","3,410","3,155","3,144",Upgrade
"Selling, General & Admin","1,267","1,203","1,193","1,223","1,191","1,153","1,187","1,174","1,163","1,142","1,109","1,121","1,137","1,085","1,098","1,125","1,057","1,063","1,059","1,113","1,062","1,084","1,045","1,045",996,"1,048","1,057","1,054",995,"1,039","1,028","1,032",995,"1,051","1,031","1,001",881,977,934,931,Upgrade
Other Operating Expenses,"1,462","1,434","1,406","1,365","1,310","1,301","1,281","1,254","1,207","1,215","1,207","1,173","1,178","1,181","1,169","1,134","1,117","1,122","1,117","1,081","1,061","1,072","1,059","1,032","1,003","1,013","1,012",989,971,972,987,963,963,983,984,965,950,970,953,950,Upgrade
Operating Expenses,"2,729","2,637","2,599","2,588","2,501","2,454","2,468","2,428","2,370","2,357","2,316","2,294","2,315","2,266","2,267","2,259","2,174","2,185","2,176","2,194","2,123","2,156","2,104","2,077","1,999","2,061","2,069","2,043","1,966","2,011","2,015","1,995","1,958","2,034","2,015","1,966","1,831","1,947","1,887","1,881",Upgrade
Operating Income,"1,016","1,075",616,745,"1,269","1,738",873,"1,214",973,"1,699","1,073",0,804,"1,157",516,754,"1,055",833,892,721,867,953,415,882,849,"1,392","1,036",980,"1,008","1,304","1,401","1,168","1,240","1,552","1,351",993,"1,562","1,463","1,268","1,263",Upgrade
Interest Expense / Income,88,88,88,88,87,88,87,83,82,83,87,85,84,83,84,89,88,87,86,90,89,93,95,92,89,90,89,93,91,95,94,92,92,92,93,92,92,92,91,86,Upgrade
Pretax Income,928,987,528,657,"1,182","1,650",786,"1,131",891,"1,616",986,-85,720,"1,074",432,665,967,746,806,631,778,860,320,790,760,"1,302",947,887,917,"1,209","1,307","1,076","1,148","1,460","1,258",901,"1,470","1,371","1,177","1,177",Upgrade
Income Tax,-47,168,74,106,164,317,124,197,158,306,159,-45,120,201,36,108,171,125,97,107,109,309,27,195,143,359,231,223,226,343,379,264,315,422,339,218,418,383,313,252,Upgrade
Net Income,975,819,454,551,"1,018","1,333",662,934,733,"1,310",827,-40,600,873,396,557,796,621,709,524,669,551,293,595,617,943,716,664,691,866,928,812,833,"1,038",919,683,"1,052",988,864,925,Upgrade
Net Income Growth,-4.22%,-38.56%,-31.42%,-41.01%,38.88%,1.76%,-19.95%,-,22.17%,50.06%,108.84%,-,-24.62%,40.58%,-44.15%,6.30%,18.98%,12.70%,141.98%,-11.93%,8.43%,-41.57%,-59.08%,-10.39%,-10.71%,8.89%,-22.84%,-18.23%,-17.05%,-16.57%,0.98%,18.89%,-20.82%,5.06%,6.37%,-26.16%,17.41%,225.00%,0%,85.37%,Upgrade
Shares Outstanding (Basic),232,233,235,238,241,244,248,251,252,254,253,252,254,257,259,261,263,264,266,269,271,273,274,278,280,282,286,290,294,300,308,315,321,327,335,343,351,359,369,376,Upgrade
Shares Outstanding (Diluted),234,236,238,241,244,246,250,253,254,255,254,252,256,259,262,264,265,266,268,271,274,276,277,280,282,283,290,294,298,303,311,318,325,331,339,347,355,363,373,380,Upgrade
Shares Change,-3.82%,-4.02%,-4.88%,-4.74%,-4.09%,-3.49%,-1.65%,0.60%,-0.70%,-1.58%,-2.86%,-4.59%,-3.36%,-2.59%,-2.46%,-2.73%,-3.32%,-3.52%,-2.96%,-3.18%,-3.01%,-2.68%,-4.55%,-4.63%,-5.20%,-6.38%,-6.82%,-7.67%,-8.20%,-8.47%,-8.23%,-8.28%,-8.49%,-8.93%,-9.12%,-8.74%,-7.15%,-5.67%,-3.87%,-2.99%,Upgrade
