Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,"2,895","3,013.8","2,724.4","2,512.89","2,915.41","2,578.23","2,424.28","2,296.09","2,156.87","2,312.47","2,039.82","1,936.03","1,810.61","1,976.07","1,965.72","2,023.38","1,937.02","1,951.59","1,937.9","1,910.92","1,891.25","1,934.96","2,031.34","1,848.05","1,870.42","1,971.64","2,019.73","1,855.91","1,807.21","1,811.06","1,860.96","1,789.77","1,744.68","1,784.43","1,840.61","1,796.99","1,706.91","1,696.68","1,634.12","1,570.96",Upgrade
Revenue Growth (YoY),-0.70%,16.89%,12.38%,9.44%,35.17%,11.49%,18.85%,18.60%,19.12%,17.02%,3.77%,-4.32%,-6.53%,1.25%,1.44%,5.89%,2.42%,0.86%,-4.60%,3.40%,1.11%,-1.86%,0.58%,-0.42%,3.50%,8.87%,8.53%,3.70%,3.58%,1.49%,1.11%,-0.40%,2.21%,5.17%,12.64%,14.39%,13.28%,5.48%,15.04%,10.96%,Upgrade
Cost of Revenue,"1,538.76","1,522.1","1,564.58","1,435.82","1,339.25","1,330.33","1,298.39","1,203.65","1,121.59","1,111.7","1,114.63","1,135.13","1,107.25","1,072.17","1,041.47","1,028.83",988.65,"1,020.13","1,017.72",973.64,963.22,976.87,"1,081.17",964.7,979.6,993.46,965.86,964.16,922.32,922.97,926.36,906.24,900.71,913.57,887.12,867.78,822.1,848.6,798.28,805.47,Upgrade
Gross Profit,"1,356.25","1,491.7","1,159.82","1,077.07","1,576.16","1,247.9","1,125.89","1,092.44","1,035.28","1,200.78",925.19,800.9,703.36,903.91,924.25,994.55,948.37,931.46,920.18,937.28,928.03,958.08,950.17,883.35,890.82,978.18,"1,053.87",891.75,884.89,888.08,934.6,883.53,843.97,870.86,953.48,929.21,884.81,848.08,835.85,765.49,Upgrade
"Selling, General & Admin",825.58,822.25,725.54,699.82,713.9,692.25,643.05,647.71,616.27,637.25,593.97,580.84,578.33,601.12,581.05,591.83,588.09,601.99,577.65,593.14,610.44,615.78,600.82,616.63,603.7,625.17,606.35,581.96,582.46,591.58,573.54,573.58,551.05,563.84,544.3,534.15,515.17,520.7,504.1,494.29,Upgrade
Other Operating Expenses,122.77,159.13,116.24,122.97,94.86,163.7,115.47,106.7,86.29,128.46,85.04,76.24,94.76,122.53,101.74,88.27,90.13,126.25,93.46,75.19,69.54,104.03,86.41,68.96,66.02,84.3,78.87,116.73,95.53,108.56,100.5,98.73,89.67,109.71,97.8,101.3,91.73,115.15,103.17,81.29,Upgrade
Operating Expenses,948.34,981.38,841.78,822.79,808.75,855.95,758.51,754.4,702.56,765.71,679.01,657.08,673.09,723.65,682.79,680.1,678.21,728.24,671.11,668.33,679.98,719.81,687.23,685.59,669.72,709.47,685.21,698.69,677.99,700.14,674.04,672.31,640.72,673.55,642.1,635.45,606.9,635.84,607.27,575.58,Upgrade
Operating Income,407.91,510.32,318.05,254.29,767.4,391.95,367.38,338.04,332.72,435.07,246.18,143.82,30.27,180.26,241.46,314.45,270.16,203.22,249.07,268.95,248.05,238.28,262.93,197.76,221.1,268.71,368.66,193.07,206.9,187.94,260.56,211.22,203.26,197.31,311.38,293.77,277.92,212.24,228.58,189.91,Upgrade
Interest Expense / Income,31.84,31.9,31.78,31.72,34.97,37.33,35.1,38.1,36.65,35.66,39.77,38.37,36.73,33.5,38.48,40.72,40.72,40.58,39.85,39.71,37.06,36.88,36.82,36.8,36.8,36.88,37.04,34.75,32.22,31.74,31.64,33.03,34.54,34.6,32.93,30.31,30.33,30.51,30.35,31.21,Upgrade
Other Expense / Income,1.6,-0.24,1.6,0.15,2.39,-0.13,6.02,0.44,2.19,0.34,0.69,0.4,0.89,0.49,-0.06,0.72,0.89,3.92,2.52,0.7,1.18,1.68,0.76,0.57,1.23,0.88,0.01,-0.06,0.74,0.13,0.13,0.01,0.14,0.24,0.25,0.22,0.01,5.01,1.21,-0.83,Upgrade
Pretax Income,374.47,478.66,284.67,222.42,730.04,354.74,326.26,299.5,293.88,399.07,205.73,105.05,-7.36,146.28,203.04,273.02,228.55,158.72,206.7,228.54,209.81,199.72,225.35,160.39,183.07,230.95,331.6,158.38,173.94,156.07,228.79,178.17,168.58,162.46,278.2,263.24,247.57,176.72,197.02,159.54,Upgrade
Income Tax,80.34,96.44,55.79,43.1,139.4,60.31,64.96,62.26,64.35,86.92,54.05,33.79,-2.94,26.97,37.83,56.31,47.83,26.37,44.78,48.46,43.42,45.13,63.3,51.39,59.62,78.16,110.95,49.41,54.43,46.33,76.18,55.14,50.27,51.75,89.66,83.28,77.9,46.34,60.05,43.58,Upgrade
Net Income,294.13,382.22,228.88,179.32,590.64,294.43,261.3,237.24,229.53,312.15,151.68,71.26,-4.42,119.31,165.21,216.71,180.72,132.36,161.92,180.08,166.4,154.59,162.05,109,123.45,152.79,220.65,108.97,119.51,109.75,152.61,123.04,118.31,110.71,188.54,179.96,169.67,130.38,136.97,115.96,Upgrade
Net Income Growth,-50.20%,29.82%,-12.41%,-24.41%,157.33%,-5.68%,72.27%,232.92%,-,161.64%,-8.19%,-67.12%,-,-9.86%,2.03%,20.34%,8.61%,-14.38%,-0.08%,65.20%,34.79%,1.18%,-26.56%,0.03%,3.29%,39.22%,44.59%,-11.43%,1.02%,-0.87%,-19.06%,-31.63%,-30.27%,-15.09%,37.65%,55.20%,45.50%,-21.22%,35.69%,6.54%,Upgrade
Shares Outstanding (Basic),263,265,265,265,265,265,266,266,266,267,267,268,275,276,275,275,275,275,274,274,273,274,273,273,273,273,276,276,276,277,278,281,283,286,287,287,289,304,304,306,Upgrade
Shares Change,-0.66%,0.19%,-0.38%,-0.33%,-0.32%,-0.89%,-0.27%,-0.75%,-3.30%,-2.97%,-2.82%,-2.40%,0.22%,0.27%,0.25%,0.34%,0.39%,0.27%,0.44%,0.36%,0.27%,0.35%,-1.20%,-1.12%,-1.12%,-1.55%,-0.50%,-1.79%,-2.56%,-2.86%,-3.27%,-2.21%,-2.12%,-6.03%,-5.76%,-6.15%,-5.50%,-0.56%,-1.33%,-1.65%,Upgrade
