Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.72,0.17,0.14,0,-,-
Other Operating Expenses,0.18,0,0,0,0,0
Operating Expenses,0.89,0.17,0.14,0,-,-
Operating Income,-0.89,-0.17,-0.14,0,-,-
Other Expense / Income,-0.99,-0.52,-0.14,-,-,-
Pretax Income,0.1,0.35,0,0,-,-
Income Tax,0.18,0.1,0.02,0,-,-
Net Income,-0.08,0.25,-0.02,0,-,-
Shares Outstanding (Basic),3,3,12,2,2,-
Shares Outstanding (Diluted),3,3,12,2,-,-
Shares Change,14.21%,-,-,-,-,-
EPS (Basic),0.01,-0.02,-,-,-,-
EPS (Diluted),0.01,-0.02,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.01,-,-,-,-
Effective Tax Rate,183.03%,29.49%,657.00%,-,-,-
EBITDA,0.1,0.35,-,-,-,-
EBIT,0.1,0.35,0,0,-,-
