Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,181,36,37,39,20,48,130,85,38,679,"2,187"
Market Cap Growth,-,-2.19%,-5.44%,97.14%,-59.29%,-62.75%,53.99%,122.53%,-94.41%,-68.94%,-
Enterprise Value,197,76,-41,-49,-18,7,77,26,"1,099","1,888","2,643"
PE Ratio,-7.52,-2.26,-6.13,0.98,-7.00,-4.37,-18.14,-16.44,-10.86,11.38,-413.10
PS Ratio,23.51,7.25,-,-,-,3.04,7.17,4.23,0.15,1.60,30.24
PB Ratio,-1.22,-0.40,-0.48,-0.23,-0.09,-0.23,-0.66,-0.44,-0.21,-3.83,289.99
P/FCF Ratio,-3.67,-1.26,-2.02,2.10,-2.86,-18.84,-152.93,-440.18,-0.22,-4.28,-78.64
P/OCF Ratio,-3.87,-1.33,-2.08,2.09,-2.93,-19.99,356.57,-440.18,-0.21,-5.02,-100.18
EV/Sales Ratio,27.82,15.35,-,-,-,0.41,4.23,1.30,4.43,4.46,36.56
EV/EBITDA Ratio,-12.14,-5.51,18.31,-1.20,9.18,-0.65,-12.91,-8.05,19.05,19.17,-3775.74
EV/EBIT Ratio,-11.67,-5.34,15.24,-1.22,7.54,-0.62,-12.28,-8.05,21.89,19.38,-3645.54
EV/FCF Ratio,-4.65,-2.66,2.24,-2.67,2.67,-2.54,-90.37,-135.40,-6.25,-11.91,-95.06
Debt / Equity Ratio,-0.47,-0.59,-0.01,0.00,0.00,-,-,-,-7.00,-7.56,79.89
Debt / EBITDA Ratio,-3.72,-3.83,-0.39,0.02,-0.37,-,-,-,21.95,13.60,-860.55
Debt / FCF Ratio,-1.43,-1.85,-0.05,0.04,-0.11,-,-,-,-7.20,-8.45,-21.67
Current Ratio,-,-,17.48,7.37,6.74,7.01,7.55,7.57,-,-,-
Asset Turnover,0.07,0.05,0,0,0,0.30,0.30,0.31,0.09,0.16,0.11
Return on Equity (ROE),17.40%,19.30%,7.90%,-19.80%,1.40%,5.50%,3.70%,2.70%,2.00%,-42.70%,-109.50%
Return on Assets (ROA),-15.10%,-17.00%,-6.10%,56.70%,-5.40%,-21.00%,-11.80%,-7.90%,-0.10%,2.30%,-0.80%
Return on Capital (ROIC),-10.30%,-15.60%,-7.00%,139.60%,-8.60%,-55.80%,-25.10%,-14.50%,1.30%,2.70%,-0.10%
Earnings Yield,-9.13%,-44.28%,-16.32%,102.23%,-14.28%,-22.86%,-5.51%,-6.08%,-9.21%,8.79%,-0.24%
FCF Yield,-18.70%,-79.49%,-49.43%,47.59%,-34.99%,-5.31%,-0.65%,-0.23%,-462.74%,-23.34%,-1.27%
Buyback Yield / Dilution,18.26%,11.32%,-32.55%,-2.60%,1.33%,-2.61%,10.38%,20.45%,22.22%,-20.67%,-
Total Shareholder Return,18.26%,11.32%,-32.55%,-2.60%,1.33%,-2.61%,10.38%,20.45%,22.22%,-20.67%,-
