Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"39,867","44,731","38,627","31,238","38,830","34,684","34,511","28,404","25,562","27,526","31,135",Upgrade
Market Cap Growth,-,15.80%,23.65%,-19.55%,11.95%,0.50%,21.50%,11.12%,-7.14%,-11.59%,25.00%,Upgrade
Enterprise Value,"42,982","48,230","41,532","33,996","40,503","36,125","36,309","28,905","26,183","28,150","33,489",Upgrade
PE Ratio,9.35,10.65,8.93,6.54,11.75,11.88,7.50,10.68,10.09,9.33,9.86,Upgrade
PS Ratio,2.07,2.29,1.75,1.41,1.74,1.59,1.59,1.26,1.23,1.21,1.30,Upgrade
PB Ratio,1.99,2.22,1.16,0.93,1.34,1.48,1.40,1.39,1.44,1.50,2.13,Upgrade
P/FCF Ratio,11.83,11.53,7.65,5.24,7.12,5.77,5.63,4.74,3.77,4.20,2.95,Upgrade
P/OCF Ratio,11.83,11.53,7.65,5.24,7.12,5.77,5.63,4.74,3.77,4.20,2.95,Upgrade
EV/Sales Ratio,2.26,2.47,1.88,1.54,1.82,1.66,1.68,1.28,1.25,1.24,1.40,Upgrade
EV/EBITDA Ratio,8.80,9.99,7.47,7.72,8.67,8.59,8.53,6.67,6.31,5.85,6.55,Upgrade
EV/EBIT Ratio,8.80,9.99,7.47,7.72,8.67,8.59,8.53,6.67,6.31,5.85,6.55,Upgrade
EV/FCF Ratio,12.92,12.43,8.22,5.71,7.42,6.01,5.93,4.83,3.86,4.30,3.18,Upgrade
Debt / Equity Ratio,0.38,0.37,0.24,0.24,0.23,0.25,0.22,0.26,0.28,0.29,0.33,Upgrade
Debt / EBITDA Ratio,1.52,1.54,1.43,1.79,1.41,1.37,1.24,1.24,1.20,1.10,0.96,Upgrade
Debt / FCF Ratio,2.23,1.92,1.58,1.33,1.20,0.96,0.86,0.90,0.73,0.81,0.46,Upgrade
Asset Turnover,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.18,0.20,Upgrade
Return on Equity (ROE),19.30%,16.80%,13.00%,15.70%,11.70%,12.30%,20.80%,12.40%,14.30%,17.00%,21.60%,Upgrade
Return on Assets (ROA),3.30%,3.10%,2.70%,3.00%,2.20%,2.10%,3.40%,2.00%,2.10%,2.40%,2.60%,Upgrade
Return on Capital (ROIC),3.60%,3.50%,3.40%,2.70%,3.00%,2.90%,3.10%,3.20%,3.50%,3.80%,4.20%,Upgrade
Earnings Yield,11.07%,9.39%,11.20%,15.30%,8.51%,8.42%,13.34%,9.36%,9.91%,10.72%,10.14%,Upgrade
FCF Yield,8.45%,8.67%,13.08%,19.07%,14.05%,17.34%,17.76%,21.08%,26.51%,23.80%,33.88%,Upgrade
Dividend Yield,2.49%,2.28%,2.31%,2.57%,2.08%,2.32%,2.01%,2.42%,2.68%,2.47%,2.13%,Upgrade
Payout Ratio,23.20%,24.20%,20.60%,16.70%,24.30%,27.40%,15.00%,25.70%,26.90%,22.90%,20.90%,Upgrade
Buyback Yield / Dilution,5.96%,5.77%,5.51%,4.05%,3.64%,2.91%,3.62%,4.44%,4.59%,2.87%,0.40%,Upgrade
Total Shareholder Return,8.47%,8.05%,7.82%,6.62%,5.72%,5.23%,5.63%,6.86%,7.27%,5.34%,2.53%,Upgrade
