Year,Current,2022,2021,2020,2019,2018
Market Capitalization,431,707,521,427,604,-
Market Cap Growth,-,35.51%,22.24%,-29.36%,-,-
Enterprise Value,552,"1,342",323,441,619,12
PE Ratio,4.94,8.67,9.85,9.24,12.79,-
PS Ratio,1.64,2.84,2.57,2.18,3.15,-
PB Ratio,0.83,1.39,0.93,0.80,1.23,-
P/FCF Ratio,2.62,4.85,7.65,6.65,7.30,-
P/OCF Ratio,2.61,4.80,7.39,6.49,7.24,-
EV/Sales Ratio,2.10,5.39,1.59,2.25,3.22,0.07
EV/EBITDA Ratio,4.51,11.90,4.27,6.35,8.82,0.22
EV/EBIT Ratio,4.68,12.40,4.57,7.12,9.64,0.24
EV/FCF Ratio,3.36,9.21,4.74,6.87,7.48,0.41
Debt / Equity Ratio,0.49,1.37,0.23,0.10,0.28,0.21
Debt / EBITDA Ratio,2.06,6.19,1.75,0.77,1.96,1.67
Debt / FCF Ratio,1.53,4.80,1.94,0.83,1.66,3.14
Asset Turnover,0.03,0.03,0.03,0.04,0.04,-
Return on Equity (ROE),17.60%,16.10%,9.60%,9.00%,10.20%,-
Return on Assets (ROA),1.10%,1.00%,0.80%,0.80%,0.90%,-
Return on Capital (ROIC),1.50%,1.40%,1.10%,1.10%,1.30%,-
Earnings Yield,20.57%,11.53%,10.15%,10.83%,7.82%,-
FCF Yield,38.10%,20.61%,13.07%,15.04%,13.70%,-
Dividend Yield,2.84%,1.56%,1.91%,2.33%,1.34%,-
Payout Ratio,13.20%,13.60%,18.80%,21.60%,17.40%,4.10%
Buyback Yield / Dilution,1.22%,1.37%,-0.15%,-,-,-
Total Shareholder Return,4.06%,2.93%,1.76%,2.33%,1.34%,-
