Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"5,108","5,968","6,688","4,613","4,175","5,132","11,408","7,965","8,633","11,795","11,490",Upgrade
Market Cap Growth,-,-10.76%,44.96%,10.49%,-18.65%,-55.01%,43.23%,-7.74%,-26.81%,2.65%,70.43%,Upgrade
Enterprise Value,"6,847","8,074","8,269","5,886","5,430","6,397","12,823","9,644","9,949","13,139","12,404",Upgrade
PE Ratio,5.59,5.21,11.82,22.82,265.94,21.07,16.55,16.85,16.94,27.18,31.87,Upgrade
PS Ratio,2.30,2.56,2.77,2.28,1.86,2.16,4.95,3.63,3.48,4.70,5.25,Upgrade
PB Ratio,1.57,1.85,2.40,1.66,1.42,1.48,2.99,2.20,3.04,4.49,5.38,Upgrade
P/FCF Ratio,4.53,5.72,5.35,4.61,4.54,4.57,9.90,7.73,7.35,8.32,12.31,Upgrade
P/OCF Ratio,4.49,5.66,5.31,4.57,4.49,4.50,9.75,7.58,7.12,8.21,12.01,Upgrade
EV/Sales Ratio,3.06,3.47,3.43,2.90,2.42,2.69,5.56,4.39,4.00,5.23,5.67,Upgrade
EV/EBITDA Ratio,4.24,4.94,8.75,14.90,46.77,12.13,14.98,11.77,11.30,16.99,18.91,Upgrade
EV/EBIT Ratio,4.28,4.99,8.91,15.66,57.27,12.65,15.34,12.05,11.54,17.37,19.32,Upgrade
EV/FCF Ratio,6.03,7.74,6.61,5.88,5.90,5.70,11.13,9.36,8.47,9.27,13.29,Upgrade
Debt / Equity Ratio,0.78,0.78,0.89,0.83,0.61,0.53,0.49,0.58,0.66,0.72,0.65,Upgrade
Debt / EBITDA Ratio,1.57,1.55,2.64,5.85,15.45,3.47,2.17,2.57,2.13,2.45,2.11,Upgrade
Debt / FCF Ratio,2.23,2.43,1.99,2.31,1.95,1.63,1.61,2.05,1.60,1.34,1.48,Upgrade
Asset Turnover,0.26,0.27,0.30,0.27,0.29,0.28,0.27,0.26,0.33,0.36,0.35,Upgrade
Return on Equity (ROE),37.80%,40.20%,21.20%,7.10%,0.50%,6.80%,18.80%,15.00%,19.00%,17.00%,17.10%,Upgrade
Return on Assets (ROA),13.10%,13.30%,6.90%,2.60%,0.20%,2.90%,8.00%,5.70%,6.70%,6.20%,5.80%,Upgrade
Return on Capital (ROIC),26.40%,26.80%,16.20%,7.10%,1.80%,8.60%,13.60%,13.60%,18.70%,20.00%,21.60%,Upgrade
Earnings Yield,22.06%,19.20%,8.46%,4.38%,0.38%,4.75%,6.04%,5.94%,5.90%,3.68%,3.14%,Upgrade
FCF Yield,22.07%,17.48%,18.70%,21.69%,22.02%,21.86%,10.10%,12.93%,13.61%,12.02%,8.12%,Upgrade
Dividend Yield,0.03%,0.03%,0.03%,0.35%,1.55%,1.26%,0.41%,-,-,-,-,Upgrade
Payout Ratio,0.10%,0.10%,0.30%,8.10%,412.90%,26.40%,6.50%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,14.93%,-9.38%,4.07%,7.71%,5.95%,8.19%,-2.81%,0.35%,2.05%,-3.00%,-6.98%,Upgrade
Total Shareholder Return,14.95%,-9.34%,4.10%,8.06%,7.50%,9.45%,-2.40%,0.35%,2.05%,-3.00%,-6.98%,Upgrade
