Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"2,077","1,698","1,928","1,753","2,101",-
Market Cap Growth,-,-11.89%,9.95%,-16.55%,-,-
Enterprise Value,"2,051","1,689","1,967","1,768","2,110",132
PE Ratio,21.17,16.45,75.10,-224.43,-5002.49,-
PS Ratio,3.22,2.75,3.64,4.06,5.03,-
PB Ratio,1.81,1.51,1.91,1.94,2.45,-
P/FCF Ratio,18.38,16.78,20.44,36.62,64.48,-
P/OCF Ratio,13.51,12.11,14.95,22.79,38.14,-
EV/Sales Ratio,3.17,2.73,3.71,4.09,5.05,0.36
EV/EBITDA Ratio,11.99,9.68,22.74,43.18,36.68,1.60
EV/EBIT Ratio,14.75,11.79,40.52,303.81,77.65,2.34
EV/FCF Ratio,18.12,16.68,20.85,36.92,64.75,2.99
Debt / Equity Ratio,0.11,0.12,0.14,0.12,0.14,0.35
Debt / EBITDA Ratio,0.71,0.80,1.66,2.61,2.12,2.97
Debt / FCF Ratio,1.08,1.38,1.52,2.23,3.73,5.54
Current Ratio,2.54,2.54,2.28,2.69,3.20,2.58
Asset Turnover,0.44,0.43,0.40,0.35,0.36,0.32
Return on Equity (ROE),8.90%,9.60%,2.60%,-0.90%,-0.10%,4.70%
Return on Assets (ROA),6.60%,7.10%,1.90%,-0.60%,0.00%,3.30%
Return on Capital (ROIC),84.70%,84.60%,27.20%,3.20%,16.40%,60.30%
Earnings Yield,4.72%,6.08%,1.33%,-0.45%,-0.02%,-
FCF Yield,5.44%,5.96%,4.89%,2.73%,1.55%,-
Buyback Yield / Dilution,-0.94%,-2.04%,-7.48%,-1.60%,-0.22%,-
Total Shareholder Return,-0.94%,-2.04%,-7.48%,-1.60%,-0.22%,-
