Year,Current,2022,2021
Market Capitalization,140,136,117
Market Cap Growth,-,16.21%,-
Enterprise Value,140,136,116
PE Ratio,-187.30,-187.30,-794.78
PB Ratio,-30.37,-30.37,-40.87
P/FCF Ratio,-120.38,-120.38,-4348.13
P/OCF Ratio,-120.38,-120.38,-4348.13
EV/EBITDA Ratio,-242.61,-242.61,-788.20
EV/EBIT Ratio,-242.61,-242.61,-788.20
EV/FCF Ratio,-120.34,-120.34,-4312.11
Current Ratio,0.14,0.14,4.18
Return on Equity (ROE),20.10%,20.10%,-
Return on Assets (ROA),-0.70%,-0.70%,-
Return on Capital (ROIC),-0.50%,-0.50%,-
Earnings Yield,-0.52%,-0.53%,-0.13%
FCF Yield,-0.81%,-0.83%,-0.02%
Buyback Yield / Dilution,-18.69%,-18.69%,-
Total Shareholder Return,-18.69%,-18.69%,-
