Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"223,724","265,703","364,110","262,205","316,808","241,822","307,912","223,322","175,242","188,139","166,072",Upgrade
Market Cap Growth,-,-27.03%,38.86%,-17.24%,31.01%,-21.46%,37.88%,27.44%,-6.86%,13.29%,32.72%,Upgrade
Enterprise Value,"186,920","259,216","254,224","23,716","303,713","232,362","363,511","278,557","254,816","325,805","326,661",Upgrade
PE Ratio,8.22,10.21,11.92,15.92,12.19,9.06,18.53,13.84,12.15,42.03,16.47,Upgrade
PS Ratio,2.23,2.80,4.09,3.07,3.47,2.66,3.53,2.67,2.11,2.19,1.87,Upgrade
PB Ratio,0.78,0.97,1.35,0.96,1.20,0.91,1.15,0.84,0.68,0.77,0.71,Upgrade
P/FCF Ratio,7.84,-42.00,-50.62,6.90,5.13,6.12,31.22,12.93,6.17,6.11,1.79,Upgrade
P/OCF Ratio,7.84,-42.00,-50.62,6.90,5.13,6.12,31.22,12.93,6.17,6.11,1.79,Upgrade
EV/Sales Ratio,1.91,2.73,2.85,0.28,3.33,2.55,4.17,3.33,3.07,3.79,3.67,Upgrade
EV/EBITDA Ratio,5.47,7.87,7.09,1.14,8.81,6.34,11.61,10.22,10.37,31.07,17.32,Upgrade
EV/EBIT Ratio,5.81,8.37,7.48,1.25,9.27,6.72,12.44,11.13,11.48,40.91,20.20,Upgrade
EV/FCF Ratio,6.72,-40.97,-35.34,0.62,4.92,5.88,36.85,16.12,8.97,10.58,3.52,Upgrade
Debt / Equity Ratio,2.34,1.82,1.84,1.66,1.62,1.65,1.64,1.54,1.71,1.95,2.12,Upgrade
Debt / EBITDA Ratio,19.17,15.13,13.83,21.72,12.47,11.91,13.95,15.08,17.87,45.36,26.19,Upgrade
Debt / FCF Ratio,23.55,-78.80,-68.98,11.91,6.96,11.05,44.30,23.79,15.46,15.44,5.32,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),9.90%,9.60%,11.20%,6.10%,9.70%,10.10%,6.20%,6.10%,5.70%,1.90%,4.30%,Upgrade
Return on Assets (ROA),0.90%,0.80%,1.00%,0.60%,1.10%,1.10%,0.70%,0.70%,0.70%,0.20%,0.50%,Upgrade
Return on Capital (ROIC),1.10%,1.00%,1.20%,0.80%,1.40%,1.50%,1.30%,1.20%,1.00%,0.40%,0.70%,Upgrade
Earnings Yield,12.42%,9.79%,8.39%,6.28%,8.21%,11.04%,5.40%,7.23%,8.23%,2.38%,6.07%,Upgrade
FCF Yield,12.75%,-2.38%,-1.98%,14.49%,19.50%,16.34%,3.20%,7.74%,16.20%,16.37%,55.89%,Upgrade
Dividend Yield,3.10%,2.64%,1.83%,2.42%,1.97%,2.29%,1.37%,1.24%,1.28%,0.68%,0.28%,Upgrade
Payout Ratio,26.00%,26.80%,21.70%,38.30%,23.80%,20.50%,23.90%,15.90%,14.50%,27.90%,4.30%,Upgrade
Buyback Yield / Dilution,0.24%,4.57%,2.71%,6.84%,7.76%,5.02%,2.43%,1.69%,-6.16%,7.89%,-6.00%,Upgrade
Total Shareholder Return,3.42%,7.21%,4.54%,9.26%,9.72%,7.31%,3.79%,2.92%,-4.87%,8.57%,-5.72%,Upgrade
