Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"2,742","3,544","4,135","3,241","4,235","3,615","7,023",-,-,-
Market Cap Growth,-,-14.28%,27.59%,-23.48%,17.14%,-48.53%,-,-,-,-
Enterprise Value,"2,158","2,585","2,818","2,569","5,723","3,433","8,778",-521,"3,163","3,222"
PE Ratio,-2.41,-35.80,-20.99,-2.93,-5.56,4.18,-18.58,-,-,-
PS Ratio,0.38,0.42,0.58,0.38,0.65,0.40,1.03,-,-,-
PB Ratio,0.47,0.64,0.26,0.18,0.26,0.25,0.48,-,-,-
P/FCF Ratio,-2.01,-3.08,5.54,3.65,2.32,1.18,2.07,-,-,-
P/OCF Ratio,-2.01,-3.08,5.54,3.65,2.32,1.18,2.07,-,-,-
EV/Sales Ratio,0.31,0.31,0.39,0.30,0.87,0.38,1.28,-0.17,0.36,0.34
EV/EBITDA Ratio,-1.50,-14.61,-13.23,-1.80,-5.41,3.49,-14.27,0.11,2.13,2.07
EV/EBIT Ratio,-1.50,-14.61,-13.23,-1.80,-5.41,3.49,-14.27,0.11,2.16,2.11
EV/FCF Ratio,-1.65,-2.25,3.78,2.89,3.13,1.12,2.58,-0.14,0.68,0.60
Debt / Equity Ratio,0.55,0.57,0.20,0.19,0.27,0.27,0.25,0.32,0.28,0.28
Debt / EBITDA Ratio,-1.93,-17.83,-14.82,-2.41,-4.13,4.03,-5.87,-1.00,3.18,3.09
Debt / FCF Ratio,-2.12,-2.74,4.23,3.87,2.39,1.29,1.06,1.26,1.02,0.90
Asset Turnover,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.01,0.04,-
Return on Equity (ROE),-18.10%,-1.20%,-1.20%,-5.70%,-4.70%,6.40%,-2.60%,-18.50%,6.50%,-
Return on Assets (ROA),-0.50%,0.00%,-0.10%,-0.50%,-0.30%,0.40%,-0.20%,-1.30%,0.50%,-
Return on Capital (ROIC),-0.70%,-0.10%,-0.10%,-0.60%,-0.50%,0.50%,-0.30%,-2.10%,0.60%,-
Earnings Yield,-46.05%,-2.79%,-4.76%,-34.10%,-17.97%,23.93%,-5.38%,-,-,-
FCF Yield,-55.40%,-32.47%,18.04%,27.40%,43.17%,84.70%,48.35%,-,-,-
Buyback Yield / Dilution,11.66%,13.39%,10.82%,17.08%,8.99%,0.98%,-,-,-,-
Total Shareholder Return,11.66%,13.39%,10.82%,17.08%,8.99%,0.98%,-,-,-,-
