Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"3,000","1,781","2,313","2,118",-,-,-
Market Cap Growth,-,-22.99%,9.20%,-,-,-,-
Enterprise Value,"4,586","3,368","3,594","2,898",479,382,393
PE Ratio,97.86,58.40,-80.45,14.78,-,-,-
PS Ratio,9.40,5.58,10.64,6.46,-,-,-
PB Ratio,1.72,1.02,1.36,1.20,-,-,-
P/FCF Ratio,-3.82,-3.82,-3.95,39.62,-,-,-
P/OCF Ratio,-3.82,-3.82,-3.95,39.35,-,-,-
EV/Sales Ratio,14.37,10.55,16.54,8.84,0.90,0.90,1.15
EV/EBITDA Ratio,38.39,28.20,90.71,14.08,1.29,1.11,1.44
EV/EBIT Ratio,38.39,28.20,90.71,14.08,1.29,1.11,1.44
EV/FCF Ratio,-7.22,-7.22,-6.14,54.21,-1.73,-1.64,-
Debt / Equity Ratio,0.97,0.97,0.86,0.63,0.44,0.48,0.66
Debt / EBITDA Ratio,14.18,14.18,36.88,5.36,1.79,1.89,1.93
Debt / FCF Ratio,-3.63,-3.63,-2.50,20.62,-2.40,-2.78,-
Asset Turnover,0.08,0.08,0.06,0.10,0.19,0.21,-
Return on Equity (ROE),1.80%,1.80%,-1.70%,8.80%,21.00%,29.40%,-
Return on Assets (ROA),0.80%,0.80%,-0.80%,4.50%,10.80%,15.70%,-
Return on Capital (ROIC),2.20%,2.20%,0.90%,5.60%,12.10%,15.20%,-
Earnings Yield,1.02%,1.71%,-1.24%,6.76%,-,-,-
FCF Yield,-15.55%,-26.19%,-25.32%,2.52%,-,-,-
Dividend Yield,0.91%,-,-,-,-,-,-
Buyback Yield / Dilution,-0.99%,-1.26%,0.27%,-0.24%,-,-,-
Total Shareholder Return,-0.07%,-1.26%,0.27%,-0.24%,-,-,-
