Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,"97,459","52,065","88,874","43,682","36,884","19,743","20,196","15,461","16,329","17,607","15,299",Upgrade
Market Cap Growth,-,-41.42%,103.46%,18.43%,86.82%,-2.24%,30.62%,-5.32%,-7.26%,15.08%,131.57%,Upgrade
Enterprise Value,"106,610","61,036","95,417","48,011","46,214","27,514","31,362","21,776","20,239","23,426","24,281",Upgrade
PE Ratio,98.05,29.79,15.17,41.79,18.00,12.81,13.73,14.88,23.01,11.11,13.06,Upgrade
PS Ratio,20.17,6.11,3.94,7.16,5.03,2.89,2.83,3.00,3.51,2.35,2.31,Upgrade
PB Ratio,13.58,6.80,9.43,6.57,5.26,3.10,3.04,2.39,2.60,2.49,2.43,Upgrade
P/FCF Ratio,26.08,8.53,22.66,23.94,19.38,721.46,-12.23,-140.02,6.98,10.84,4.34,Upgrade
P/OCF Ratio,24.43,8.22,22.30,22.56,18.79,431.61,-12.42,-174.52,6.81,10.64,4.31,Upgrade
EV/Sales Ratio,22.33,7.17,4.23,7.87,6.30,4.03,4.39,4.23,4.36,3.13,3.67,Upgrade
EV/EBITDA Ratio,99.62,23.43,13.04,29.30,20.34,13.66,12.76,15.48,17.66,11.16,14.89,Upgrade
EV/EBIT Ratio,105.68,24.05,13.18,30.63,20.99,14.07,13.00,16.45,19.37,11.73,15.82,Upgrade
EV/FCF Ratio,28.88,10.00,24.33,26.32,24.29,1005.46,-19.00,-197.21,8.66,14.42,6.89,Upgrade
Debt / Equity Ratio,1.88,1.76,0.93,0.96,1.69,1.62,2.27,1.42,1.01,1.28,1.72,Upgrade
Debt / EBITDA Ratio,12.48,5.17,1.20,3.90,5.22,5.12,6.14,6.51,5.53,4.31,6.66,Upgrade
Debt / FCF Ratio,3.62,2.21,2.23,3.50,6.23,377.00,-9.14,-82.93,2.71,5.56,3.08,Upgrade
Asset Turnover,0.12,0.20,0.63,0.23,0.23,0.23,0.23,0.22,0.18,0.25,0.23,Upgrade
Return on Equity (ROE),8.00%,20.80%,67.50%,17.50%,30.90%,22.90%,22.30%,16.60%,10.40%,23.60%,20.40%,Upgrade
Return on Assets (ROA),1.50%,4.20%,16.40%,3.90%,6.50%,5.30%,4.70%,4.30%,2.80%,5.20%,4.10%,Upgrade
Return on Capital (ROIC),2.10%,5.40%,19.10%,5.10%,5.70%,5.60%,6.30%,4.90%,3.70%,5.70%,4.30%,Upgrade
Earnings Yield,0.64%,3.36%,6.59%,2.39%,5.56%,7.81%,7.29%,6.72%,4.35%,9.00%,7.66%,Upgrade
FCF Yield,3.83%,11.72%,4.41%,4.18%,5.16%,0.14%,-8.17%,-0.71%,14.32%,9.23%,23.02%,Upgrade
Dividend Yield,4.81%,7.03%,2.89%,3.05%,3.52%,14.79%,7.65%,12.83%,21.10%,6.69%,4.55%,Upgrade
Payout Ratio,420.50%,209.30%,43.90%,127.30%,63.40%,106.60%,105.00%,103.80%,258.90%,73.80%,59.00%,Upgrade
Buyback Yield / Dilution,-1.59%,-2.89%,-3.28%,-3.12%,43.98%,-81.16%,44.25%,-0.59%,-93.76%,-3.83%,-9.63%,Upgrade
Total Shareholder Return,3.26%,4.14%,-0.39%,-0.07%,47.50%,-66.36%,51.91%,12.24%,-72.66%,2.85%,-5.08%,Upgrade
