Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,234,346,367,279,372,268,224,160,101,79,50,Upgrade
Market Cap Growth,-,-5.58%,31.42%,-24.91%,38.47%,19.90%,39.77%,59.08%,27.00%,57.67%,24.19%,Upgrade
Enterprise Value,532,845,307,325,598,471,306,230,191,166,103,Upgrade
PE Ratio,5.25,8.78,9.04,8.67,11.18,20.36,15.30,10.19,9.01,10.35,10.01,Upgrade
PS Ratio,1.57,2.52,2.91,2.59,3.49,3.22,3.16,2.37,1.66,1.46,0.99,Upgrade
PB Ratio,0.68,1.03,1.03,0.80,1.13,0.90,1.21,1.16,0.80,0.68,0.39,Upgrade
P/FCF Ratio,8.09,18.36,9.44,9.09,10.43,13.87,11.22,10.48,7.70,5.05,4.27,Upgrade
P/OCF Ratio,6.57,13.75,8.99,8.54,9.57,13.67,10.75,9.04,6.68,5.32,3.92,Upgrade
EV/Sales Ratio,3.54,6.14,2.43,3.02,5.61,5.64,4.32,3.40,3.15,3.05,2.03,Upgrade
EV/EBITDA Ratio,9.14,16.00,5.98,8.07,13.98,25.23,12.73,8.93,9.82,11.32,10.61,Upgrade
EV/EBIT Ratio,10.14,17.96,6.34,8.76,15.10,28.06,13.78,9.66,10.88,13.05,13.68,Upgrade
EV/FCF Ratio,18.25,44.78,7.89,10.60,16.78,24.34,15.36,15.07,14.59,10.56,8.77,Upgrade
Debt / Equity Ratio,1.00,1.62,0.57,0.52,0.83,0.82,0.67,0.78,1.00,1.00,0.68,Upgrade
Debt / EBITDA Ratio,5.99,10.26,3.99,4.55,6.42,13.14,5.11,4.14,6.47,7.94,8.96,Upgrade
Debt / FCF Ratio,11.98,28.73,5.26,5.97,7.71,12.68,6.17,7.00,9.61,7.41,7.41,Upgrade
Asset Turnover,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,Upgrade
Return on Equity (ROE),13.60%,12.40%,11.50%,9.50%,10.30%,5.50%,8.10%,11.60%,9.20%,6.70%,4.60%,Upgrade
Return on Assets (ROA),1.30%,1.20%,1.40%,1.20%,1.50%,0.70%,1.00%,1.10%,0.80%,0.60%,0.40%,Upgrade
Return on Capital (ROIC),1.50%,1.40%,1.80%,1.40%,1.70%,0.90%,1.50%,1.70%,1.30%,1.00%,0.60%,Upgrade
Earnings Yield,18.62%,11.39%,11.06%,11.54%,8.95%,4.91%,6.54%,9.82%,11.10%,9.66%,9.99%,Upgrade
FCF Yield,12.37%,5.45%,10.60%,11.00%,9.58%,7.21%,8.91%,9.54%,12.99%,19.79%,23.43%,Upgrade
Dividend Yield,3.81%,2.54%,2.13%,2.51%,1.75%,1.84%,1.14%,1.13%,1.56%,1.85%,2.30%,Upgrade
Payout Ratio,19.60%,21.50%,19.80%,22.00%,19.80%,29.10%,16.90%,11.20%,14.00%,19.20%,23.10%,Upgrade
Buyback Yield / Dilution,-5.85%,-4.67%,5.58%,-2.81%,-0.50%,-51.43%,-23.44%,-5.04%,-1.76%,-,-,Upgrade
Total Shareholder Return,-2.04%,-2.12%,7.71%,-0.30%,1.25%,-49.59%,-22.31%,-3.91%,-0.20%,1.85%,2.30%,Upgrade
