Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,547,950,"1,295",787,910,595,824,785,562,564,307,Upgrade
Market Cap Growth,-,-26.66%,64.61%,-13.51%,52.79%,-27.77%,4.97%,39.68%,-0.24%,83.55%,62.22%,Upgrade
Enterprise Value,927,"1,704","1,663","1,130","1,354","1,152","1,400","1,116","1,087",937,376,Upgrade
PE Ratio,4.73,7.97,10.07,11.04,12.40,9.87,19.07,25.29,13.65,30.54,15.52,Upgrade
PS Ratio,1.86,3.19,4.56,3.72,4.89,4.21,5.60,7.75,4.86,6.86,5.83,Upgrade
PB Ratio,0.46,0.81,1.15,0.86,1.24,0.97,1.46,1.48,1.18,1.26,1.82,Upgrade
P/FCF Ratio,3.84,5.45,6.49,9.97,15.37,6.72,6.42,16.55,13.28,24.29,13.84,Upgrade
P/OCF Ratio,3.71,5.37,6.40,9.70,14.99,6.69,6.29,15.80,12.16,22.38,13.26,Upgrade
EV/Sales Ratio,3.15,5.73,5.86,5.34,7.27,8.13,9.50,11.01,9.40,11.40,7.13,Upgrade
EV/EBITDA Ratio,5.51,9.64,9.20,11.62,13.75,15.39,19.33,24.06,16.87,31.83,13.27,Upgrade
EV/EBIT Ratio,5.70,9.95,9.50,12.50,14.40,16.19,20.43,26.03,17.76,34.20,13.70,Upgrade
EV/FCF Ratio,6.50,9.78,8.33,14.31,22.88,12.99,10.89,23.51,25.67,40.40,16.93,Upgrade
Debt / Equity Ratio,0.79,0.87,0.56,0.71,0.88,1.19,1.28,1.00,1.52,1.12,0.90,Upgrade
Debt / EBITDA Ratio,5.61,5.78,3.50,6.65,6.56,9.74,10.01,11.44,11.26,17.00,5.34,Upgrade
Debt / FCF Ratio,6.61,5.87,3.17,8.19,10.91,8.22,5.64,11.19,17.14,21.58,6.81,Upgrade
Asset Turnover,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),9.70%,10.30%,12.50%,8.10%,10.40%,10.30%,7.80%,6.20%,8.80%,6.00%,12.00%,Upgrade
Return on Assets (ROA),1.20%,1.30%,1.60%,1.00%,1.20%,1.10%,0.90%,0.70%,1.10%,0.70%,1.20%,Upgrade
Return on Capital (ROIC),1.60%,1.80%,2.20%,1.20%,1.50%,1.20%,1.30%,0.90%,1.50%,1.00%,1.60%,Upgrade
Earnings Yield,20.61%,12.54%,9.93%,9.06%,8.07%,10.14%,5.24%,3.95%,7.33%,3.27%,6.44%,Upgrade
FCF Yield,26.07%,18.33%,15.41%,10.03%,6.50%,14.89%,15.58%,6.04%,7.53%,4.12%,7.22%,Upgrade
Dividend Yield,4.71%,2.46%,1.35%,1.82%,1.34%,1.62%,1.17%,1.16%,1.62%,1.25%,1.39%,Upgrade
Payout Ratio,21.60%,19.60%,13.60%,20.00%,16.60%,16.00%,22.20%,29.40%,21.90%,37.50%,21.50%,Upgrade
Buyback Yield / Dilution,1.15%,0.91%,0.41%,-12.41%,-9.72%,-0.70%,-5.78%,-1.09%,-28.98%,-43.29%,-0.21%,Upgrade
Total Shareholder Return,5.86%,3.36%,1.75%,-10.59%,-8.38%,0.92%,-4.62%,0.06%,-27.37%,-42.04%,1.18%,Upgrade
