Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,"4,718","4,188","5,028","4,857","5,115","3,354","4,274","3,014","2,028","2,225","2,010"
Market Cap Growth,-,-16.71%,3.53%,-5.06%,52.50%,-21.52%,41.81%,48.60%,-8.83%,10.68%,-
Enterprise Value,"5,049","4,527","5,366","5,076","5,268","3,513","4,479","3,086","2,004","2,200","1,532"
PE Ratio,6.43,5.04,7.38,11.76,9.21,7.18,11.26,13.54,12.89,25.14,30.73
PS Ratio,4.73,4.18,4.89,5.09,5.90,4.66,7.41,6.58,5.74,9.29,15.30
PB Ratio,1.01,0.94,1.19,1.26,1.71,1.42,2.20,2.24,1.81,2.33,2.78
P/FCF Ratio,7.97,7.16,7.11,6.69,8.72,5.40,11.68,11.10,9.15,14.85,17.28
P/OCF Ratio,7.92,7.11,7.09,6.67,8.67,5.36,11.60,10.98,8.95,14.47,16.89
EV/Sales Ratio,5.09,4.52,5.22,5.31,6.07,4.88,7.77,6.73,5.67,9.19,11.66
EV/EBITDA Ratio,5.71,4.50,6.43,10.10,7.83,6.27,10.99,9.76,8.65,15.90,25.42
EV/EBIT Ratio,5.73,4.51,6.46,10.17,7.87,6.31,11.09,9.88,8.77,16.19,26.41
EV/FCF Ratio,8.57,7.74,7.59,7.00,8.98,5.65,12.24,11.37,9.04,14.69,13.17
Debt / Equity Ratio,0.09,0.09,0.10,0.08,0.08,0.09,0.13,0.07,-,-,-
Debt / EBITDA Ratio,0.48,0.42,0.50,0.64,0.33,0.40,0.61,0.32,-,-,-
Debt / FCF Ratio,0.71,0.72,0.59,0.44,0.38,0.36,0.68,0.37,-,-,-
Asset Turnover,0.18,0.18,0.19,0.20,0.24,0.25,0.25,0.27,0.26,0.24,0.23
Return on Equity (ROE),16.50%,19.30%,16.60%,11.50%,20.10%,21.50%,22.90%,17.50%,14.90%,10.90%,13.90%
Return on Assets (ROA),12.80%,14.90%,12.30%,8.50%,15.30%,15.90%,16.30%,12.90%,11.50%,8.80%,11.50%
Return on Capital (ROIC),14.60%,17.00%,14.30%,9.70%,17.60%,17.80%,16.40%,17.90%,17.00%,13.80%,18.20%
Earnings Yield,15.50%,19.85%,13.56%,8.50%,10.86%,13.93%,8.89%,7.39%,7.76%,3.98%,3.25%
FCF Yield,12.55%,13.97%,14.06%,14.94%,11.46%,18.52%,8.56%,9.01%,10.93%,6.73%,5.79%
Dividend Yield,2.07%,2.21%,1.55%,1.40%,0.58%,-,-,-,-,-,-
Payout Ratio,13.30%,11.10%,11.40%,16.50%,5.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.93%,3.50%,-4.87%,-8.30%,-0.26%,-2.90%,-3.22%,-0.55%,-7.17%,-372.86%,34.04%
Total Shareholder Return,3.01%,5.71%,-3.32%,-6.89%,0.32%,-2.90%,-3.22%,-0.55%,-7.17%,-372.86%,34.04%
