Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,"1,960","2,348","2,834","2,012","2,302","1,868","1,103","1,437",699,"1,250","1,282",Upgrade
Market Cap Growth,-,-17.13%,40.84%,-12.59%,23.21%,69.43%,-23.27%,105.66%,-44.11%,-2.45%,35.73%,Upgrade
Enterprise Value,"2,418","2,802",974,"1,442","2,512","2,356","1,610","2,324","1,328","1,911","2,058",Upgrade
PE Ratio,6.94,7.70,10.22,20.20,13.98,9.39,17.15,15.45,32.81,3.17,-7.79,Upgrade
PS Ratio,2.24,2.64,3.09,3.72,3.73,3.41,2.69,2.96,1.70,2.66,5.01,Upgrade
PB Ratio,1.39,1.77,1.35,0.88,1.03,0.91,0.59,0.81,0.41,0.75,1.05,Upgrade
P/FCF Ratio,4.59,5.57,7.32,7.13,8.42,6.91,4.82,7.51,2.76,5.14,3.89,Upgrade
P/OCF Ratio,4.44,5.33,7.09,6.76,7.82,6.48,4.67,7.21,2.67,4.73,3.75,Upgrade
EV/Sales Ratio,2.76,3.15,1.06,2.67,4.07,4.29,3.93,4.79,3.23,4.07,8.05,Upgrade
EV/EBITDA Ratio,5.32,5.85,2.12,10.33,9.76,11.41,20.09,15.23,24.63,16.03,-15.92,Upgrade
EV/EBIT Ratio,5.69,6.26,2.30,12.69,10.61,12.54,27.15,17.87,47.91,20.48,-12.92,Upgrade
EV/FCF Ratio,5.66,6.65,2.52,5.11,9.19,8.72,7.04,12.14,5.24,7.85,6.24,Upgrade
Debt / Equity Ratio,0.91,0.70,0.33,0.41,0.38,0.53,0.65,0.66,0.82,0.87,1.18,Upgrade
Debt / EBITDA Ratio,2.82,1.95,1.48,6.62,3.32,5.20,15.27,7.77,25.62,12.22,-11.08,Upgrade
Debt / FCF Ratio,3.00,2.22,1.77,3.27,3.12,3.97,5.35,6.20,5.45,5.99,4.34,Upgrade
Asset Turnover,0.05,0.05,0.04,0.03,0.05,0.05,0.03,0.04,0.03,0.04,0.02,Upgrade
Return on Equity (ROE),21.10%,20.60%,12.70%,4.50%,7.60%,10.30%,3.50%,5.20%,1.30%,28.40%,-13.00%,Upgrade
Return on Assets (ROA),1.60%,1.60%,1.30%,0.60%,1.30%,1.60%,0.50%,0.80%,0.20%,3.10%,-1.30%,Upgrade
Return on Capital (ROIC),2.30%,2.40%,2.20%,0.70%,1.90%,1.50%,0.50%,1.00%,0.20%,0.70%,-1.20%,Upgrade
Earnings Yield,14.96%,12.99%,9.79%,4.95%,7.16%,10.65%,5.83%,6.47%,3.05%,31.51%,-12.83%,Upgrade
FCF Yield,21.78%,17.94%,13.66%,14.02%,11.88%,14.47%,20.73%,13.31%,36.27%,19.47%,25.74%,Upgrade
Dividend Yield,4.59%,3.62%,2.25%,2.17%,1.32%,0.35%,-,-,-,-,-,Upgrade
Payout Ratio,31.80%,28.70%,23.50%,43.50%,18.40%,3.30%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,8.99%,10.23%,5.77%,-0.40%,-0.05%,-0.48%,0.56%,-1.12%,-0.94%,-2.87%,-0.43%,Upgrade
Total Shareholder Return,13.57%,13.84%,8.02%,1.77%,1.27%,-0.13%,0.56%,-1.12%,-0.94%,-2.87%,-0.43%,Upgrade
