Year,Current,2022,2021
Market Capitalization,152,148,147
Market Cap Growth,-,0.89%,-
Enterprise Value,152,148,146
PE Ratio,39.04,38.55,-77.88
PB Ratio,-24.88,-24.88,-17.03
P/FCF Ratio,-131.80,-131.80,-773.06
P/OCF Ratio,-131.80,-131.80,-773.06
EV/EBITDA Ratio,36.83,35.97,-77.56
EV/EBIT Ratio,36.83,35.97,-77.56
EV/FCF Ratio,-132.26,-132.26,-769.83
Debt / Equity Ratio,-0.09,-0.09,-
Debt / EBITDA Ratio,0.13,0.13,-
Debt / FCF Ratio,-0.47,-0.47,-
Current Ratio,0.03,0.03,3.90
Return on Equity (ROE),-57.80%,-57.80%,88.20%
Return on Assets (ROA),3.30%,3.30%,-6.40%
Return on Capital (ROIC),3.50%,3.50%,-6.50%
Earnings Yield,2.53%,2.59%,-1.28%
FCF Yield,-0.74%,-0.76%,-0.13%
Buyback Yield / Dilution,-157.67%,-157.67%,-
Total Shareholder Return,-157.67%,-157.67%,-
