Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,"3,301","3,231","3,640","2,871","3,296","2,668","3,641","2,891","2,983","3,444","3,012",Upgrade
Market Cap Growth,-,-11.22%,26.79%,-12.91%,23.53%,-26.71%,25.94%,-3.08%,-13.40%,14.34%,43.29%,Upgrade
Enterprise Value,"3,275","3,162","3,559","2,645","3,177","2,613","3,441","2,781","2,853","3,389","2,996",Upgrade
PE Ratio,13.10,13.49,13.47,8.80,12.10,12.11,12.50,13.84,17.57,23.08,18.57,Upgrade
PS Ratio,2.21,2.24,2.80,1.98,2.48,2.35,3.30,2.53,3.22,4.01,3.43,Upgrade
PB Ratio,3.00,3.09,3.27,2.53,3.17,3.11,4.78,4.86,4.60,5.65,5.32,Upgrade
P/FCF Ratio,9.61,10.11,22.75,7.98,10.30,14.12,9.64,11.43,13.13,18.76,12.02,Upgrade
P/OCF Ratio,9.52,9.98,21.36,7.69,9.84,12.94,9.40,10.88,12.79,17.89,11.54,Upgrade
EV/Sales Ratio,2.18,2.19,2.74,1.83,2.39,2.30,3.12,2.43,3.08,3.94,3.41,Upgrade
EV/EBITDA Ratio,8.85,9.03,8.76,5.64,8.07,8.16,9.25,7.85,9.46,12.47,10.44,Upgrade
EV/EBIT Ratio,9.60,9.81,9.46,6.02,8.69,8.71,9.74,8.36,10.30,13.65,11.21,Upgrade
EV/FCF Ratio,9.48,9.90,22.25,7.35,9.93,13.82,9.11,11.00,12.56,18.46,11.95,Upgrade
Debt / Equity Ratio,0.40,0.43,0.31,0.19,0.21,0.16,0.22,0.32,0.33,0.40,0.49,Upgrade
Debt / EBITDA Ratio,1.20,1.29,0.85,0.45,0.56,0.42,0.46,0.54,0.72,0.89,0.96,Upgrade
Debt / FCF Ratio,1.28,1.42,2.16,0.59,0.69,0.71,0.45,0.76,0.95,1.32,1.10,Upgrade
Current Ratio,3.00,2.53,2.07,2.17,2.00,1.68,3.39,2.21,2.49,2.29,1.58,Upgrade
Asset Turnover,0.76,0.73,0.65,0.73,0.76,0.81,0.94,0.96,0.81,0.76,0.76,Upgrade
Return on Equity (ROE),24.80%,23.70%,23.30%,29.50%,28.70%,26.80%,43.80%,32.10%,26.80%,25.20%,29.90%,Upgrade
Return on Assets (ROA),12.80%,12.00%,13.50%,16.50%,15.70%,15.80%,24.90%,17.50%,14.70%,13.20%,14.10%,Upgrade
Return on Capital (ROIC),47.00%,42.30%,73.00%,103.50%,81.00%,136.60%,109.30%,90.40%,72.90%,59.30%,57.80%,Upgrade
Earnings Yield,7.63%,7.41%,7.43%,11.37%,8.26%,8.26%,8.00%,7.23%,5.69%,4.33%,5.38%,Upgrade
FCF Yield,10.41%,9.89%,4.39%,12.53%,9.71%,7.08%,10.37%,8.75%,7.62%,5.33%,8.32%,Upgrade
Dividend Yield,2.96%,2.97%,2.87%,7.20%,3.31%,3.99%,2.77%,7.07%,3.49%,3.04%,3.40%,Upgrade
Payout Ratio,38.20%,40.80%,39.00%,64.00%,40.10%,48.60%,34.80%,98.50%,61.70%,70.40%,63.20%,Upgrade
Buyback Yield / Dilution,2.97%,8.11%,2.53%,1.75%,-0.64%,0.40%,1.29%,1.82%,0.47%,-0.00%,-0.65%,Upgrade
Total Shareholder Return,5.91%,11.09%,5.41%,8.95%,2.68%,4.39%,4.06%,8.89%,3.96%,3.03%,2.75%,Upgrade
