Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1996
Market Capitalization,67,221,168,246,351,482,317,164,142,77,54,Upgrade
Market Cap Growth,-,31.85%,-31.80%,-29.92%,-27.12%,52.10%,93.36%,15.47%,83.21%,43.96%,42.76%,Upgrade
Enterprise Value,547,195,115,158,381,441,304,205,35,64,-52,Upgrade
PE Ratio,4.48,10.20,40.61,-70.28,40.68,54.08,64.03,67.30,58.07,-22.24,14.88,Upgrade
PS Ratio,0.40,1.42,1.35,2.47,3.74,5.93,5.18,3.31,3.30,2.10,1.37,Upgrade
PB Ratio,0.35,0.68,0.54,0.99,1.43,2.13,1.47,1.44,1.26,1.23,0.77,Upgrade
P/FCF Ratio,-1.29,-2.32,-6.68,-14.96,16.35,-20.48,-35.17,-17.10,-24.19,-33.40,7.99,Upgrade
P/OCF Ratio,-1.45,-2.68,-15.64,12.72,8.86,-489.39,59.86,35.32,16.11,138.21,7.46,Upgrade
EV/Sales Ratio,3.32,1.25,0.93,1.58,4.06,5.43,4.97,4.15,0.83,1.73,-1.31,Upgrade
EV/EBITDA Ratio,16.54,4.64,7.88,96.67,24.35,41.38,36.24,37.45,7.42,-45.39,-9.45,Upgrade
EV/EBIT Ratio,22.26,5.80,17.87,-32.53,37.35,73.72,62.98,85.36,14.80,-18.21,-14.92,Upgrade
EV/FCF Ratio,-4.97,-2.05,-4.58,-9.59,17.75,-18.77,-33.76,-21.45,-6.05,-27.62,-7.69,Upgrade
Debt / Equity Ratio,2.82,0.29,2.35,0.32,0.42,0.10,0.10,0.61,0.20,0.36,0.32,Upgrade
Debt / EBITDA Ratio,16.13,2.21,49.43,49.09,6.56,2.03,2.61,12.55,4.70,-15.94,4.10,Upgrade
Debt / FCF Ratio,-4.09,-0.98,-28.77,-4.87,4.78,-0.92,-2.43,-7.19,-3.83,-9.70,3.34,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),5.90%,6.80%,1.50%,-1.40%,3.60%,4.00%,3.50%,2.10%,2.40%,-5.20%,5.30%,Upgrade
Return on Assets (ROA),0.30%,0.40%,0.10%,-0.10%,0.30%,0.40%,0.30%,0.20%,0.20%,-0.40%,0.40%,Upgrade
Return on Capital (ROIC),0.40%,0.60%,0.10%,-0.20%,0.40%,0.30%,0.30%,0.20%,0.20%,-0.40%,0.40%,Upgrade
Earnings Yield,23.14%,9.80%,2.46%,-1.42%,2.46%,1.85%,1.56%,1.49%,1.72%,-4.50%,6.72%,Upgrade
FCF Yield,-198.39%,-43.09%,-14.97%,-6.69%,6.12%,-4.88%,-2.84%,-5.85%,-4.13%,-2.99%,12.52%,Upgrade
Buyback Yield / Dilution,-0.97%,-1.01%,-0.03%,-0.09%,-3.16%,-50.30%,-0.27%,-0.00%,-45.59%,-,-,Upgrade
Total Shareholder Return,-0.97%,-1.01%,-0.03%,-0.09%,-3.16%,-50.30%,-0.27%,-0.00%,-45.59%,-,-,Upgrade
