Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,160,267,269,198,242,241,-,-
Market Cap Growth,-,-0.94%,35.95%,-18.27%,0.57%,-,-,-
Enterprise Value,234,480,84,138,272,222,2,43
PE Ratio,8.86,10.68,12.28,12.78,15.32,22.18,-,-
PS Ratio,2.75,4.08,4.29,3.92,4.96,6.09,-,-
PB Ratio,0.78,1.32,1.28,1.05,1.35,1.52,-,-
P/FCF Ratio,7.55,12.01,14.21,13.65,12.68,19.13,-,-
P/OCF Ratio,7.49,11.92,13.85,13.33,12.48,18.07,-,-
EV/Sales Ratio,4.02,7.34,1.34,2.74,5.57,5.61,0.05,1.58
EV/EBITDA Ratio,9.79,15.16,2.89,6.71,12.95,16.17,0.12,3.85
EV/EBIT Ratio,10.07,15.50,2.98,7.03,13.61,16.93,0.12,4.05
EV/FCF Ratio,11.05,21.61,4.43,9.53,14.25,17.62,0.18,4.66
Debt / Equity Ratio,1.07,1.46,0.27,0.43,0.35,0.15,0.25,0.64
Debt / EBITDA Ratio,9.16,9.31,1.91,3.94,3.00,1.78,1.61,4.64
Debt / FCF Ratio,10.34,13.27,2.93,5.60,3.30,1.94,2.43,5.61
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.04,-
Return on Equity (ROE),9.50%,12.60%,10.80%,8.50%,9.20%,8.50%,8.60%,-
Return on Assets (ROA),0.80%,1.10%,1.10%,0.90%,1.10%,0.90%,0.80%,-
Return on Capital (ROIC),1.00%,1.40%,1.50%,1.20%,1.30%,1.10%,1.40%,-
Earnings Yield,11.87%,9.36%,8.14%,7.82%,6.53%,4.51%,-,-
FCF Yield,13.24%,8.33%,7.04%,7.32%,7.89%,5.23%,-,-
Buyback Yield / Dilution,-1.50%,-2.23%,-1.55%,2.86%,-1.38%,-6.72%,-,-
Total Shareholder Return,-1.50%,-2.23%,-1.55%,2.86%,-1.38%,-6.72%,-,-
