Year,Current,2022,2021,2020,2019
Market Capitalization,246,1,65,-,-
Market Cap Growth,-,-98.02%,-,-,-
Enterprise Value,320,137,76,3,1
PE Ratio,-0.01,0.00,-1.47,-,-
PS Ratio,3.64,0.01,0.67,-,-
PB Ratio,-0.06,-0.03,0.31,-,-
P/FCF Ratio,-0.04,-0.01,-0.53,-,-
P/OCF Ratio,-0.19,-0.16,1.63,-,-
EV/Sales Ratio,4.74,1.53,0.79,0.14,0.15
EV/EBITDA Ratio,-0.37,-0.69,-3.14,1.50,-0.11
EV/EBIT Ratio,-0.32,-0.59,-2.33,-1.11,-0.09
EV/FCF Ratio,-1.09,-1.06,-0.62,-0.29,-0.04
Debt / Equity Ratio,-2.00,-3.23,0.45,0.19,0.38
Debt / EBITDA Ratio,-0.44,-0.76,-3.89,4.24,-2.07
Debt / FCF Ratio,-1.29,-1.17,-0.77,-0.82,-0.76
Current Ratio,1.02,0.34,2.41,0.67,2.40
Asset Turnover,0.30,0.29,0.48,0.33,-
Return on Equity (ROE),-1039.20%,-293.80%,-34.60%,-8.40%,-
Return on Assets (ROA),-122.70%,-87.10%,-21.90%,-5.40%,-
Return on Capital (ROIC),-94.00%,-73.20%,-17.90%,-5.00%,-
Earnings Yield,-113.45%,-20957.53%,-68.18%,-,-
FCF Yield,-28.80%,-10052.06%,-189.30%,-,-
Buyback Yield / Dilution,-3.20%,-15.66%,16.59%,-,-
Total Shareholder Return,-3.20%,-15.66%,16.59%,-,-
