Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,53,50,55,47,46,45,51,-,-,-
Market Cap Growth,-,-9.90%,17.11%,1.30%,3.11%,-12.44%,-,-,-,-
Enterprise Value,64,62,69,54,43,44,49,-1,1,2
PE Ratio,42.31,-85.43,13.31,13.34,10.83,50.48,72.75,-,-,-
PS Ratio,0.70,0.71,0.90,0.83,0.78,0.88,1.07,-,-,-
PB Ratio,0.80,0.82,0.74,0.65,0.70,0.77,0.80,-,-,-
P/FCF Ratio,5.67,4.94,12.35,37.79,21.67,8.50,252.56,-,-,-
P/OCF Ratio,5.27,4.62,10.38,29.19,18.36,7.81,70.09,-,-,-
EV/Sales Ratio,0.87,0.88,1.12,0.95,0.73,0.86,1.02,-0.01,0.03,0.04
EV/EBITDA Ratio,26.99,367.90,11.69,9.86,7.22,23.44,23.00,-0.12,0.30,0.55
EV/EBIT Ratio,38.54,-117.08,13.29,11.27,8.32,38.53,37.50,-0.14,0.35,0.66
EV/FCF Ratio,7.07,6.12,15.45,43.30,20.20,8.28,240.12,-0.16,0.21,0.25
Debt / Equity Ratio,0.24,0.25,0.25,0.19,0.05,0.06,0.07,0.11,0.11,0.10
Debt / EBITDA Ratio,6.36,89.65,3.13,2.46,0.58,1.86,2.04,0.75,0.89,0.93
Debt / FCF Ratio,1.66,1.49,4.13,10.81,1.62,0.66,21.28,1.00,0.63,0.42
Asset Turnover,0.38,0.36,0.32,0.32,0.37,0.34,0.32,0.37,0.34,-
Return on Equity (ROE),1.90%,-0.90%,5.60%,5.20%,6.80%,1.50%,1.10%,8.80%,7.30%,-
Return on Assets (ROA),0.60%,-0.30%,2.10%,2.00%,2.60%,0.60%,0.50%,2.30%,1.70%,-
Return on Capital (ROIC),0.80%,-0.30%,2.50%,2.60%,3.20%,0.80%,0.90%,3.40%,2.50%,-
Earnings Yield,2.26%,-1.17%,7.51%,7.50%,9.24%,1.98%,1.37%,-,-,-
FCF Yield,17.64%,20.25%,8.10%,2.65%,4.62%,11.77%,0.40%,-,-,-
Buyback Yield / Dilution,3.77%,1.07%,-0.76%,-0.93%,3.44%,1.17%,-0.26%,10.00%,-,-
Total Shareholder Return,3.77%,1.07%,-0.76%,-0.93%,3.44%,1.17%,-0.26%,10.00%,-,-
