Year,Current,2022,2021
Market Capitalization,297,290,287
Market Cap Growth,-,1.10%,-
Enterprise Value,298,291,287
PE Ratio,30.53,29.36,30.28
PB Ratio,-24.90,-24.90,-15.72
P/FCF Ratio,-539.22,-539.22,-187.67
P/OCF Ratio,-539.22,-539.22,-187.67
EV/EBITDA Ratio,30.08,29.39,30.25
EV/EBIT Ratio,30.08,29.39,30.25
EV/FCF Ratio,-539.78,-539.78,-187.52
Debt / Equity Ratio,-0.09,-0.09,-
Debt / EBITDA Ratio,0.11,0.11,-
Debt / FCF Ratio,-1.95,-1.95,-
Current Ratio,1.28,1.28,2.01
Return on Equity (ROE),-78.60%,-78.60%,-208.20%
Return on Assets (ROA),4.20%,4.20%,16.10%
Return on Capital (ROIC),4.20%,4.20%,16.30%
Earnings Yield,3.33%,3.41%,3.30%
FCF Yield,-0.18%,-0.19%,-0.53%
Buyback Yield / Dilution,-154.98%,-154.98%,-
Total Shareholder Return,-154.98%,-154.98%,-
