Year,Current,2022,2021
Market Capitalization,366,357,350
Market Cap Growth,-,2.09%,-
Enterprise Value,365,357,349
PE Ratio,172.67,158.67,-1648.11
PB Ratio,-34.91,-34.91,-40.49
P/FCF Ratio,-581.94,-581.94,-601.22
P/OCF Ratio,-581.94,-581.94,-601.22
EV/EBITDA Ratio,162.39,158.56,-1643.96
EV/EBIT Ratio,162.39,158.56,-1643.96
EV/FCF Ratio,-581.50,-581.50,-599.70
Current Ratio,0.54,0.54,14.72
Return on Equity (ROE),-23.60%,-23.60%,-
Return on Assets (ROA),0.90%,0.90%,-
Return on Capital (ROIC),0.90%,0.90%,-
Earnings Yield,0.62%,0.63%,-0.06%
FCF Yield,-0.17%,-0.17%,-0.17%
Buyback Yield / Dilution,-160.68%,-160.68%,-
Total Shareholder Return,-160.68%,-160.68%,-
