Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,"3,143","2,855","3,122","2,138","2,734","2,062","2,308","1,950","1,458","1,314","1,299",Upgrade
Market Cap Growth,-,-8.55%,46.00%,-21.81%,32.59%,-10.66%,18.36%,33.77%,10.93%,1.17%,34.48%,Upgrade
Enterprise Value,"4,943","4,705","4,885","3,315","3,793","3,004","3,054","2,766","2,218","1,960","1,779",Upgrade
PE Ratio,11.69,11.82,9.44,72.76,21.10,12.26,13.53,14.04,13.96,13.04,13.41,Upgrade
PS Ratio,7.52,7.58,10.80,9.60,11.24,8.84,11.22,10.94,8.86,9.34,11.15,Upgrade
PB Ratio,1.45,1.35,1.75,1.41,1.78,1.40,1.67,1.62,1.36,1.40,1.64,Upgrade
P/FCF Ratio,-17.71,-11.56,-6.06,-39.53,-80.81,-18.91,31.66,-45.64,-11.10,-6.88,-5.40,Upgrade
P/OCF Ratio,-17.71,-11.56,-6.06,-39.53,-80.81,-18.91,31.66,-45.64,-11.10,-6.88,-5.40,Upgrade
EV/Sales Ratio,11.83,12.49,16.90,14.89,15.59,12.87,14.84,15.51,13.48,13.93,15.27,Upgrade
EV/EBITDA Ratio,13.40,13.71,11.56,50.66,20.95,13.79,13.19,16.15,17.35,15.01,15.20,Upgrade
EV/EBIT Ratio,13.40,13.71,11.56,50.66,20.95,13.79,13.19,16.15,17.35,15.01,15.20,Upgrade
EV/FCF Ratio,-27.87,-19.05,-9.48,-61.29,-112.11,-27.54,41.89,-64.73,-16.88,-10.27,-7.39,Upgrade
Debt / Equity Ratio,0.85,0.90,1.00,0.80,0.73,0.67,0.58,0.70,0.73,0.75,0.65,Upgrade
Debt / EBITDA Ratio,4.99,5.54,4.25,18.47,6.15,4.57,3.44,4.91,6.10,5.41,4.40,Upgrade
Debt / FCF Ratio,-10.38,-7.69,-3.48,-22.35,-32.93,-9.13,10.93,-19.67,-5.94,-3.70,-2.14,Upgrade
Asset Turnover,0.10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,Upgrade
Return on Equity (ROE),12.60%,12.30%,20.00%,2.10%,8.50%,11.60%,13.00%,12.30%,9.60%,11.10%,13.40%,Upgrade
Return on Assets (ROA),6.20%,6.00%,10.20%,1.10%,4.90%,6.80%,7.80%,7.00%,5.50%,6.50%,8.00%,Upgrade
Return on Capital (ROIC),6.20%,5.90%,9.00%,1.80%,5.00%,6.40%,7.80%,6.10%,4.90%,6.20%,7.20%,Upgrade
Earnings Yield,8.15%,8.46%,10.60%,1.37%,4.74%,8.16%,7.39%,7.12%,7.16%,7.67%,7.46%,Upgrade
FCF Yield,-5.64%,-8.65%,-16.51%,-2.53%,-1.24%,-5.29%,3.16%,-2.19%,-9.01%,-14.53%,-18.53%,Upgrade
Dividend Yield,7.92%,7.68%,5.69%,6.93%,6.71%,8.32%,6.85%,7.28%,8.95%,8.44%,7.54%,Upgrade
Payout Ratio,92.10%,90.90%,53.60%,501.10%,141.50%,101.80%,92.70%,102.20%,124.90%,110.40%,100.90%,Upgrade
Buyback Yield / Dilution,-10.94%,-8.01%,-4.95%,-4.36%,-4.63%,-6.15%,-8.97%,-6.02%,-12.75%,-18.86%,-23.96%,Upgrade
Total Shareholder Return,-3.01%,-0.32%,0.73%,2.57%,2.09%,2.17%,-2.12%,1.26%,-3.80%,-10.41%,-16.42%,Upgrade
