Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,"1,005","1,048","1,362",794,566,573,565,-,-
Market Cap Growth,-,-23.05%,71.54%,40.37%,-1.21%,1.45%,-,-,-
Enterprise Value,"1,869","1,753","1,364","1,963",241,432,262,-389,-389
PE Ratio,5.16,5.41,6.61,4.78,8.31,9.62,10.99,-,-
PS Ratio,2.30,2.45,3.17,2.34,3.42,4.25,5.05,-,-
PB Ratio,0.67,0.72,1.18,0.98,0.87,1.36,1.54,-,-
P/FCF Ratio,-1.80,1.08,-25.77,-0.90,-0.45,2.93,-3.20,-,-
P/OCF Ratio,-1.81,1.07,-27.68,-0.91,-0.45,2.80,-3.21,-,-
EV/Sales Ratio,4.27,4.10,3.17,5.78,1.45,3.20,2.34,-4.77,-5.72
EV/EBITDA Ratio,6.23,5.97,4.44,8.00,2.34,5.11,3.38,-7.06,-8.20
EV/EBIT Ratio,6.28,6.02,4.47,8.07,2.36,5.14,3.39,-7.09,-8.25
EV/FCF Ratio,-3.18,1.81,-25.80,-2.23,-0.19,2.21,-1.48,2.58,-3.30
Debt / Equity Ratio,0.82,0.64,0.89,1.66,0.28,0.46,0.15,0.28,0.39
Debt / EBITDA Ratio,4.11,3.17,3.37,5.50,1.76,2.31,0.73,1.04,1.21
Debt / FCF Ratio,-1.97,0.96,-19.56,-1.53,-0.14,1.00,-0.32,-0.38,0.49
Asset Turnover,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,-
Return on Equity (ROE),14.00%,14.70%,19.00%,22.50%,12.00%,14.90%,17.90%,17.60%,-
Return on Assets (ROA),1.60%,1.70%,2.00%,1.80%,1.20%,1.60%,1.70%,1.20%,-
Return on Capital (ROIC),2.30%,2.50%,2.90%,2.40%,1.90%,2.30%,2.90%,2.60%,-
Earnings Yield,19.46%,18.48%,15.14%,20.91%,12.04%,10.40%,9.10%,-,-
FCF Yield,-62.20%,92.43%,-3.88%,-110.61%,-224.63%,34.07%,-31.30%,-,-
Dividend Yield,1.25%,1.16%,0.76%,1.16%,1.43%,1.20%,0.20%,-,-
Payout Ratio,6.40%,6.20%,5.00%,5.50%,11.80%,11.50%,2.20%,0.00%,0.00%
Buyback Yield / Dilution,0.16%,0.02%,-0.37%,-0.11%,-0.07%,-27.28%,-6.89%,-0.18%,-
Total Shareholder Return,1.41%,1.18%,0.40%,1.05%,1.35%,-26.07%,-6.69%,-0.18%,-
