Year,Current,2022,2021
Market Capitalization,120,117,-
Enterprise Value,120,117,0
PE Ratio,-31.01,-31.01,-
PB Ratio,-14.49,-14.49,-
P/FCF Ratio,-187.27,-187.27,-
P/OCF Ratio,-187.27,-187.27,-
EV/EBITDA Ratio,-33.18,-33.18,-3.77
EV/EBIT Ratio,-33.18,-33.18,-3.77
EV/FCF Ratio,-187.51,-187.51,-7.12
Debt / Equity Ratio,-0.02,-0.02,15.65
Debt / EBITDA Ratio,-0.04,-0.04,-4.02
Debt / FCF Ratio,-0.25,-0.25,-7.60
Current Ratio,0.01,0.01,1.02
Return on Equity (ROE),92.40%,92.40%,-
Return on Assets (ROA),-5.30%,-5.30%,-
Return on Capital (ROIC),-5.10%,-5.10%,-
Earnings Yield,-3.14%,-3.22%,-
FCF Yield,-0.52%,-0.53%,-
Buyback Yield / Dilution,-226.10%,-226.10%,-
Total Shareholder Return,-226.10%,-226.10%,-
