Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Market Capitalization,115,110,130,90,170,157,176,108,103,75,84,Upgrade
Market Cap Growth,-,-15.29%,44.22%,-47.03%,7.65%,-10.43%,63.41%,4.83%,37.40%,-10.60%,30.52%,Upgrade
Enterprise Value,185,162,109,192,180,273,208,130,167,105,99,Upgrade
PE Ratio,16.55,15.78,-1407.64,139.44,18.17,21.55,30.23,8.86,21.99,105.07,-4.44,Upgrade
PS Ratio,3.62,3.47,6.27,4.75,5.79,5.36,7.36,5.41,5.81,4.40,11.97,Upgrade
PB Ratio,0.78,0.75,0.91,0.64,1.19,1.42,1.72,1.12,1.24,0.97,1.11,Upgrade
P/FCF Ratio,30.20,18.85,8.86,7.86,16.98,18.53,21.34,12.54,35.54,-269.68,-39.23,Upgrade
P/OCF Ratio,28.91,18.59,8.78,7.66,16.55,17.39,17.88,11.53,31.62,-2263.67,-45.16,Upgrade
EV/Sales Ratio,5.84,5.13,5.27,10.14,6.13,9.29,8.69,6.56,9.47,6.20,14.18,Upgrade
EV/EBITDA Ratio,18.61,16.19,93.29,141.74,14.30,22.12,21.93,19.69,38.49,107.23,-8.18,Upgrade
EV/EBIT Ratio,20.99,18.30,-358.12,315.41,15.22,23.56,23.75,21.84,45.21,306.10,-7.74,Upgrade
EV/FCF Ratio,48.64,27.91,7.45,16.78,17.99,32.12,25.19,15.21,57.89,-380.14,-46.47,Upgrade
Debt / Equity Ratio,0.69,0.72,0.82,1.16,1.15,1.32,1.45,1.24,1.27,0.65,0.52,Upgrade
Debt / EBITDA Ratio,10.21,10.57,99.36,120.78,13.03,11.85,15.73,18.06,24.13,50.70,-3.23,Upgrade
Debt / FCF Ratio,26.70,18.22,7.93,14.30,16.39,17.21,18.07,13.94,36.29,-179.73,-18.37,Upgrade
Asset Turnover,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.01,Upgrade
Return on Equity (ROE),4.70%,4.80%,-0.10%,0.50%,6.70%,6.80%,5.80%,13.90%,5.80%,0.90%,-20.60%,Upgrade
Return on Assets (ROA),0.70%,0.60%,0.00%,0.10%,0.80%,0.70%,0.60%,1.60%,0.70%,0.10%,-2.80%,Upgrade
Return on Capital (ROIC),0.80%,0.80%,0.00%,0.00%,1.00%,1.00%,0.90%,0.70%,0.50%,0.10%,-2.00%,Upgrade
Earnings Yield,5.99%,6.34%,-0.07%,0.72%,5.51%,4.64%,3.31%,11.29%,4.55%,0.95%,-22.50%,Upgrade
FCF Yield,3.31%,5.30%,11.29%,12.72%,5.89%,5.40%,4.69%,7.98%,2.81%,-0.37%,-2.55%,Upgrade
Buyback Yield / Dilution,-0.50%,-0.35%,0.78%,0.54%,-18.26%,-0.43%,-0.36%,-0.25%,-0.23%,2.74%,-7.47%,Upgrade
Total Shareholder Return,-0.50%,-0.35%,0.78%,0.54%,-18.26%,-0.43%,-0.36%,-0.25%,-0.23%,2.74%,-7.47%,Upgrade
