Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,7,7,32,11,4,4,12,36,35,35
Market Cap Growth,-,-78.47%,200.53%,151.01%,18.25%,-70.70%,-65.53%,3.17%,-1.58%,-
Enterprise Value,4,3,27,4,-3,-8,1,0,-4,2
PE Ratio,-8.15,-3.88,3.76,-214.44,-14.00,-0.63,-0.60,13.86,7.53,8.81
PS Ratio,5.14,8.16,3.15,8.83,4.35,0.95,0.52,1.88,5.43,6.34
PB Ratio,0.47,0.46,1.94,1.34,0.53,0.43,0.89,0.96,0.94,0.96
P/FCF Ratio,-11.34,-8.37,-125.87,-38.29,-0.98,-0.54,-0.47,88.30,4.28,4.09
P/OCF Ratio,-11.41,-8.37,-127.36,-40.31,-0.98,-0.54,-0.47,85.97,4.27,4.06
EV/Sales Ratio,2.73,3.85,2.66,3.03,-3.07,-2.02,0.06,0.00,-0.67,0.31
EV/EBITDA Ratio,-5.50,-1.83,3.17,-92.10,10.21,1.34,-0.07,0.03,-0.93,0.43
EV/EBIT Ratio,-5.48,-1.83,3.17,-73.68,9.87,1.34,-0.07,0.03,-0.93,0.43
EV/FCF Ratio,-7.63,-3.94,-106.08,-13.16,0.69,1.16,-0.05,0.20,-0.53,0.20
Debt / Equity Ratio,0.02,0.02,0.02,0.05,0.09,-,-,-,-,-
Debt / EBITDA Ratio,-0.20,-0.15,0.04,-10.95,-2.48,-,-,-,-,-
Debt / FCF Ratio,-0.28,-0.31,-1.37,-1.56,-0.17,-,-,-,-,-
Asset Turnover,0.08,0.05,0.77,0.13,0.10,0.21,0.56,0.35,0.12,0.12
Return on Equity (ROE),-8.30%,-11.50%,70.90%,-0.60%,-3.80%,-45.30%,-80.10%,6.70%,12.40%,11.30%
Return on Assets (ROA),-7.50%,-10.60%,64.30%,-0.50%,-3.20%,-31.40%,-48.10%,4.70%,8.70%,8.50%
Return on Capital (ROIC),-9.70%,-14.20%,117.80%,-2.10%,-15.10%,-73.70%,-113.20%,13.50%,26.50%,34.80%
Earnings Yield,-17.59%,-25.79%,26.58%,-0.47%,-7.14%,-159.16%,-167.05%,7.22%,13.27%,11.36%
FCF Yield,-12.64%,-11.95%,-0.79%,-2.61%,-102.35%,-183.63%,-213.48%,1.13%,23.34%,24.47%
Dividend Yield,-,-,-,-,-,16.96%,8.08%,8.39%,4.97%,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-10.10%,111.60%,63.20%,43.90%
Buyback Yield / Dilution,-1.85%,-0.64%,-0.04%,-,-,1.29%,3.56%,0.55%,-24.55%,-
Total Shareholder Return,-1.85%,-0.64%,-0.04%,-,-,1.29%,20.53%,8.63%,-16.16%,4.97%
