Year,Current,2022,2021
Market Capitalization,69,226,216
Market Cap Growth,-,4.55%,-
Enterprise Value,70,227,215
PE Ratio,-746.47,-746.47,-529.90
PB Ratio,-142.54,-142.54,166.01
P/FCF Ratio,-107.25,-107.25,-358.71
P/OCF Ratio,-107.25,-107.25,-358.71
EV/EBITDA Ratio,-749.18,-749.18,-527.15
EV/EBIT Ratio,-749.18,-749.18,-527.15
EV/FCF Ratio,-107.64,-107.64,-356.84
Debt / Equity Ratio,-0.95,-0.95,-
Debt / EBITDA Ratio,-4.96,-4.96,-
Debt / FCF Ratio,-0.71,-0.71,-
Current Ratio,0.37,0.37,6.11
Return on Equity (ROE),81.40%,81.40%,-54.10%
Return on Assets (ROA),-0.20%,-0.20%,-0.50%
Return on Capital (ROIC),-0.20%,-0.20%,-0.50%
Earnings Yield,-0.44%,-0.13%,-0.19%
FCF Yield,-3.03%,-0.93%,-0.28%
Buyback Yield / Dilution,-116.47%,-116.47%,-
Total Shareholder Return,-116.47%,-116.47%,-
