Year,Current,2022,2021,2020,2019
Market Capitalization,181,230,-,-,-
Enterprise Value,690,738,-25,84,83
PE Ratio,-8.54,-7.68,-,-,-
PS Ratio,3.70,4.71,-,-,-
PB Ratio,0.36,0.47,-,-,-
P/FCF Ratio,52.26,24.76,-,-,-
P/OCF Ratio,44.43,23.52,-,-,-
EV/Sales Ratio,14.40,15.06,-0.27,1.58,2.05
EV/EBITDA Ratio,-32.69,-22.64,-0.69,10.79,-21.71
EV/EBIT Ratio,-27.02,-20.02,-0.74,15.98,-13.73
EV/FCF Ratio,203.56,79.27,-0.48,-3.39,67.54
Debt / Equity Ratio,1.41,1.14,0.68,0.98,0.70
Debt / EBITDA Ratio,-32.21,-17.24,3.57,20.08,-28.94
Debt / FCF Ratio,205.78,60.35,2.48,-6.31,90.04
Asset Turnover,0.02,0.02,0.06,0.04,-
Return on Equity (ROE),-4.60%,-6.60%,14.60%,2.40%,-
Return on Assets (ROA),-1.00%,-1.50%,1.70%,0.30%,-
Return on Capital (ROIC),-1.00%,-1.60%,2.20%,0.40%,-
Earnings Yield,-12.90%,-13.02%,-,-,-
FCF Yield,1.91%,4.04%,-,-,-
Buyback Yield / Dilution,-7.38%,-35.13%,-0.65%,4.30%,2.13%
Total Shareholder Return,-7.38%,-35.13%,-0.65%,4.30%,2.13%
