Year,Current,2022,2021,2020,2019
Market Capitalization,347,490,324,397,778
Market Cap Growth,-,50.93%,-18.36%,-48.91%,-
Enterprise Value,323,448,278,352,715
PE Ratio,-60.74,-54.09,-45.49,-85.77,100.29
PS Ratio,15.55,17.39,11.03,21.80,26.42
PB Ratio,10.57,12.62,6.59,7.67,13.41
P/FCF Ratio,-,-229.64,-187.37,-30.84,57.24
P/OCF Ratio,-,-343.67,-746.62,-31.80,54.76
EV/Sales Ratio,14.46,15.89,9.45,19.30,24.29
EV/EBITDA Ratio,-,-72.22,-42.69,-95.43,75.12
EV/EBIT Ratio,-58.45,-48.68,-32.29,-70.78,77.16
EV/FCF Ratio,-,-209.84,-160.56,-27.31,52.63
Debt / Equity Ratio,0.12,0.14,0.10,0.06,-
Debt / EBITDA Ratio,-,-0.85,-0.73,-0.84,-
Debt / FCF Ratio,-,-2.46,-2.76,-0.24,-
Current Ratio,4.14,2.36,3.10,8.28,6.16
Asset Turnover,0.39,0.41,0.43,0.28,0.58
Return on Equity (ROE),-20.70%,-20.90%,-13.50%,-8.60%,18.30%
Return on Assets (ROA),-13.30%,-13.00%,-10.30%,-7.20%,15.20%
Return on Capital (ROIC),-46.00%,-236.70%,-73.50%,-77.90%,239.00%
Earnings Yield,-2.18%,-1.85%,-2.20%,-1.17%,1.00%
FCF Yield,-0.44%,-0.53%,-3.24%,1.75%,
Buyback Yield / Dilution,-,-,-6.44%,-6.25%,
Total Shareholder Return,-,-,-6.44%,-6.25%,
