Year,Current,2022,2021
Market Capitalization,91,295,285
Market Cap Growth,-,3.49%,-
Enterprise Value,91,295,285
PE Ratio,34.53,33.84,90.88
PB Ratio,-93.13,-93.13,-20.72
P/FCF Ratio,-947.72,-947.72,-179.75
P/OCF Ratio,-947.72,-947.72,-179.75
EV/EBITDA Ratio,10.49,33.88,90.86
EV/EBIT Ratio,10.49,33.88,90.86
EV/FCF Ratio,-948.74,-948.74,-179.71
Debt / Equity Ratio,-0.10,-0.10,-
Debt / EBITDA Ratio,0.04,0.04,-
Debt / FCF Ratio,-1.02,-1.02,-
Current Ratio,0.08,0.08,2.03
Return on Equity (ROE),-137.40%,-137.40%,-61.10%
Return on Assets (ROA),3.80%,3.80%,1.40%
Return on Capital (ROIC),3.80%,3.80%,1.40%
Earnings Yield,9.57%,2.96%,1.10%
FCF Yield,-0.34%,-0.11%,-0.56%
Buyback Yield / Dilution,-12.62%,-12.62%,-
Total Shareholder Return,-12.62%,-12.62%,-
