Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Market Capitalization,"1,671","1,917","2,065","1,625","1,574","1,230","1,097",839,515,358,232,Upgrade
Market Cap Growth,-,-7.14%,27.10%,3.23%,27.96%,12.13%,30.77%,63.04%,43.77%,54.54%,51.71%,Upgrade
Enterprise Value,"1,635","2,119","1,520","1,411","1,918","1,771","1,473","1,419",670,606,295,Upgrade
PE Ratio,12.91,18.00,16.60,20.89,15.94,18.28,25.59,28.73,23.24,62.83,4.83,Upgrade
PS Ratio,3.77,4.72,5.80,5.68,5.44,4.92,4.79,4.79,3.69,3.45,2.67,Upgrade
PB Ratio,0.81,1.19,1.58,1.44,1.60,1.42,1.59,1.93,1.46,1.15,1.17,Upgrade
P/FCF Ratio,12.22,10.47,13.74,27.51,13.66,9.79,25.39,14.99,25.20,22.56,4.92,Upgrade
P/OCF Ratio,10.83,9.79,13.36,26.79,13.37,9.49,22.43,13.53,17.44,16.31,4.65,Upgrade
EV/Sales Ratio,3.69,5.22,4.27,4.93,6.63,7.09,6.43,8.11,4.81,5.84,3.40,Upgrade
EV/EBITDA Ratio,12.24,14.65,9.31,13.44,14.45,20.23,18.59,32.18,18.80,59.14,25.41,Upgrade
EV/EBIT Ratio,12.95,15.34,9.58,14.03,14.91,20.23,18.59,32.18,18.80,59.14,25.41,Upgrade
EV/FCF Ratio,11.96,11.56,10.12,23.89,16.64,14.10,34.09,25.35,32.83,38.17,6.27,Upgrade
Debt / Equity Ratio,0.37,0.25,0.15,0.17,0.48,0.77,0.72,1.58,0.83,1.11,1.28,Upgrade
Debt / EBITDA Ratio,5.68,2.81,1.18,1.82,3.56,7.60,6.28,15.64,8.19,34.01,21.97,Upgrade
Debt / FCF Ratio,5.55,2.22,1.29,3.23,4.10,5.30,11.52,12.32,14.30,21.95,5.42,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),6.20%,7.60%,10.10%,7.30%,10.50%,8.90%,7.30%,6.80%,6.50%,2.30%,26.20%,Upgrade
Return on Assets (ROA),0.80%,1.00%,1.30%,1.00%,1.40%,1.10%,0.80%,0.70%,0.70%,0.20%,2.20%,Upgrade
Return on Capital (ROIC),1.10%,1.30%,1.90%,1.30%,1.90%,1.40%,1.40%,0.90%,1.00%,0.40%,0.50%,Upgrade
Earnings Yield,5.85%,5.55%,6.02%,4.79%,6.27%,5.47%,3.91%,3.48%,4.30%,1.59%,20.69%,Upgrade
FCF Yield,8.18%,9.56%,7.28%,3.64%,7.32%,10.21%,3.94%,6.67%,3.97%,4.43%,20.31%,Upgrade
Dividend Yield,3.56%,2.14%,1.08%,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,45.90%,38.30%,17.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-30.81%,-12.57%,-5.86%,-3.65%,-6.73%,-12.45%,-15.58%,-11.15%,-21.75%,-41.05%,-4.81%,Upgrade
Total Shareholder Return,-27.25%,-10.43%,-4.78%,-3.65%,-6.73%,-12.45%,-15.58%,-11.15%,-21.75%,-41.05%,-4.81%,Upgrade
