Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,206,543,"1,215",842,"1,105",453,"1,312","1,586","2,958","5,537","6,833",Upgrade
Market Cap Growth,-,-55.32%,44.30%,-23.79%,144.13%,-65.50%,-17.26%,-46.40%,-46.58%,-18.96%,72.09%,Upgrade
Enterprise Value,538,845,"1,190","1,228","1,372",482,"1,412","1,833","10,415","11,264","10,049",Upgrade
PE Ratio,-26.63,-45.21,-141.21,4.93,21.49,-18.64,72.00,-12.13,114.92,38.87,26.10,Upgrade
PS Ratio,0.47,1.30,1.94,0.94,1.85,0.89,1.53,2.06,2.24,3.59,3.60,Upgrade
PB Ratio,-13.52,-10.26,-17.82,-80.44,-4.90,-1.05,-2.89,-3.40,-7.11,-19.04,-51.10,Upgrade
P/FCF Ratio,-1.74,-1.60,2.58,139.33,5.26,2.48,-5.68,-5.46,7.42,6.32,6.47,Upgrade
P/OCF Ratio,-1.74,-1.60,2.55,96.98,5.21,2.40,-4.62,-5.63,6.69,5.83,6.45,Upgrade
EV/Sales Ratio,1.24,2.02,1.90,1.37,2.30,0.95,1.64,2.38,7.87,7.30,5.30,Upgrade
EV/EBITDA Ratio,27.34,51.93,13.57,4.06,14.33,21.21,3.79,-26.13,54.61,37.97,26.96,Upgrade
EV/EBIT Ratio,-236.18,-110.40,25.53,4.48,20.76,38.85,3.90,-20.36,58.06,38.89,27.57,Upgrade
EV/FCF Ratio,-2.81,-2.49,2.52,203.17,6.53,2.64,-6.11,-6.31,26.14,12.87,9.52,Upgrade
Debt / Equity Ratio,-14.32,-10.95,-5.69,-54.72,-2.27,-0.82,-1.25,-1.24,-18.54,-20.56,-25.47,Upgrade
Debt / EBITDA Ratio,29.23,35.57,4.42,1.89,5.35,15.54,1.53,-8.23,40.43,20.15,9.14,Upgrade
Debt / FCF Ratio,-1.84,-1.70,0.82,94.78,2.44,1.93,-2.46,-1.99,19.35,6.83,3.23,Upgrade
Asset Turnover,0.27,0.26,0.48,0.68,0.45,0.35,0.56,0.56,0.13,0.19,0.45,Upgrade
Return on Equity (ROE),37.80%,21.90%,14.40%,-88.60%,-18.00%,5.70%,-3.80%,27.40%,-7.10%,-45.60%,-92.30%,Upgrade
Return on Assets (ROA),-1.30%,-0.70%,-0.70%,13.00%,3.90%,-1.70%,1.20%,-9.50%,0.30%,1.80%,6.20%,Upgrade
Return on Capital (ROIC),-0.20%,-0.40%,3.20%,16.90%,4.00%,0.80%,21.40%,-5.70%,1.00%,2.30%,6.80%,Upgrade
Earnings Yield,-9.95%,-2.21%,-0.71%,20.27%,4.65%,-5.37%,1.39%,-8.25%,0.87%,2.57%,3.83%,Upgrade
FCF Yield,-152.25%,-62.57%,38.83%,0.72%,19.01%,40.29%,-17.61%,-18.31%,13.47%,15.81%,15.45%,Upgrade
Dividend Yield,4.84%,1.21%,11.65%,3.14%,3.98%,5.54%,1.00%,-,5.32%,5.53%,9.74%,Upgrade
Payout Ratio,-29.80%,-52.10%,-1020.60%,7.00%,38.30%,-103.20%,71.40%,0.00%,621.40%,209.80%,84.50%,Upgrade
Buyback Yield / Dilution,-22.75%,35.64%,18.17%,-7.71%,-140.26%,-2.95%,61.00%,-165.34%,-1.52%,61.96%,-227.65%,Upgrade
Total Shareholder Return,-17.88%,36.85%,29.82%,-4.57%,-136.28%,2.58%,62.00%,-165.34%,3.80%,67.50%,-217.91%,Upgrade
