Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,186,366,495,274,324,239,302,230,142,82,57,Upgrade
Market Cap Growth,-,-26.01%,80.79%,-15.50%,35.48%,-20.86%,31.39%,62.13%,72.32%,43.56%,59.82%,Upgrade
Enterprise Value,73,406,363,234,342,229,290,312,207,190,156,Upgrade
PE Ratio,7.76,12.57,10.59,14.92,11.62,10.72,23.14,17.63,13.94,14.40,13.11,Upgrade
PS Ratio,1.91,3.62,4.22,3.53,4.05,3.49,5.19,4.46,3.24,2.37,1.95,Upgrade
PB Ratio,0.62,1.24,1.78,1.20,1.57,1.37,2.02,2.09,1.50,0.99,0.87,Upgrade
P/FCF Ratio,5.19,10.04,9.58,16.84,32.77,8.03,25.56,19.70,9.17,32.78,9.11,Upgrade
P/OCF Ratio,4.22,7.27,6.33,13.27,17.68,7.54,17.56,13.45,7.05,17.37,6.67,Upgrade
EV/Sales Ratio,0.76,4.02,3.10,3.01,4.27,3.35,4.99,6.05,4.74,5.47,5.30,Upgrade
EV/EBITDA Ratio,2.06,9.72,5.76,8.99,9.14,7.54,11.56,14.42,12.31,17.32,17.80,Upgrade
EV/EBIT Ratio,2.34,10.66,5.98,9.82,9.63,8.00,12.27,15.31,13.35,19.47,20.65,Upgrade
EV/FCF Ratio,2.07,11.14,7.04,14.40,34.60,7.71,24.58,26.74,13.42,75.56,24.74,Upgrade
Debt / Equity Ratio,0.54,0.72,0.13,0.27,0.71,0.36,0.54,1.17,1.36,1.79,2.09,Upgrade
Debt / EBITDA Ratio,4.52,5.05,0.57,2.35,3.90,2.08,3.21,5.95,7.63,13.58,15.73,Upgrade
Debt / FCF Ratio,4.54,5.79,0.70,3.76,14.77,2.13,6.82,11.03,8.32,59.23,21.86,Upgrade
Asset Turnover,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),8.20%,10.20%,18.10%,8.40%,14.40%,13.60%,9.40%,12.50%,11.30%,7.70%,6.80%,Upgrade
Return on Assets (ROA),0.70%,0.90%,1.70%,0.70%,1.30%,1.20%,0.80%,1.00%,0.90%,0.60%,0.50%,Upgrade
Return on Capital (ROIC),0.90%,1.10%,2.30%,1.00%,1.70%,1.60%,1.50%,1.50%,1.30%,0.90%,0.80%,Upgrade
Earnings Yield,12.94%,7.96%,9.45%,6.70%,8.61%,9.33%,4.32%,5.67%,7.17%,6.94%,7.63%,Upgrade
FCF Yield,19.27%,9.96%,10.44%,5.94%,3.05%,12.46%,3.91%,5.07%,10.91%,3.05%,10.98%,Upgrade
Buyback Yield / Dilution,0.05%,-1.04%,-2.11%,-0.66%,-0.45%,-4.65%,-10.01%,-2.44%,-26.18%,-16.61%,-2.74%,Upgrade
Total Shareholder Return,0.05%,-1.04%,-2.11%,-0.66%,-0.45%,-4.65%,-10.01%,-2.44%,-26.18%,-16.61%,-2.74%,Upgrade
