Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"6,217","5,341","4,927","4,008","3,872","3,589","3,428","2,491","1,921","1,533","1,509",Upgrade
Market Cap Growth,-,8.41%,22.93%,3.50%,7.91%,4.70%,37.61%,29.68%,25.28%,1.58%,42.40%,Upgrade
Enterprise Value,"6,697","5,820","5,388","4,543","4,415","4,011","3,822","2,929","2,308","1,882","1,901",Upgrade
PE Ratio,24.93,24.76,12.49,16.27,14.26,20.06,20.30,15.72,11.58,10.81,14.18,Upgrade
PS Ratio,1.68,1.50,1.46,1.37,1.36,1.39,1.39,1.09,0.90,0.75,0.79,Upgrade
PB Ratio,2.33,2.11,1.65,1.46,1.76,2.00,2.00,1.63,1.37,1.20,1.31,Upgrade
P/FCF Ratio,7.58,6.88,6.58,7.53,8.67,8.18,9.38,8.00,5.26,7.06,4.69,Upgrade
P/OCF Ratio,7.37,6.66,6.39,7.23,8.11,7.89,9.03,7.56,5.03,6.59,4.49,Upgrade
EV/Sales Ratio,1.80,1.64,1.59,1.55,1.55,1.55,1.55,1.28,1.08,0.92,1.00,Upgrade
EV/EBITDA Ratio,17.07,16.57,9.14,11.56,10.38,14.27,11.29,9.62,7.33,7.09,8.94,Upgrade
EV/EBIT Ratio,18.92,18.83,10.08,13.61,11.93,16.99,13.35,12.07,9.05,8.55,11.24,Upgrade
EV/FCF Ratio,8.15,7.50,7.19,8.54,9.89,9.14,10.46,9.41,6.32,8.66,5.90,Upgrade
Debt / Equity Ratio,0.19,0.20,0.17,0.20,0.25,0.25,0.26,0.29,0.28,0.29,0.34,Upgrade
Debt / EBITDA Ratio,1.28,1.44,0.86,1.40,1.29,1.56,1.30,1.44,1.23,1.40,1.85,Upgrade
Debt / FCF Ratio,0.61,0.65,0.68,1.04,1.23,1.00,1.20,1.41,1.06,1.72,1.22,Upgrade
Asset Turnover,0.35,0.34,0.33,0.31,0.33,0.33,0.33,0.32,0.31,0.31,0.31,Upgrade
Return on Equity (ROE),9.90%,8.40%,13.70%,10.30%,13.10%,10.40%,10.10%,10.30%,12.30%,11.40%,9.40%,Upgrade
Return on Assets (ROA),2.40%,2.10%,3.90%,2.60%,3.20%,2.30%,2.20%,2.20%,2.40%,2.20%,1.70%,Upgrade
Return on Capital (ROIC),3.20%,2.80%,5.00%,3.30%,4.10%,2.90%,3.60%,3.20%,3.50%,3.20%,2.60%,Upgrade
Earnings Yield,4.04%,4.04%,8.01%,6.15%,7.01%,4.99%,4.93%,6.36%,8.64%,9.25%,7.05%,Upgrade
FCF Yield,13.19%,14.54%,15.21%,13.27%,11.53%,12.23%,10.66%,12.50%,19.02%,14.17%,21.34%,Upgrade
Dividend Yield,1.15%,1.29%,1.26%,1.40%,1.27%,1.21%,1.12%,1.42%,1.70%,1.95%,1.92%,Upgrade
Payout Ratio,27.80%,31.90%,15.70%,22.80%,18.20%,24.30%,22.80%,22.30%,19.70%,21.00%,27.20%,Upgrade
Buyback Yield / Dilution,-0.25%,-0.25%,-0.48%,-0.73%,-0.87%,-0.85%,-0.92%,-1.16%,-1.37%,-1.16%,-1.41%,Upgrade
Total Shareholder Return,0.89%,1.03%,0.77%,0.67%,0.40%,0.36%,0.20%,0.26%,0.33%,0.79%,0.52%,Upgrade
