Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,867,834,"1,159",710,-,-,-
Market Cap Growth,-,-28.05%,63.16%,-,-,-,-
Enterprise Value,871,833,"1,133",674,-57,-65,-228
PE Ratio,47.75,47.29,34.92,26.33,-,-,-
PS Ratio,6.05,5.74,7.04,5.83,-,-,-
PB Ratio,3.11,3.01,3.98,2.44,-,-,-
P/FCF Ratio,23.60,25.76,22.92,27.80,-,-,-
P/OCF Ratio,23.28,25.66,22.61,27.07,-,-,-
EV/Sales Ratio,6.08,5.74,6.88,5.53,-0.77,-0.60,-1.58
EV/EBITDA Ratio,26.45,26.57,22.25,16.86,-3.20,-1.88,-4.58
EV/EBIT Ratio,29.18,29.75,24.44,18.77,-4.07,-2.00,-5.26
EV/FCF Ratio,23.72,25.74,22.41,26.36,-1.85,-0.75,-4.45
Debt / Equity Ratio,0.20,0.20,0.10,0.06,0.06,-,0.03
Debt / EBITDA Ratio,1.65,1.74,0.58,0.43,0.86,-,0.20
Debt / FCF Ratio,1.48,1.68,0.59,0.67,0.50,-,0.19
Current Ratio,2.76,2.99,2.76,1.81,2.71,2.05,4.28
Asset Turnover,0.38,0.38,0.45,0.35,0.23,0.30,-
Return on Equity (ROE),6.70%,6.20%,11.30%,9.60%,3.70%,10.20%,-
Return on Assets (ROA),4.90%,4.70%,9.10%,7.70%,3.20%,8.60%,-
Return on Capital (ROIC),18.60%,18.10%,37.50%,29.30%,11.80%,23.50%,-
Earnings Yield,2.17%,2.11%,2.86%,3.80%,-,-,-
FCF Yield,4.24%,3.88%,4.36%,3.60%,-,-,-
Dividend Yield,2.16%,3.00%,2.22%,2.89%,-,-,-
Payout Ratio,101.40%,142.90%,75.20%,76.30%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.74%,2.67%,-4.90%,3.37%,-,-,-
Total Shareholder Return,1.42%,5.67%,-2.68%,6.26%,-,-,-
