Year,Current,2022,2021
Market Capitalization,416,727,699
Market Cap Growth,-,4.01%,-
Enterprise Value,417,728,699
PE Ratio,40.25,38.89,26.47
PB Ratio,-29.66,-29.66,-20.06
P/FCF Ratio,-509.62,-509.62,-152.43
P/OCF Ratio,-509.62,-509.62,-152.43
EV/EBITDA Ratio,22.31,38.96,26.46
EV/EBIT Ratio,22.31,38.96,26.46
EV/FCF Ratio,-510.57,-510.57,-152.41
Debt / Equity Ratio,-0.06,-0.06,-0.01
Debt / EBITDA Ratio,0.08,0.08,0.02
Debt / FCF Ratio,-1.03,-1.03,-0.09
Current Ratio,0.38,0.38,3.15
Return on Equity (ROE),-71.70%,-71.70%,-144.60%
Return on Assets (ROA),3.20%,3.20%,4.60%
Return on Capital (ROIC),3.20%,3.20%,4.60%
Earnings Yield,4.50%,2.57%,3.78%
FCF Yield,-0.34%,-0.20%,-0.66%
Buyback Yield / Dilution,-13.71%,-13.71%,-
Total Shareholder Return,-13.71%,-13.71%,-
