Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,023","1,333","1,240",976,"1,380","1,325","1,393","1,363","1,073",888,753,Upgrade
Market Cap Growth,-,7.48%,27.02%,-29.23%,4.16%,-4.87%,2.17%,27.04%,20.79%,18.01%,40.09%,Upgrade
Enterprise Value,"1,343","1,562",479,975,"1,598","1,773","1,958","1,995","1,554","1,164",886,Upgrade
PE Ratio,7.02,9.84,11.24,46.41,14.05,12.58,19.08,19.09,15.99,15.34,14.89,Upgrade
PS Ratio,2.67,3.65,3.82,4.70,4.85,4.93,5.21,5.68,4.70,4.61,4.13,Upgrade
PB Ratio,0.83,1.13,1.03,0.85,1.16,1.42,1.58,1.62,1.35,1.46,1.32,Upgrade
P/FCF Ratio,5.35,5.63,5.87,21.15,10.35,10.68,12.66,14.61,19.19,12.15,8.97,Upgrade
P/OCF Ratio,5.23,5.54,5.77,18.94,9.97,10.35,12.19,14.08,17.71,11.37,8.74,Upgrade
EV/Sales Ratio,3.50,4.27,1.48,4.69,5.62,6.60,7.33,8.31,6.81,6.04,4.86,Upgrade
EV/EBITDA Ratio,7.02,8.78,3.26,29.44,12.38,13.59,16.07,19.88,16.92,14.53,12.59,Upgrade
EV/EBIT Ratio,7.37,9.25,3.53,46.33,13.62,14.40,16.40,20.63,16.99,15.44,13.62,Upgrade
EV/FCF Ratio,7.02,6.60,2.27,21.12,11.99,14.30,17.81,21.38,27.80,15.92,10.56,Upgrade
Debt / Equity Ratio,0.46,0.37,0.13,0.20,0.35,0.65,0.77,0.92,0.73,0.63,0.42,Upgrade
Debt / EBITDA Ratio,2.95,2.47,1.10,6.88,3.23,4.63,5.60,7.69,6.32,4.81,3.43,Upgrade
Debt / FCF Ratio,2.95,1.86,0.76,4.94,3.12,4.87,6.21,8.27,10.39,5.27,2.88,Upgrade
Asset Turnover,0.04,0.04,0.03,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),12.30%,11.50%,9.30%,1.80%,9.60%,11.50%,8.30%,8.60%,8.60%,9.70%,9.10%,Upgrade
Return on Assets (ROA),1.60%,1.50%,1.20%,0.20%,1.30%,1.50%,1.00%,1.10%,1.10%,1.20%,1.10%,Upgrade
Return on Capital (ROIC),2.10%,2.00%,1.60%,0.20%,1.50%,1.70%,1.60%,1.40%,1.50%,1.60%,1.50%,Upgrade
Earnings Yield,14.29%,10.17%,8.90%,2.15%,7.12%,7.95%,5.24%,5.24%,6.25%,6.52%,6.71%,Upgrade
FCF Yield,18.69%,17.76%,17.03%,4.73%,9.66%,9.36%,7.90%,6.85%,5.21%,8.23%,11.15%,Upgrade
Dividend Yield,4.76%,3.51%,3.59%,4.51%,2.71%,2.62%,2.06%,1.97%,2.37%,2.28%,2.41%,Upgrade
Payout Ratio,32.80%,34.60%,40.20%,207.40%,38.40%,32.70%,39.00%,37.40%,36.90%,34.90%,35.90%,Upgrade
Buyback Yield / Dilution,0.90%,0.88%,-0.10%,-14.79%,2.18%,-0.08%,-0.19%,-0.29%,-16.83%,-0.20%,-0.02%,Upgrade
Total Shareholder Return,5.66%,4.39%,3.48%,-10.28%,4.88%,2.54%,1.87%,1.68%,-14.46%,2.09%,2.39%,Upgrade
