Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,598,748,780,649,826,767,898,896,681,718,521,Upgrade
Market Cap Growth,-,-4.22%,20.20%,-21.36%,7.70%,-14.66%,0.22%,31.67%,-5.23%,37.99%,64.45%,Upgrade
Enterprise Value,"1,525","1,618","1,784","1,489","1,689","1,544","1,537","1,414","1,143","1,020",593,Upgrade
PE Ratio,1033.50,-81.03,5.83,9.10,27.00,16.86,13.22,11.75,11.53,20.79,10.51,Upgrade
PS Ratio,3.16,4.13,4.73,3.77,4.23,4.02,5.11,6.05,4.64,6.74,7.48,Upgrade
PB Ratio,0.79,1.00,0.94,0.85,1.06,0.92,1.03,1.13,0.94,0.98,0.95,Upgrade
P/FCF Ratio,4.36,3.67,-9.45,5.31,175.92,-16.53,-7.01,-19.45,16.61,-1.95,-2.66,Upgrade
P/OCF Ratio,4.36,3.67,-9.45,5.31,175.92,-16.53,-7.01,-19.45,16.61,-1.95,-2.66,Upgrade
EV/Sales Ratio,8.06,8.94,10.81,8.65,8.65,8.10,8.73,9.55,7.78,9.57,8.51,Upgrade
EV/EBITDA Ratio,35.79,53.71,10.21,13.22,21.94,17.96,12.42,11.73,11.79,17.05,9.01,Upgrade
EV/EBIT Ratio,35.79,53.71,10.21,13.22,21.94,17.96,12.42,11.73,11.79,17.05,9.01,Upgrade
EV/FCF Ratio,11.14,7.94,-21.60,12.17,359.79,-33.29,-11.99,-30.69,27.89,-2.77,-3.03,Upgrade
Debt / Equity Ratio,1.37,1.28,1.23,1.12,1.17,0.97,0.83,0.72,0.69,0.45,0.17,Upgrade
Debt / EBITDA Ratio,24.10,31.63,5.85,7.64,11.79,9.37,5.86,4.74,5.14,5.50,1.45,Upgrade
Debt / FCF Ratio,7.50,4.67,-12.39,7.03,193.42,-17.36,-5.66,-12.40,12.15,-0.89,-0.49,Upgrade
Asset Turnover,0.11,0.10,0.09,0.10,0.11,0.11,0.11,0.11,0.12,0.10,0.10,Upgrade
Return on Equity (ROE),0.10%,-1.20%,16.50%,9.90%,3.80%,5.30%,7.90%,10.00%,8.10%,5.50%,11.90%,Upgrade
Return on Assets (ROA),0.10%,-0.50%,7.20%,4.30%,1.80%,2.70%,4.40%,5.60%,4.60%,3.30%,7.40%,Upgrade
Return on Capital (ROIC),1.60%,1.10%,6.20%,4.40%,3.00%,3.60%,5.80%,6.50%,5.70%,4.70%,8.90%,Upgrade
Earnings Yield,0.17%,-1.23%,17.14%,10.99%,3.70%,5.93%,7.56%,8.51%,8.68%,4.81%,9.51%,Upgrade
FCF Yield,22.92%,27.28%,-10.58%,18.84%,0.57%,-6.05%,-14.27%,-5.14%,6.02%,-51.24%,-37.55%,Upgrade
Dividend Yield,12.44%,9.81%,8.88%,11.79%,10.25%,11.05%,9.14%,8.18%,10.34%,8.17%,7.62%,Upgrade
Payout Ratio,12900.00%,-793.80%,51.70%,107.30%,276.90%,187.00%,121.00%,96.00%,119.00%,169.30%,80.10%,Upgrade
Buyback Yield / Dilution,-,0.39%,1.32%,0.08%,-3.18%,-11.88%,-4.27%,-24.03%,-51.95%,-20.72%,Upgrade,
Total Shareholder Return,12.48%,9.81%,9.27%,13.11%,10.33%,7.86%,-2.74%,3.92%,-13.70%,-43.78%,-13.10%,Upgrade
