Year,Current,2022
Market Capitalization,186,91
Enterprise Value,186,91
PE Ratio,86.83,238.55
PB Ratio,539.29,262.92
P/FCF Ratio,-1893.77,-1893.77
P/OCF Ratio,-1893.77,-1893.77
EV/EBITDA Ratio,488.54,237.79
EV/EBIT Ratio,488.54,237.79
EV/FCF Ratio,-1887.75,-1887.75
Current Ratio,11.85,11.85
Return on Equity (ROE),227.10%,227.10%
Return on Assets (ROA),1.10%,1.10%
Return on Capital (ROIC),1.10%,1.10%
Earnings Yield,0.20%,0.42%
FCF Yield,-0.03%,-0.05%
Buyback Yield / Dilution,-113.82%,-
Total Shareholder Return,-113.82%,-
