Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"148,982","157,335","191,307","124,779","227,540","216,910","298,755","276,779","277,661","284,386","239,149",Upgrade
Market Cap Growth,-,-17.76%,53.32%,-45.16%,4.90%,-27.40%,7.94%,-0.32%,-2.36%,18.92%,32.91%,Upgrade
Enterprise Value,"240,944","224,193","152,175","132,116","418,993","378,454","411,084","341,870","285,484","253,847","212,318",Upgrade
PE Ratio,11.37,13.04,9.44,69.86,12.57,10.48,14.54,13.59,12.93,13.03,11.45,Upgrade
PS Ratio,1.94,2.13,2.44,1.68,2.62,2.51,3.48,3.28,3.32,3.43,2.94,Upgrade
PB Ratio,0.82,0.87,1.02,0.68,1.22,1.11,1.44,1.39,1.44,1.54,1.41,Upgrade
P/FCF Ratio,4.35,5.82,-16.60,60.84,33.81,6.01,16.05,274.58,17.46,16.22,4.15,Upgrade
P/OCF Ratio,4.35,5.82,-16.60,60.84,33.81,6.01,16.05,274.58,17.46,16.22,4.15,Upgrade
EV/Sales Ratio,3.13,3.04,1.94,1.78,4.83,4.38,4.79,4.05,3.41,3.06,2.61,Upgrade
EV/EBITDA Ratio,10.28,10.14,4.35,12.66,13.07,11.25,12.65,9.24,7.81,7.08,5.97,Upgrade
EV/EBIT Ratio,14.30,14.68,5.61,59.51,16.45,13.49,15.17,10.68,8.58,7.61,6.58,Upgrade
EV/FCF Ratio,7.03,8.29,-13.20,64.42,62.26,10.49,22.08,339.16,17.95,14.48,3.68,Upgrade
Debt / Equity Ratio,1.40,1.25,1.04,1.47,1.78,1.71,1.59,1.76,1.54,1.34,1.22,Upgrade
Debt / EBITDA Ratio,10.86,10.23,5.57,26.05,10.38,9.95,10.10,9.51,8.13,6.90,5.82,Upgrade
Debt / FCF Ratio,7.43,8.36,-16.93,132.59,49.44,9.28,17.63,349.07,18.68,14.12,3.59,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.06,Upgrade
Return on Equity (ROE),7.50%,6.80%,10.70%,1.00%,9.30%,10.30%,10.00%,10.20%,11.20%,12.10%,12.60%,Upgrade
Return on Assets (ROA),0.70%,0.60%,1.00%,0.10%,0.90%,1.10%,1.10%,1.10%,1.20%,1.30%,1.40%,Upgrade
Return on Capital (ROIC),0.90%,0.80%,1.40%,0.10%,1.20%,1.40%,1.40%,1.70%,1.90%,2.10%,2.20%,Upgrade
Earnings Yield,8.99%,7.67%,10.59%,1.43%,7.96%,9.54%,6.88%,7.36%,7.73%,7.67%,8.73%,Upgrade
FCF Yield,23.00%,17.19%,-6.02%,1.64%,2.96%,16.63%,6.23%,0.36%,5.73%,6.16%,24.10%,Upgrade
Dividend Yield,3.02%,2.68%,1.28%,4.04%,3.73%,3.66%,2.59%,2.80%,2.77%,2.53%,2.58%,Upgrade
Payout Ratio,32.60%,34.70%,12.00%,283.70%,46.60%,38.10%,37.20%,37.60%,35.30%,32.40%,29.10%,Upgrade
Buyback Yield / Dilution,1.30%,6.33%,0.92%,6.58%,8.54%,3.57%,1.78%,1.95%,2.15%,0.87%,-0.37%,Upgrade
Total Shareholder Return,4.32%,9.01%,2.20%,10.62%,12.27%,7.22%,4.37%,4.74%,4.92%,3.40%,2.21%,Upgrade
