Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Market Capitalization,636,"1,256",883,433,"1,127",956,455,338,695,821,"1,060",Upgrade
Market Cap Growth,-,42.23%,103.83%,-61.57%,17.87%,110.26%,34.40%,-51.32%,-15.35%,-22.51%,16.35%,Upgrade
Enterprise Value,"1,421","2,016","1,364",975,"1,370","1,189",735,701,"1,158","1,307","1,448",Upgrade
PE Ratio,47.04,23.29,10.00,15.38,30.27,17.81,6.18,3.87,6.27,7.70,10.18,Upgrade
PS Ratio,1.02,2.16,1.68,0.73,2.07,1.90,0.93,0.61,1.14,1.37,1.88,Upgrade
PB Ratio,1.76,3.37,2.18,1.05,2.04,1.77,0.99,0.86,2.20,2.67,2.89,Upgrade
P/FCF Ratio,2.04,4.56,4.29,1.60,4.79,4.57,2.13,1.71,2.97,3.44,4.71,Upgrade
P/OCF Ratio,2.00,4.46,4.06,1.54,4.61,4.39,2.07,1.64,2.87,3.34,4.57,Upgrade
EV/Sales Ratio,2.29,3.46,2.60,1.65,2.52,2.36,1.50,1.26,1.90,2.18,2.57,Upgrade
EV/EBITDA Ratio,18.80,18.29,9.15,13.43,17.28,9.22,5.22,4.08,5.60,6.57,7.56,Upgrade
EV/EBIT Ratio,21.83,20.37,9.95,16.04,19.25,9.86,5.51,4.25,5.81,6.83,7.88,Upgrade
EV/FCF Ratio,4.57,7.32,6.62,3.61,5.82,5.68,3.44,3.53,4.95,5.48,6.43,Upgrade
Debt / Equity Ratio,2.25,2.09,1.23,1.34,0.46,0.45,0.64,0.96,1.59,1.64,1.09,Upgrade
Debt / EBITDA Ratio,10.70,7.07,3.33,7.63,3.18,1.90,2.10,2.18,2.43,2.54,2.09,Upgrade
Debt / FCF Ratio,2.60,2.83,2.41,2.05,1.07,1.17,1.38,1.89,2.14,2.12,1.78,Upgrade
Asset Turnover,0.50,0.50,0.55,0.55,0.63,0.59,0.60,0.65,0.68,0.68,0.69,Upgrade
Return on Equity (ROE),3.90%,13.40%,23.20%,6.40%,6.70%,10.70%,17.30%,24.30%,36.70%,31.80%,27.70%,Upgrade
Return on Assets (ROA),1.10%,4.60%,9.20%,2.60%,4.30%,6.30%,9.00%,10.10%,12.40%,12.10%,12.70%,Upgrade
Return on Capital (ROIC),3.20%,5.40%,9.50%,3.80%,6.50%,10.60%,11.60%,12.60%,14.10%,14.10%,15.30%,Upgrade
Earnings Yield,2.21%,4.29%,10.00%,6.50%,3.30%,5.61%,16.18%,25.83%,15.95%,12.98%,9.82%,Upgrade
FCF Yield,49.05%,21.95%,23.32%,62.33%,20.88%,21.87%,46.91%,58.60%,33.62%,29.06%,21.25%,Upgrade
Buyback Yield / Dilution,8.53%,4.62%,16.10%,20.10%,-9.46%,-2.06%,-0.99%,6.70%,16.11%,14.59%,14.95%,Upgrade
Total Shareholder Return,8.53%,4.62%,16.10%,20.10%,-9.46%,-2.06%,-0.99%,6.70%,16.11%,14.59%,14.95%,Upgrade
