Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
Market Capitalization,802,811,924,809,790,924,948,827,860,797,783,808,821,686,882,801,844,893,796,978,877,885,808,852,824,877,832,902,728,712,776,-,-,-,-,-,-
Market Cap Growth,-,-12.21%,-2.60%,-2.13%,-8.12%,16.02%,21.08%,2.32%,4.65%,16.08%,-11.14%,0.82%,-2.62%,-23.20%,10.73%,-18.09%,-3.81%,0.94%,-1.50%,14.83%,6.45%,0.97%,-2.91%,-5.52%,13.15%,23.13%,7.27%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,397,418,708,524,449,581,642,271,607,534,761,761,747,328,556,476,528,515,396,652,616,606,521,619,513,577,528,503,540,517,580,-357,-351,-312,-275,-332,-193
PE Ratio,-54.21,-54.21,-18.89,-15.23,-22.48,37.78,16.02,8.19,8.17,7.19,41.63,-37.97,-38.85,-11.97,22.50,-65.96,-33.11,-70.22,-13.70,-493.09,126.83,-2818.92,91.46,-256.92,-940.38,-196.87,81.47,83.80,-985.20,-788.42,-6991.44,-,-,-,-,-,-
PS Ratio,52.32,53.69,60.67,37.31,37.19,43.63,45.33,43.66,45.80,43.42,41.27,38.53,37.72,27.97,39.70,38.45,37.07,39.31,34.95,37.99,33.30,33.24,30.03,26.94,25.88,27.66,26.66,37.69,31.43,31.24,33.98,-,-,-,-,-,-
PB Ratio,0.87,0.90,1.04,0.92,0.89,1.00,1.01,0.89,0.92,0.87,0.87,0.95,0.96,0.84,0.98,0.90,0.95,1.00,0.92,1.06,0.96,1.00,0.88,0.95,0.93,0.99,0.95,1.00,0.96,0.94,1.04,-,-,-,-,-,-
Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.02,-,-,-,0.02,0.03,0.05,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01
Dividend Yield,0.54%,-,0.24%,-,0.28%,-,0.23%,-,0.26%,-,0.28%,-,0.27%,-,0.26%,-,0.27%,-,0.29%,-,0.26%,-,0.30%,-,0.29%,0.27%,-,-,0.35%,-,-,-,-,-,-,-,-
Payout Ratio,-29.40%,0.00%,16.10%,0.00%,-7.40%,0.00%,23.30%,0.00%,7.50%,0.00%,4.40%,0.00%,6.40%,0.00%,20.40%,0.00%,-250.00%,0.00%,-5.70%,0.00%,19.60%,0.00%,15.20%,0.00%,52.60%,-18.20%,0.00%,0.00%,250.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-
Buyback Yield / Dilution,0.38%,0.38%,0.27%,0.34%,0.37%,0.76%,1.10%,1.21%,1.16%,0.98%,0.81%,0.71%,0.77%,0.63%,1.03%,2.02%,2.29%,3.93%,6.21%,3.62%,4.00%,1.35%,3.57%,5.46%,4.56%,5.35%,-1.82%,0.09%,0.67%,0.93%,3.66%,-,-,-,-,-,-
Total Shareholder Return,0.93%,0.38%,0.51%,0.34%,0.65%,0.76%,1.34%,1.21%,1.42%,0.98%,1.10%,0.71%,1.04%,0.63%,1.28%,2.02%,2.56%,3.93%,6.49%,3.62%,4.26%,1.35%,3.87%,5.46%,4.85%,5.63%,-1.82%,0.09%,1.01%,0.93%,3.66%,-,-,-,-,-,-
