Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"1,414","1,439","1,217","1,070","1,054","1,168","1,334","1,168","1,064","1,081",797,683,687,596,894,874,777,773,645,770,953,924,831,771,686,607,600,414,364,392,343,286,319,308,332,351,340,362,372,362,312,Upgrade
Market Cap Growth,-,23.18%,-8.76%,-8.37%,-0.96%,8.00%,67.38%,70.99%,54.98%,81.48%,-10.87%,-21.81%,-11.65%,-22.88%,38.70%,13.47%,-18.44%,-16.40%,-22.38%,-0.17%,39.01%,52.17%,38.37%,86.50%,88.42%,55.10%,74.83%,44.49%,14.12%,27.03%,3.51%,-18.47%,-6.08%,-14.82%,-10.83%,-2.89%,8.75%,9.31%,8.95%,33.88%,13.94%,Upgrade
Enterprise Value,"26,714","26,786","26,007","24,793","24,485","24,213","24,121","23,625","23,062","22,818","22,936","22,654","22,758","21,579","21,005","20,645","20,139","19,215","17,992","17,619","18,163","17,919","17,456","17,251","16,756","15,424","15,141","15,261","14,375","14,066","13,925","12,880","12,798","12,816","12,218","13,301","13,673","12,199","12,224","11,947","11,789",Upgrade
PE Ratio,9.68,9.55,8.06,7.36,7.56,9.29,11.98,9.98,9.93,9.53,8.40,7.69,8.12,7.34,9.55,10.38,8.08,8.20,6.80,8.37,11.34,12.29,11.65,9.64,8.80,8.38,9.36,7.70,7.96,7.01,7.25,7.54,7.74,7.85,8.67,7.79,6.94,6.41,5.18,5.24,4.47,Upgrade
PS Ratio,4.40,4.64,3.95,3.57,3.63,4.35,5.43,4.73,4.59,4.61,3.87,3.54,3.76,3.34,4.69,4.89,4.05,4.14,3.47,4.13,5.27,5.31,4.79,4.16,3.78,3.53,3.76,2.99,2.86,2.73,2.39,2.12,2.25,2.53,3.17,3.22,3.01,2.62,2.26,2.25,1.94,Upgrade
PB Ratio,1.06,1.11,0.96,0.87,0.87,0.98,1.10,0.98,0.90,1.00,0.80,0.73,0.83,0.86,1.12,1.17,1.00,1.01,0.86,0.99,1.24,1.24,1.17,1.11,1.01,0.91,0.93,0.69,0.62,0.72,0.62,0.53,0.55,0.53,0.61,0.64,0.63,0.83,1.12,1.00,0.87,Upgrade
Debt / Equity Ratio,20.28,20.28,20.17,19.96,20.08,20.07,19.52,19.51,19.34,21.11,23.35,24.59,27.79,32.03,25.92,27.14,25.54,24.65,23.62,22.23,23.02,23.46,23.90,24.27,24.07,22.72,23.01,25.24,26.97,28.33,26.72,26.11,24.58,24.15,24.28,24.84,25.57,29.06,37.89,33.67,33.64,Upgrade
Dividend Yield,2.94%,0.83%,0.84%,0.96%,0.97%,0.88%,0.71%,0.81%,0.89%,0.87%,1.08%,1.26%,1.25%,1.44%,0.84%,0.86%,0.96%,0.97%,0.96%,0.80%,0.65%,0.67%,0.46%,0.49%,0.56%,0.63%,0.45%,0.66%,0.75%,0.69%,0.51%,0.62%,0.55%,0.57%,0.46%,0.44%,0.45%,0.42%,0.35%,0.36%,0.42%,Upgrade
Payout Ratio,28.30%,29.50%,28.00%,29.60%,26.20%,22.90%,34.90%,33.20%,37.30%,33.80%,24.40%,46.00%,27.10%,90.90%,25.70%,52.20%,26.40%,34.10%,31.50%,23.40%,23.50%,27.40%,22.90%,20.70%,21.80%,20.50%,10.70%,16.70%,22.60%,26.30%,11.50%,21.10%,8.00%,94.10%,27.50%,13.20%,7.60%,200.00%,10.50%,8.50%,4.70%,Upgrade
Buyback Yield / Dilution,-0.33%,-0.33%,-0.32%,-0.29%,-0.31%,-0.27%,-0.28%,-0.31%,-0.31%,-0.23%,-0.23%,-0.30%,-0.28%,-0.41%,-0.40%,-0.30%,-0.44%,-0.44%,-0.48%,-0.61%,-0.51%,-0.67%,-1.28%,-1.28%,-1.40%,-1.65%,3.63%,5.15%,4.76%,5.09%,0.53%,-1.05%,-0.45%,-0.47%,-0.66%,-0.86%,-1.06%,-1.22%,-3.38%,-3.24%,-3.49%,Upgrade
Total Shareholder Return,2.63%,0.50%,0.52%,0.66%,0.67%,0.60%,0.43%,0.50%,0.58%,0.64%,0.84%,0.95%,0.97%,1.03%,0.44%,0.56%,0.53%,0.53%,0.48%,0.20%,0.13%,-0.01%,-0.82%,-0.78%,-0.85%,-1.02%,4.08%,5.81%,5.50%,5.78%,1.03%,-0.43%,0.10%,0.10%,-0.20%,-0.42%,-0.61%,-0.80%,-3.03%,-2.88%,-3.07%,Upgrade
