Metrics,Current,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,+47 Quarters
Market Capitalization,"58,647","64,489","57,646","73,018","76,237","87,456","79,425","75,645","77,159","64,560","50,542","50,007","48,816","66,425","70,345","65,499","67,560","69,867","64,411","71,054","73,705","79,737","77,933","75,264","67,195","72,208","64,670","61,073","63,094","49,128","57,155","59,746","67,119","58,445","74,095","82,072","73,466","66,286","71,987","66,810","68,279",Upgrade
Market Cap Growth,-,-26.26%,-27.42%,-3.47%,-1.19%,35.46%,57.14%,51.27%,58.06%,-2.81%,-28.15%,-23.65%,-27.75%,-4.93%,9.21%,-7.82%,-8.34%,-12.38%,-17.35%,-5.59%,9.69%,10.43%,20.51%,23.24%,6.50%,46.98%,13.15%,2.22%,-6.00%,-15.94%,-22.86%,-27.20%,-8.64%,-11.83%,2.93%,22.84%,7.60%,-4.95%,21.50%,17.50%,13.00%,Upgrade
Enterprise Value,"-112,717","-106,743","-96,857","-76,732","-88,127","-76,140","-71,613","-67,183","-53,728","-80,298","-82,661","-70,958","-96,485","-74,206","-49,307","-42,736","-48,294","-48,196","-45,705","-13,679","-23,320","-20,194","-27,095","-23,518","-32,598","-24,053","-23,901","-48,458","-54,619","-60,561","-53,434","-57,746","-47,343","-48,662","-46,660","-34,285","-42,389","-42,001","-42,452","-44,326","-53,316",Upgrade
PE Ratio,9.09,9.96,8.24,9.38,9.57,11.23,10.49,11.01,12.44,12.65,10.06,9.61,9.20,10.56,11.23,10.48,10.95,11.14,10.09,11.39,11.29,12.03,12.77,12.16,11.85,13.30,12.42,11.76,11.75,9.84,10.85,12.00,11.69,10.68,12.05,12.51,12.38,11.76,12.20,11.57,11.06,Upgrade
PS Ratio,2.50,2.76,2.53,3.02,3.06,3.50,3.15,3.09,3.06,2.66,2.11,2.11,2.17,2.80,2.97,2.81,3.03,3.13,2.93,3.33,3.36,3.61,3.70,3.50,3.37,3.55,3.29,3.12,3.14,2.80,3.11,3.29,3.40,3.12,3.53,3.84,3.62,3.39,3.53,3.32,3.34,Upgrade
PB Ratio,1.06,1.17,1.09,1.32,1.37,1.52,1.39,1.37,1.40,1.21,0.97,0.98,1.01,1.31,1.37,1.27,1.35,1.38,1.29,1.44,1.52,1.66,1.68,1.68,1.56,1.69,1.54,1.49,1.51,1.27,1.44,1.51,1.64,1.49,1.74,1.89,1.74,1.60,1.70,1.58,1.63,Upgrade
Debt / Equity Ratio,0.41,0.41,0.38,0.39,0.39,0.38,0.38,0.34,0.33,0.31,0.32,0.34,0.44,0.43,0.31,0.34,0.30,0.40,0.34,0.38,0.37,0.37,0.32,0.34,0.31,0.33,0.35,0.33,0.33,0.34,0.32,0.33,0.40,0.34,0.31,0.32,0.35,0.37,0.37,0.41,0.41,Upgrade
Dividend Yield,6.20%,1.40%,1.54%,1.31%,1.26%,1.10%,1.09%,1.16%,1.12%,1.33%,1.63%,2.19%,2.24%,1.65%,1.57%,1.63%,1.58%,1.09%,1.23%,1.05%,1.03%,0.94%,0.98%,0.93%,1.03%,0.91%,1.05%,1.09%,1.06%,1.24%,1.12%,1.11%,0.97%,1.18%,0.96%,0.88%,0.95%,1.06%,1.02%,1.02%,1.02%,Upgrade
Payout Ratio,57.20%,74.30%,62.70%,49.50%,46.60%,46.00%,44.60%,46.10%,46.60%,48.80%,61.50%,109.60%,123.20%,64.40%,67.00%,75.50%,67.20%,47.40%,50.10%,51.50%,47.40%,41.30%,49.20%,43.60%,47.30%,45.50%,47.90%,47.00%,56.10%,49.00%,47.10%,48.70%,45.70%,53.00%,60.40%,35.10%,45.40%,48.70%,49.80%,43.20%,48.40%,Upgrade
Buyback Yield / Dilution,1.97%,1.97%,1.53%,1.11%,0.62%,-0.32%,0.38%,0.38%,0.38%,0.38%,0.89%,0.89%,0.89%,0.89%,-2.32%,-2.32%,-2.32%,-2.32%,0.72%,0.72%,0.72%,0.72%,-0.41%,-0.41%,-0.41%,-0.41%,1.12%,1.12%,1.12%,1.12%,-0.65%,-0.65%,-0.65%,-0.65%,-2.04%,-2.04%,-2.04%,-2.04%,-8.73%,-8.73%,-8.73%,Upgrade
Total Shareholder Return,8.18%,3.38%,3.07%,2.42%,1.88%,0.78%,1.47%,1.55%,1.51%,1.71%,2.51%,3.08%,3.13%,2.54%,-0.75%,-0.69%,-0.74%,-1.22%,1.94%,1.77%,1.75%,1.66%,0.57%,0.52%,0.62%,0.50%,2.17%,2.21%,2.18%,2.36%,0.47%,0.46%,0.32%,0.53%,-1.07%,-1.15%,-1.09%,-0.98%,-7.71%,-7.71%,-7.71%,Upgrade
