Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+71 Quarters
Market Capitalization,"1,609","2,072","3,103","3,059","2,997","3,381","3,371","3,326","3,402","3,592","3,069","2,023","2,457","2,207","3,832","3,491","3,398","3,250","2,811","3,317","3,526","3,517","3,640","3,553","3,544","3,512","3,786","3,113","2,961","2,943","2,723","2,762","2,908","2,673","2,602","2,515","2,608","2,699","2,633","2,428","2,256",Upgrade
Market Cap Growth,-,-38.71%,-7.94%,-8.04%,-11.89%,-5.87%,9.82%,64.39%,38.46%,62.73%,-19.91%,-42.04%,-27.70%,-32.10%,36.35%,5.26%,-3.62%,-7.59%,-22.79%,-6.65%,-0.51%,0.14%,-3.86%,14.14%,19.68%,19.33%,39.05%,12.71%,1.82%,10.11%,4.64%,9.83%,11.53%,-0.98%,-1.17%,3.57%,15.56%,18.41%,32.98%,17.77%,7.87%,Upgrade
Enterprise Value,"2,930","3,393","4,019","3,344","3,270","3,704","3,736","3,658","3,797","4,067","3,557","2,525","2,981","2,667","4,326","4,052","3,838","3,679","3,124","3,776","3,950","4,081","4,140","4,078","4,185","4,167","4,415","3,811","3,686","3,590","3,442","3,461","3,606","3,372","3,298","3,221","3,389","3,518","3,395","3,326","3,166",Upgrade
PE Ratio,6.59,9.87,14.24,13.87,12.99,13.90,13.46,14.41,16.38,20.06,19.96,11.93,13.37,10.93,16.96,15.75,15.00,14.49,12.80,15.90,17.84,18.76,19.71,19.18,19.38,19.25,20.87,17.22,17.26,17.47,16.94,17.36,17.46,16.02,15.96,15.63,16.63,17.63,17.50,16.00,14.53,Upgrade
PS Ratio,2.28,2.93,4.40,4.35,4.23,4.72,4.69,4.82,5.24,5.96,5.45,3.49,4.03,3.46,5.76,5.27,5.18,5.01,4.38,5.23,5.61,5.64,5.82,5.73,5.77,5.76,6.21,5.14,4.96,4.98,4.70,4.79,5.03,4.64,4.61,4.49,4.72,4.94,4.83,4.41,4.02,Upgrade
PB Ratio,1.19,1.53,2.36,2.38,2.22,2.33,2.09,2.08,2.15,2.64,2.23,1.49,1.82,1.66,2.98,2.70,2.64,2.56,2.22,2.65,2.83,2.83,2.96,2.89,2.92,2.94,3.26,2.68,2.56,2.59,2.44,2.52,2.69,2.49,2.47,2.38,2.48,2.62,2.60,2.45,2.29,Upgrade
Debt / Equity Ratio,1.23,1.23,0.94,0.42,0.40,0.39,0.35,0.35,0.42,0.56,0.56,0.56,0.57,0.69,0.62,0.64,0.56,0.57,0.50,0.55,0.59,0.60,0.62,0.63,0.64,0.65,0.69,0.71,0.74,0.72,0.79,0.83,0.79,0.79,0.83,0.83,0.88,0.95,0.94,1.04,1.07,Upgrade
Dividend Yield,8.02%,1.33%,0.89%,0.91%,0.93%,0.83%,0.83%,0.84%,0.79%,0.75%,0.87%,1.32%,1.09%,1.21%,0.70%,0.75%,0.78%,0.79%,0.92%,0.76%,0.72%,0.63%,0.61%,0.62%,0.60%,0.61%,0.54%,0.66%,0.70%,0.66%,0.72%,0.71%,0.67%,0.73%,0.76%,0.79%,0.76%,0.74%,0.76%,0.82%,0.89%,Upgrade
Payout Ratio,52.80%,61.40%,46.70%,54.70%,50.70%,52.60%,44.90%,45.80%,39.60%,44.40%,63.20%,70.50%,68.40%,76.10%,46.20%,50.00%,46.40%,43.10%,47.70%,43.80%,45.80%,40.30%,51.00%,47.70%,47.60%,41.30%,46.60%,47.10%,46.20%,38.50%,45.00%,57.00%,47.40%,45.90%,47.90%,47.40%,47.90%,51.70%,51.10%,52.90%,52.90%,Upgrade
Buyback Yield / Dilution,1.23%,1.23%,0.86%,0.81%,0.70%,0.29%,0.01%,-0.53%,-0.73%,-0.39%,0.57%,1.44%,2.30%,3.15%,3.41%,3.46%,3.28%,2.70%,1.99%,1.56%,1.19%,0.92%,0.55%,0.50%,0.66%,0.87%,1.38%,1.50%,1.32%,1.08%,1.09%,1.50%,1.65%,1.85%,1.74%,0.88%,0.81%,0.60%,0.46%,1.27%,1.63%,Upgrade
Total Shareholder Return,9.25%,2.56%,1.75%,1.72%,1.63%,1.11%,0.84%,0.31%,0.06%,0.36%,1.44%,2.76%,3.39%,4.36%,4.11%,4.21%,4.06%,3.49%,2.91%,2.32%,1.91%,1.54%,1.16%,1.12%,1.26%,1.48%,1.92%,2.15%,2.02%,1.74%,1.81%,2.21%,2.32%,2.59%,2.49%,1.67%,1.58%,1.34%,1.23%,2.09%,2.52%,Upgrade
