Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+26 Quarters
Market Capitalization,"97,459","62,048","52,065","58,730","63,927","88,907","88,874","79,803","66,466","50,967","43,682","35,029","37,955","30,696","36,884","32,303","29,267","23,031","19,743","25,405","21,281","21,058","20,196","20,620","20,317","17,452","15,461","14,526","13,879","15,854","16,329","17,598","22,409","20,740","17,607","16,258","17,108","16,655","15,299","11,658","9,612",Upgrade
Market Cap Growth,-,-30.21%,-41.42%,-26.41%,-3.82%,74.44%,103.46%,127.82%,75.12%,66.03%,18.43%,8.44%,29.69%,33.28%,86.82%,27.15%,37.52%,9.37%,-2.24%,23.21%,4.75%,20.66%,30.62%,41.95%,46.38%,10.08%,-5.32%,-17.46%,-38.06%,-23.56%,-7.26%,8.24%,30.98%,24.53%,15.08%,39.46%,78.00%,85.51%,131.57%,95.65%,79.26%,Upgrade
Enterprise Value,"106,610","72,378","61,036","65,744","70,153","94,956","95,417","83,141","70,418","54,503","48,011","38,639","47,245","39,465","46,214","41,537","39,045","32,188","27,514","33,586","29,816","28,225","31,362","30,400","28,439","23,801","21,776","19,118","18,561","20,446","20,239","21,738","25,487","26,947","23,426","21,922","23,786","25,157","24,281","20,617","19,215",Upgrade
PE Ratio,98.05,100.63,29.79,22.69,16.03,16.69,15.17,15.32,14.45,13.21,41.79,44.93,49.66,61.16,18.00,20.77,24.01,13.91,12.81,13.68,11.88,15.18,13.73,13.43,13.82,13.11,14.88,16.66,45.57,66.03,23.01,16.60,14.31,10.64,11.11,9.83,10.86,13.12,13.06,17.76,15.65,Upgrade
PS Ratio,20.17,13.00,6.11,4.67,3.60,3.97,3.94,3.90,3.85,3.52,7.16,7.67,11.62,13.72,5.03,5.62,4.92,3.25,2.89,3.07,2.63,3.01,2.83,3.04,3.14,2.85,3.00,3.26,4.58,5.17,3.51,3.05,3.01,2.45,2.35,1.99,2.22,2.42,2.31,2.28,1.88,Upgrade
PB Ratio,13.58,8.75,6.80,7.74,7.41,9.20,9.43,8.81,7.91,6.50,6.57,5.67,6.71,5.70,5.26,4.81,4.64,3.56,3.10,3.64,3.02,3.23,3.04,3.13,3.12,2.62,2.39,2.31,2.25,2.60,2.60,2.70,3.14,2.78,2.49,2.43,2.54,2.63,2.43,2.06,1.74,Upgrade
Debt / Equity Ratio,1.88,1.88,1.76,1.40,1.22,1.04,0.93,0.93,0.78,0.83,0.96,1.02,2.05,2.07,1.69,1.80,1.84,1.69,1.62,1.51,1.49,1.48,2.27,1.94,1.75,1.51,1.42,1.19,1.12,1.07,1.01,0.98,0.84,1.25,1.28,1.21,1.36,1.65,1.72,1.93,2.07,Upgrade
Dividend Yield,4.81%,-,1.28%,1.61%,1.46%,1.20%,0.89%,0.63%,0.89%,1.34%,0.87%,0.74%,1.24%,1.34%,0.90%,1.00%,0.85%,3.02%,3.89%,2.75%,1.12%,4.89%,1.45%,3.14%,5.14%,3.23%,3.17%,2.96%,2.41%,4.60%,3.57%,2.69%,2.52%,2.37%,1.55%,2.08%,1.25%,2.11%,0.90%,1.17%,1.83%,Upgrade
Payout Ratio,420.50%,0.00%,120.00%,-,-3300.00%,87.30%,56.50%,36.10%,45.10%,38.90%,50.50%,32.50%,48.10%,-38.60%,69.00%,41.70%,82.20%,81.70%,-6400.00%,89.20%,32.10%,154.50%,97.80%,94.70%,170.60%,69.10%,73.20%,75.00%,90.30%,244.00%,158.10%,-185.00%,423.80%,77.20%,48.90%,134.10%,41.20%,131.80%,21.70%,79.30%,83.30%,Upgrade
Buyback Yield / Dilution,-1.59%,-1.59%,-2.23%,-2.78%,1.92%,-3.53%,-3.37%,-3.13%,40.11%,-4.97%,-3.43%,-3.59%,-78.70%,43.66%,43.38%,43.92%,1.18%,0.83%,-80.19%,-0.45%,43.17%,-0.92%,44.29%,-0.39%,-0.46%,-0.44%,-0.66%,-87.19%,-88.35%,-89.20%,-91.00%,-3.88%,-3.98%,-4.22%,-4.24%,-3.72%,-3.94%,-3.41%,-7.21%,-8.41%,-10.97%,Upgrade
Total Shareholder Return,3.26%,-1.59%,-0.95%,-1.17%,3.39%,-2.33%,-2.48%,-2.49%,41.00%,-3.63%,-2.56%,-2.85%,-77.46%,45.01%,44.28%,44.93%,2.03%,3.86%,-76.30%,2.31%,44.29%,3.96%,45.74%,2.75%,4.68%,2.79%,2.52%,-84.22%,-85.94%,-84.60%,-87.43%,-1.19%,-1.46%,-1.85%,-2.69%,-1.64%,-2.70%,-1.30%,-6.32%,-7.24%,-9.13%,Upgrade
