Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+50 Quarters
Market Capitalization,"65,018","68,893","60,492","63,667","73,573","85,486","82,108","69,450","76,372","73,320","65,354","60,002","58,285","61,972","71,930","75,680","69,486","58,886","64,117","57,970","55,888","55,054","49,700","46,119","42,555","40,350","39,144","35,417","32,984","32,505","30,644","31,324","31,413","31,950","29,861","26,867","23,824","24,848","26,312","24,698","25,359",Upgrade
Market Cap Growth,-,-19.41%,-26.33%,-8.33%,-3.67%,16.59%,25.64%,15.75%,31.03%,18.31%,-9.14%,-20.72%,-16.12%,5.24%,12.19%,30.55%,24.33%,6.96%,29.01%,25.70%,31.33%,36.44%,26.97%,30.22%,29.02%,24.14%,27.74%,13.07%,5.00%,1.74%,2.62%,16.59%,31.85%,28.58%,13.49%,8.78%,-6.05%,21.30%,55.76%,29.65%,42.31%,Upgrade
Enterprise Value,"67,090","70,662","61,114","64,882","75,035","86,768","82,603","71,325","78,625","75,722","67,064","62,019","60,232","64,582","74,038","78,262","72,540","62,092","67,070","59,900","58,127","56,412","49,939","46,633","43,341","41,207","39,422","36,142","33,972","33,506","31,108","32,058","32,427","33,028","30,528","27,814","24,822","25,830","26,631","25,424","26,187",Upgrade
PE Ratio,23.04,24.36,22.77,24.18,25.47,31.15,31.37,28.52,39.77,38.32,31.04,27.90,24.54,25.98,33.99,37.24,38.43,31.65,32.68,12.84,12.67,12.92,12.23,30.80,25.61,25.77,25.52,24.39,24.62,25.31,24.57,24.83,26.36,26.83,26.49,26.50,24.81,24.66,26.94,25.98,27.22,Upgrade
PS Ratio,12.77,13.47,12.05,12.84,15.20,17.87,17.51,14.97,16.56,15.89,13.38,12.19,11.38,11.89,14.78,15.24,15.13,13.44,14.88,14.59,14.12,14.40,13.64,12.61,11.79,11.24,10.89,10.13,9.41,9.51,9.21,9.34,9.62,10.05,9.59,9.08,8.19,8.30,8.96,8.49,8.81,Upgrade
PB Ratio,2.39,2.52,2.25,2.25,2.63,3.08,3.00,2.55,2.85,2.76,2.48,2.22,2.17,2.33,2.75,2.83,2.63,2.25,2.47,2.49,2.42,2.42,2.22,2.21,2.05,1.96,1.92,1.67,1.57,1.56,1.49,1.47,1.48,1.52,1.43,1.25,1.11,1.17,1.24,1.12,1.16,Upgrade
Debt / Equity Ratio,4.80,4.80,5.16,5.08,5.07,6.17,5.89,5.59,5.41,4.78,3.43,3.39,3.09,3.91,1.56,1.68,1.38,1.45,1.69,1.77,1.74,1.81,2.07,2.36,2.39,2.27,1.96,1.59,1.82,1.91,1.84,2.41,2.09,2.28,2.04,1.60,1.03,1.12,1.14,0.87,0.78,Upgrade
Current Ratio,1.01,1.01,1.01,1.02,1.02,1.01,1.01,1.01,1.02,1.02,1.01,1.02,1.02,1.01,1.03,1.04,1.05,1.04,1.01,1.09,1.08,1.04,1.03,1.05,1.04,1.03,1.03,1.06,1.04,1.04,1.03,1.04,1.04,1.04,1.02,1.05,1.07,1.06,1.05,1.11,1.05,Upgrade
Dividend Yield,4.76%,0.57%,3.27%,0.56%,0.49%,0.42%,1.81%,0.47%,0.42%,0.44%,1.84%,0.51%,0.52%,0.49%,1.62%,0.36%,0.39%,0.46%,1.35%,0.41%,0.43%,0.43%,2.85%,0.49%,0.53%,0.56%,3.34%,0.57%,0.62%,0.62%,3.75%,0.54%,0.54%,0.53%,2.79%,0.59%,0.66%,0.63%,3.89%,0.61%,0.59%,Upgrade
Payout Ratio,109.10%,45.30%,312.50%,53.50%,54.90%,51.00%,245.60%,34.70%,63.40%,56.20%,283.90%,73.90%,60.30%,39.70%,246.20%,42.10%,52.10%,54.00%,224.80%,57.90%,41.90%,39.80%,47.90%,72.50%,53.70%,55.90%,346.80%,42.90%,63.20%,55.00%,390.80%,46.70%,63.30%,51.00%,271.40%,54.00%,59.50%,58.80%,525.90%,63.40%,47.90%,Upgrade
Buyback Yield / Dilution,-0.04%,-0.04%,-0.02%,-0.08%,-0.09%,-0.10%,-0.12%,-0.11%,-0.12%,-0.10%,-0.07%,-0.06%,-0.08%,-0.11%,-1.74%,-5.08%,-5.07%,-5.08%,-3.43%,-0.21%,-0.25%,-0.24%,-0.35%,-0.35%,-0.39%,-0.41%,-0.35%,-0.30%,-0.27%,-0.34%,-0.41%,-0.59%,-0.59%,-0.53%,-0.41%,-0.45%,-0.52%,-0.68%,-0.78%,-0.67%,-0.58%,Upgrade
Total Shareholder Return,4.70%,0.54%,3.25%,0.48%,0.40%,0.32%,1.70%,0.35%,0.30%,0.34%,1.76%,0.45%,0.44%,0.38%,-0.12%,-4.73%,-4.68%,-4.62%,-2.08%,0.20%,0.18%,0.20%,2.50%,0.14%,0.14%,0.14%,2.98%,0.28%,0.35%,0.29%,3.34%,-0.05%,-0.06%,0.00%,2.38%,0.14%,0.15%,-0.05%,3.11%,-0.06%,0.02%,Upgrade
