Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+46 Quarters
Market Capitalization,467,503,558,511,551,603,616,563,534,493,472,406,368,297,475,474,495,490,525,584,682,721,717,733,686,668,718,633,643,603,644,632,676,529,458,407,421,432,386,349,278,Upgrade
Market Cap Growth,-,-16.70%,-9.42%,-9.13%,3.02%,22.36%,30.47%,38.59%,45.31%,66.08%,-0.66%,-14.42%,-25.75%,-39.43%,-9.42%,-18.75%,-27.42%,-31.99%,-26.80%,-20.39%,-0.54%,7.84%,-0.18%,15.84%,6.79%,10.86%,11.53%,0.19%,-4.91%,13.97%,40.72%,55.31%,60.45%,22.45%,18.47%,16.69%,51.42%,71.78%,80.03%,44.21%,14.54%,Upgrade
Enterprise Value,437,462,495,448,492,545,535,464,447,413,374,288,256,200,382,356,383,398,440,483,604,662,640,643,616,609,661,569,572,553,587,574,633,497,422,364,394,421,353,322,265,Upgrade
PE Ratio,10.88,11.42,13.80,11.74,9.63,8.67,8.30,7.97,9.63,9.70,12.21,10.77,9.54,7.51,8.65,10.23,9.88,9.55,11.08,10.72,13.14,14.35,14.34,14.18,13.08,13.49,15.60,14.37,17.20,16.37,17.37,16.64,17.97,14.96,14.49,15.78,16.99,19.13,17.44,17.24,14.61,Upgrade
PS Ratio,3.26,3.44,3.61,3.15,3.07,3.25,3.38,3.23,3.56,3.69,3.74,3.19,2.81,2.18,3.48,3.51,3.59,3.49,3.60,3.92,4.60,4.87,4.94,4.97,4.78,4.75,5.28,4.93,5.07,4.80,5.18,5.24,5.79,4.78,4.38,4.14,4.59,5.01,4.74,4.58,3.85,Upgrade
PB Ratio,2.82,2.97,3.41,3.07,3.22,3.30,3.34,2.47,2.55,2.54,2.57,1.97,1.84,1.56,2.47,2.13,2.28,2.33,2.68,2.61,3.30,3.78,4.16,3.97,4.02,4.25,5.16,4.40,5.00,5.15,6.12,5.85,6.81,6.01,6.16,5.57,6.49,7.68,8.60,7.63,7.07,Upgrade
Dividend Yield,6.37%,0.90%,2.97%,0.90%,0.86%,0.79%,10.30%,0.57%,0.60%,0.64%,8.04%,-,-,-,6.37%,-,-,-,5.36%,-,-,-,3.38%,-,-,-,2.86%,-,-,-,2.64%,-,-,-,2.87%,-,-,-,2.51%,-,-,Upgrade
Payout Ratio,69.60%,35.70%,112.90%,38.50%,107.10%,52.30%,352.10%,12.50%,18.90%,23.00%,266.10%,0.00%,0.00%,0.00%,225.60%,0.00%,0.00%,0.00%,583.90%,0.00%,0.00%,0.00%,204.70%,0.00%,0.00%,0.00%,150.00%,0.00%,0.00%,0.00%,141.60%,0.00%,0.00%,0.00%,102.00%,0.00%,0.00%,0.00%,140.20%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,5.05%,5.05%,4.98%,3.57%,1.36%,-0.92%,-0.25%,0.26%,0.76%,3.54%,5.92%,6.18%,7.40%,6.40%,4.31%,3.42%,1.18%,-0.13%,-1.48%,-2.05%,-2.05%,-1.65%,-1.18%,-1.21%,-0.99%,-1.24%,-0.84%,-1.21%,-1.42%,-2.95%,-3.37%,-3.00%,-3.03%,-2.02%,-1.54%,-2.15%,-0.62%,-1.05%,-2.38%,-1.85%,-4.74%,Upgrade
Total Shareholder Return,11.45%,5.95%,7.95%,4.47%,2.22%,-0.13%,10.05%,0.83%,1.36%,4.18%,13.96%,6.18%,7.40%,6.40%,10.68%,3.42%,1.18%,-0.13%,3.88%,-2.05%,-2.05%,-1.65%,2.20%,-1.21%,-0.99%,-1.24%,2.02%,-1.21%,-1.42%,-2.95%,-0.73%,-3.00%,-3.03%,-2.02%,1.33%,-2.15%,-0.62%,-1.05%,0.14%,-1.85%,-4.74%,Upgrade
