Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"5,769","9,554","13,152","12,288","11,692","12,535","8,830","8,949","9,545","9,393","7,079","2,946","3,106","2,512","5,153","5,062","4,708","4,449","4,263","5,610","5,837","6,154","4,682","4,484","4,074","4,323","4,667","3,534","3,204","3,115","3,401","3,318","3,659","3,347","3,195","2,912","2,806","2,917","2,753","2,644","2,702",Upgrade
Market Cap Growth,-,-23.78%,48.94%,37.32%,22.50%,33.45%,24.74%,203.80%,207.29%,274.00%,37.37%,-41.81%,-34.03%,-43.55%,20.88%,-9.76%,-19.34%,-27.71%,-8.95%,25.11%,43.27%,42.36%,0.33%,26.89%,27.14%,38.80%,37.22%,6.49%,-12.42%,-6.95%,6.46%,13.95%,30.40%,14.75%,16.03%,10.15%,3.86%,12.20%,12.42%,10.34%,23.62%,Upgrade
Enterprise Value,"10,074","13,859","14,328","10,177","3,924",432,"-4,151","-3,629","-1,913",-57,948,138,"3,375","6,829","7,713","8,345","6,348","4,627","3,885","7,021","7,738","8,024","6,945","6,298","5,558","3,006","4,560","4,895","4,257","3,515","4,020","3,901","4,720","4,493","4,138","5,416","5,455","4,418","4,601","5,000","5,144",Upgrade
PE Ratio,6.33,10.34,15.15,14.82,14.69,13.55,9.18,9.15,7.48,9.08,8.61,4.18,10.69,7.22,11.85,12.22,8.19,8.13,7.91,14.40,31.26,31.41,29.39,16.89,15.59,19.04,21.13,16.47,15.25,15.25,42.69,41.61,54.59,35.61,14.77,13.49,44.97,113.43,130.70,175.77,18.22,Upgrade
PS Ratio,1.82,3.01,4.23,3.98,3.78,3.82,2.61,2.65,2.59,2.96,2.67,1.27,1.88,1.46,2.83,2.91,2.44,2.31,2.20,2.95,3.72,4.21,3.51,3.50,3.17,3.39,3.67,2.83,2.66,2.63,2.93,2.92,3.15,2.93,2.78,2.52,2.45,2.53,2.36,2.22,2.27,Upgrade
PB Ratio,0.67,1.11,1.59,1.54,1.42,1.49,1.08,1.09,1.15,1.17,0.88,0.38,0.63,0.53,1.08,1.08,1.02,0.98,0.95,1.26,1.37,1.44,1.09,1.73,1.61,1.77,1.94,1.44,1.34,1.33,1.45,1.45,1.65,1.52,1.40,1.26,1.21,1.30,1.25,1.24,1.20,Upgrade
Debt / Equity Ratio,0.94,0.94,0.50,0.38,0.43,0.39,0.45,0.46,0.47,0.48,0.48,0.55,0.90,1.29,0.90,1.09,0.75,0.53,0.51,0.76,0.97,0.84,1.14,1.35,1.24,0.83,0.83,1.12,1.08,1.04,0.96,1.00,1.16,1.24,1.59,1.59,1.72,1.46,1.54,1.67,1.70,Upgrade
Dividend Yield,5.85%,0.90%,0.65%,0.70%,0.73%,0.66%,0.92%,0.92%,0.87%,0.89%,0.92%,2.81%,1.51%,1.87%,0.85%,0.87%,0.94%,1.01%,0.91%,0.70%,0.68%,0.64%,0.52%,0.47%,0.52%,0.49%,0.36%,0.46%,0.51%,0.53%,0.42%,0.43%,0.38%,0.42%,0.37%,0.41%,0.42%,0.41%,0.44%,0.45%,0.45%,Upgrade
Payout Ratio,34.90%,33.30%,31.20%,31.20%,48.40%,42.90%,36.60%,36.60%,27.80%,36.60%,37.50%,15.80%,88.20%,375.00%,36.80%,40.00%,40.00%,45.20%,40.00%,14.50%,48.00%,42.90%,-36.00%,31.00%,23.10%,39.10%,30.40%,25.90%,29.20%,35.00%,30.00%,24.00%,27.30%,-18.20%,25.00%,25.00%,15.20%,26.30%,25.00%,-11.10%,29.40%,Upgrade
Buyback Yield / Dilution,-4.03%,-4.03%,-5.72%,-3.70%,-2.38%,1.25%,-25.05%,0.19%,-77.74%,-77.79%,-38.38%,-75.54%,0.90%,2.01%,3.22%,4.11%,3.85%,3.26%,-20.52%,-38.47%,-39.01%,-39.47%,-13.45%,-0.96%,-1.15%,-0.08%,1.54%,0.41%,0.47%,-1.65%,-2.17%,0.76%,1.09%,1.93%,2.80%,0.01%,1.51%,2.22%,0.80%,4.60%,3.30%,Upgrade
Total Shareholder Return,1.82%,-3.14%,-5.07%,-3.00%,-1.65%,1.91%,-24.13%,1.11%,-76.87%,-76.90%,-37.46%,-72.73%,2.41%,3.88%,4.07%,4.98%,4.79%,4.26%,-19.61%,-37.77%,-38.33%,-38.83%,-12.93%,-0.49%,-0.63%,0.41%,1.90%,0.87%,0.98%,-1.12%,-1.75%,1.19%,1.47%,2.35%,3.16%,0.42%,1.93%,2.63%,1.24%,5.04%,3.74%,Upgrade
