Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+13 Quarters
Market Capitalization,"5,281","5,202","4,952","4,801","5,516","6,487","5,967","6,284","2,662","2,454","2,049","1,963","1,733","1,510","3,121","3,023","3,115","3,178","1,239","1,688","1,782","1,782","1,806","2,076","2,243","2,397","2,514","2,306","2,204","2,227","2,183","2,258","2,378","2,445","2,385","2,579","2,793",-,-,-,-,Upgrade
Market Cap Growth,-,-19.81%,-17.01%,-23.61%,107.20%,164.34%,191.17%,220.17%,53.64%,62.50%,-34.33%,-35.07%,-44.38%,-52.48%,151.90%,79.05%,74.83%,78.40%,-31.41%,-18.68%,-20.57%,-25.68%,-28.15%,-9.95%,1.80%,7.64%,15.15%,2.12%,-7.35%,-8.91%,-8.47%,-12.46%,-14.86%,-,-,-,-,-,-,-,-,Upgrade
Enterprise Value,"13,693","13,635","13,398","13,674","14,590","15,960","14,851","14,547","9,897","5,900","5,864","5,791","5,549","5,569","7,201","6,416","6,292","6,490","4,529","3,140","3,216","3,285","3,383","3,613","3,812","4,173","3,943","3,918","3,858","3,902","3,925","3,993","3,937","4,210","4,154","4,314","4,465","1,391","1,446","1,602","1,418",Upgrade
PE Ratio,81.65,78.81,53.83,23.31,9.15,4.21,3.94,4.26,1.88,4.94,-5.06,-3.41,-2.43,-2.71,12.69,3.47,3.95,4.84,2.18,-110.84,21.69,13.54,9.92,9.49,9.05,6.49,8.55,14.06,49.73,-50.45,56.88,21.17,14.20,13.20,12.25,9.15,9.77,-,-,-,-,Upgrade
PS Ratio,3.10,3.07,3.03,3.10,3.68,4.89,5.52,6.47,3.51,3.49,3.21,2.97,2.43,1.98,4.01,4.35,5.27,6.51,3.14,4.19,4.33,4.30,4.31,4.97,5.41,5.63,5.94,5.38,5.10,4.75,4.60,4.77,4.90,5.33,5.13,5.51,5.87,-,-,-,-,Upgrade
PB Ratio,0.75,0.75,0.71,0.67,0.74,0.84,0.77,0.81,0.35,0.76,0.66,0.65,0.60,0.50,0.81,0.75,0.76,0.77,0.30,0.82,0.84,0.79,0.79,0.90,0.98,1.04,1.09,1.00,0.99,1.04,0.99,0.97,1.00,1.02,1.01,1.06,1.14,-,-,-,-,Upgrade
Debt / Equity Ratio,1.24,1.24,1.24,1.28,1.24,1.27,1.18,1.10,1.01,1.11,1.29,1.31,1.35,1.40,1.08,0.87,0.84,0.82,0.81,0.75,0.76,0.76,0.75,0.74,0.75,0.79,0.74,0.75,0.76,0.82,0.83,0.78,0.77,0.78,0.79,0.78,0.78,0.63,0.63,0.73,0.70,Upgrade
Dividend Yield,14.49%,3.78%,3.88%,3.95%,3.50%,2.76%,2.20%,2.95%,3.39%,3.03%,3.62%,3.78%,5.36%,6.33%,3.10%,3.25%,3.19%,3.15%,6.27%,2.70%,2.59%,2.62%,2.59%,2.64%,2.44%,2.28%,2.16%,2.35%,2.46%,2.43%,2.48%,2.39%,2.27%,2.20%,3.25%,2.99%,2.03%,-,-,-,-,Upgrade
Payout Ratio,1187.00%,98.60%,295.70%,-148.90%,-261.50%,79.70%,2066.70%,68.40%,10.40%,37.30%,52.60%,35.30%,-170.50%,-13.60%,-400.00%,138.20%,98.70%,100.00%,11.80%,-380.00%,-146.20%,380.00%,316.70%,63.70%,278.80%,85.80%,106.20%,47.40%,38.40%,-446.00%,-69.70%,-1115.00%,106.20%,76.90%,-1073.30%,140.00%,82.20%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,1.20%,1.20%,-33.54%,0.68%,-88.80%,-129.75%,-71.04%,-130.39%,-21.44%,1.67%,2.68%,4.35%,5.17%,4.57%,-83.25%,-116.10%,-115.07%,-114.68%,-12.96%,2.52%,0.94%,-0.47%,-0.70%,-0.90%,-0.69%,-0.70%,-0.50%,-0.52%,-0.74%,-0.73%,-1.01%,-1.12%,5.35%,7.34%,6.93%,6.47%,-0.43%,-3.00%,-2.90%,-3.14%,-10.27%,Upgrade
Total Shareholder Return,15.73%,4.98%,-29.66%,4.64%,-85.30%,-126.98%,-68.84%,-127.44%,-18.06%,4.69%,6.30%,8.13%,10.52%,10.90%,-80.15%,-112.84%,-111.89%,-111.53%,-6.68%,5.21%,3.53%,2.15%,1.88%,1.74%,1.75%,1.57%,1.67%,1.83%,1.73%,1.70%,1.47%,1.27%,7.61%,9.54%,10.18%,9.46%,1.60%,-3.00%,-2.90%,-3.14%,-10.27%,Upgrade
