Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+26 Quarters
Market Capitalization,248,274,332,324,285,346,354,334,332,314,245,216,241,224,364,367,365,316,336,411,438,406,322,310,314,249,283,205,199,195,188,187,181,152,163,161,156,149,134,128,136,Upgrade
Market Cap Growth,-,-20.84%,-6.30%,-3.13%,-14.19%,10.23%,44.38%,54.63%,37.77%,40.14%,-32.59%,-41.03%,-33.90%,-29.07%,8.32%,-10.83%,-16.86%,-22.17%,4.29%,32.88%,39.81%,63.20%,13.83%,51.02%,57.24%,27.77%,50.43%,9.88%,10.48%,28.04%,15.15%,15.75%,15.48%,1.96%,21.96%,25.56%,14.54%,7.92%,-2.41%,-6.92%,2.72%,Upgrade
Enterprise Value,473,503,480,257,-75,-171,-216,-48,-29,64,91,67,47,219,369,358,353,275,339,408,427,350,241,322,328,313,370,318,305,285,283,311,184,161,196,216,217,187,195,140,134,Upgrade
PE Ratio,5.90,6.68,9.73,9.66,7.47,8.42,7.28,6.83,7.78,9.17,9.90,10.40,12.77,9.94,13.01,12.47,11.83,9.86,10.62,15.38,19.43,21.04,19.13,17.33,17.30,14.07,17.66,13.07,14.02,14.91,14.98,16.37,15.87,13.46,16.53,18.38,18.67,21.71,18.35,16.22,16.09,Upgrade
PS Ratio,1.81,2.03,2.67,2.69,2.34,2.88,2.78,2.66,2.81,2.96,2.61,2.44,2.79,2.45,3.73,3.76,3.68,3.13,3.31,4.17,4.86,4.95,4.26,4.32,4.39,3.48,4.02,2.92,2.93,3.01,3.07,3.21,3.14,2.64,2.87,3.00,3.07,3.21,3.03,2.87,2.97,Upgrade
PB Ratio,0.71,0.79,1.00,1.02,0.87,1.02,1.00,0.97,0.98,0.96,0.76,0.69,0.78,0.72,1.15,1.17,1.16,1.02,1.10,1.39,1.52,1.43,1.16,1.61,1.66,1.35,1.57,1.16,1.15,1.15,1.14,1.15,1.14,0.97,1.06,1.07,1.06,1.03,0.94,0.92,0.99,Upgrade
Debt / Equity Ratio,0.97,0.97,0.71,0.27,0.26,0.09,0.09,0.09,0.10,0.10,0.11,0.12,0.13,0.19,0.15,0.17,0.19,0.21,0.21,0.20,0.24,0.25,0.26,0.34,0.36,0.64,0.66,0.78,0.78,0.67,0.76,0.95,0.25,0.29,0.44,0.76,0.83,0.71,0.68,0.36,0.38,Upgrade
Dividend Yield,3.28%,0.76%,0.60%,0.59%,0.67%,0.56%,0.55%,0.59%,0.60%,0.61%,0.79%,0.91%,0.82%,0.90%,0.56%,0.54%,0.55%,0.60%,0.56%,0.44%,0.37%,0.35%,0.32%,0.33%,0.33%,0.39%,0.31%,0.36%,0.36%,0.34%,0.31%,0.31%,0.28%,0.33%,0.31%,-,-,-,-,-,-,Upgrade
Payout Ratio,18.80%,17.90%,18.00%,17.80%,22.10%,43.40%,18.50%,12.80%,17.00%,15.60%,17.60%,21.80%,66.70%,81.50%,29.70%,27.60%,29.20%,23.30%,22.50%,20.90%,20.00%,18.10%,34.10%,24.10%,21.90%,18.10%,19.40%,15.90%,16.90%,18.40%,13.60%,18.60%,16.70%,16.30%,16.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,2.25%,2.25%,2.84%,3.90%,4.18%,2.58%,2.65%,3.46%,3.29%,5.07%,5.61%,4.80%,4.91%,3.42%,2.16%,0.56%,-0.57%,-1.05%,-27.32%,-27.80%,-27.70%,-27.59%,-1.69%,-1.12%,-1.59%,-1.50%,-1.22%,-1.21%,-1.51%,-1.58%,-1.68%,-1.93%,-0.75%,-0.62%,-0.22%,0.15%,3.77%,4.31%,5.52%,7.28%,4.88%,Upgrade
Total Shareholder Return,5.52%,3.00%,3.44%,4.49%,4.86%,3.15%,3.20%,4.05%,3.90%,5.68%,6.40%,5.71%,5.73%,4.32%,2.72%,1.10%,-0.03%,-0.45%,-26.76%,-27.37%,-27.34%,-27.24%,-1.36%,-0.78%,-1.26%,-1.11%,-0.91%,-0.85%,-1.15%,-1.24%,-1.37%,-1.62%,-0.47%,-0.29%,0.09%,0.15%,3.77%,4.31%,5.52%,7.28%,4.88%,Upgrade
